N	2gram	Tiupa_Hudo	Tvorches
1	и в	23	56
2	как бы	11	41
3	в его	11	37
4	в романе	3	34
5	в то	8	30
6	то же	12	25
7	не только	20	24
8	но в	10	24
9	в году	2	24
10	же время	7	24
11	то есть	26	23
12	и его	12	23
13	и не	16	23
14	а в	13	23
15	как и	3	23
16	в этом	12	22
17	в том	20	21
18	что в	7	21
19	том что	9	19
20	он не	4	19
21	может быть	19	19
22	потому что	3	19
23	у него	2	18
24	то что	5	18
25	что он	5	17
26	все это	2	17
27	и на	3	17
28	таким образом	3	17
29	никогда не	2	16
30	прежде всего	5	16
31	как в	2	16
32	при этом	19	16
33	не может	9	16
34	но и	14	16
35	xix века	2	15
36	в этой	2	15
37	с его	6	15
38	в мире	24	15
39	это не	4	14
40	времени в	2	13
41	о том	2	13
42	а не	13	13
43	тем самым	5	12
44	в целом	3	12
45	в своей	7	11
46	для него	5	11
47	отнюдь не	2	11
48	не в	9	10
49	так и	12	10
50	в русской	3	10
51	но не	13	10
52	в самом	7	10
53	только в	7	10
54	в свою	3	9
55	в нем	6	9
56	один из	2	9
57	а затем	2	9
58	жизни в	2	9
59	в душе	9	9
60	первой части	2	9
61	даже в	3	8
62	так же	2	8
63	в себе	13	8
64	человека и	2	8
65	по сути	6	8
66	в их	5	8
67	одной из	2	8
68	не менее	5	8
69	тогда как	15	8
70	вовсе не	2	8
71	об этом	2	8
72	еще не	4	8
73	одним из	2	8
74	именно в	2	8
75	хотя и	4	8
76	самом деле	2	7
77	читателя в	3	7
78	своего рода	9	7
79	в чем	2	7
80	например в	4	7
81	что она	2	7
82	в которой	3	7
83	в этих	4	7
84	в рассказе	3	7
85	русской литературе	2	7
86	не случайно	3	7
87	уже не	6	7
88	сути дела	3	7
89	и сам	3	7
90	его в	4	6
91	приводит к	6	6
92	в повести	2	6
93	место в	5	6
94	не столько	7	6
95	все эти	2	6
96	в принципе	8	6
97	и ее	3	6
98	одна из	2	6
99	конечном счете	5	6
100	и как	4	6
101	если бы	3	6
102	в конечном	5	6
103	в момент	3	6
104	с ним	2	6
105	бы не	2	5
106	начиная с	2	5
107	по отношению	10	5
108	в своем	4	5
109	а с	2	5
110	в них	2	5
111	и это	2	5
112	в творческом	2	5
113	самим собой	5	5
114	что и	2	5
115	в ее	6	5
116	и по	2	5
117	более не	2	5
118	во всей	3	5
119	дело не	2	5
120	на деле	3	5
121	между тем	4	5
122	героя и	5	5
123	и другие	2	5
124	отношению к	10	5
125	в литературе	2	5
