N	2gram	Trubetskoy	Russkaja
1	не может	4	22
2	и не	8	19
3	в том	11	17
4	в этом	15	17
5	с другом	5	14
6	и в	26	14
7	друг с	5	14
8	то что	7	13
9	точки зрения	13	11
10	то же	4	11
11	таким образом	22	11
12	в то	4	10
13	но и	9	10
14	же время	2	10
15	не только	10	9
16	том что	7	9
17	может быть	10	9
18	в себе	6	9
19	с точки	6	9
20	во всяком	6	9
21	того чтобы	5	8
22	как на	8	8
23	русской интеллигенции	2	8
24	прежде всего	2	8
25	к богу	3	7
26	и с	10	7
27	к тому	6	7
28	о том	6	7
29	мы должны	6	7
30	и если	3	7
31	с тем	18	6
32	если в	3	6
33	и для	5	6
34	для всех	2	6
35	в россии	2	6
36	и к	5	6
37	если бы	3	6
38	всяком случае	6	6
39	все это	6	6
40	для того	5	6
41	и при	3	6
42	что он	4	6
43	признать что	2	6
44	в своем	3	6
45	для него	3	6
46	или иной	2	5
47	а в	4	5
48	на то	2	5
49	хотя бы	3	5
50	из которых	4	5
51	и на	2	5
52	потому что	7	5
53	при этом	3	5
54	в нем	4	5
55	конечно не	2	5
56	только в	4	5
57	никогда не	5	5
58	и только	4	5
59	он не	4	5
60	сих пор	5	5
61	между тем	2	5
62	во всех	2	5
63	по существу	2	5
64	до сих	5	5
65	что в	9	4
66	но не	8	4
67	смотреть на	2	4
68	все же	6	4
69	не могут	2	4
70	не в	2	4
71	более или	5	4
72	ли это	2	4
73	в мире	5	4
74	как бы	12	4
75	все что	2	4
76	путь к	3	4
77	приводит к	2	4
78	так как	9	4
79	тогда когда	2	4
80	и т.д	6	4
81	жизни и	2	4
82	в его	5	4
83	то ни	2	4
84	в этой	4	4
85	вместе с	15	4
86	в другое	2	4
87	бы то	2	4
88	или менее	5	4
89	одной из	5	3
90	для этого	2	3
91	о котором	2	3
92	что все	4	3
93	что это	3	3
94	и сейчас	2	3
95	именно в	2	3
96	из этих	10	3
97	и потому	6	3
98	что оно	4	3
99	в значительной	3	3
100	главным образом	8	3
101	в конце	6	3
102	из них	7	3
103	но если	2	3
104	в самом	4	3
105	и как	3	3
106	несмотря на	6	3
107	так чтобы	2	3
108	что и	6	3
109	конце концов	3	3
110	лишь в	5	3
111	тем чтобы	5	3
112	из этого	2	3
113	той или	2	3
114	и по	4	3
115	связи с	9	3
116	еще не	2	3
117	в виде	4	3
118	того что	3	3
119	в качестве	3	3
120	не было	2	3
121	и о	3	2
122	в течение	4	2
123	и от	4	2
124	не к	2	2
125	русской культуры	15	2
126	и те	3	2
127	к нему	7	2
128	из всех	3	2
129	но в	7	2
130	европейской культуры	3	2
131	в котором	4	2
132	так же	5	2
133	в начале	2	2
134	людей и	2	2
135	состоит в	2	2
136	больше чем	2	2
137	уже не	3	2
138	в результате	3	2
139	благодаря этому	2	2
140	значительной части	2	2
141	и вместе	4	2
142	отличается от	2	2
143	если не	2	2
144	в силу	5	2
145	и даже	3	2
146	а не	5	2
147	к культуре	2	2
148	мы можем	2	2
149	целый ряд	4	2
150	точно так	3	2
151	пути к	2	2
152	в других	3	2
153	и является	2	2
154	и что	4	2
155	все эти	6	2
156	только для	2	2
157	и наконец	2	2
158	а с	7	2
159	и тогда	4	2
160	в этих	4	2
161	значительной мере	2	2
162	в таком	3	2
163	так что	3	2
164	во время	4	2
165	в области	9	2
166	быть и	2	2
167	в глазах	2	2
168	культуры и	3	2
169	ясно что	3	2
