N	3gram	Vygotskiy_	Komedia
1	в том что	30	29
2	до сих пор	4	16
3	то же время	2	16
4	в то же	2	16
5	о том что	10	13
6	в самом деле	5	13
7	для того чтобы	19	11
8	в то время	5	11
9	в свою очередь	3	10
10	по отношению к	11	9
11	то время как	4	9
12	с одной стороны	14	9
13	вместе с тем	5	9
14	речь идет о	4	8
15	с другой стороны	10	8
16	и в самом	2	8
17	в первую очередь	3	7
18	во всяком случае	5	7
19	с самого начала	9	7
20	в связи с	3	6
21	с точки зрения	34	6
22	в том числе	3	6
23	в отличие от	3	6
24	что он не	2	5
25	то же самое	4	5
26	в этом отношении	6	5
27	том что он	2	5
28	в силу этого	4	4
29	к тому что	3	4
30	можно было бы	6	4
31	так как он	3	4
32	независимо от того	2	4
33	в одном из	2	4
34	не в состоянии	2	4
35	по сравнению с	9	4
36	на протяжении всего	2	3
37	друг от друга	4	3
38	в том же	3	3
39	наряду с этим	2	3
40	то обстоятельство что	2	3
41	в высшей степени	7	3
42	друг с другом	6	3
43	то что он	2	3
44	на то что	9	3
45	ответа на вопрос	2	3
46	том числе и	3	3
47	вместе с ним	3	3
48	если бы он	3	3
49	состоит в том	4	3
50	в какой мере	2	3
51	только для того	2	2
52	подобно тому как	2	2
53	на первый план	3	2
54	в зависимости от	8	2
55	точно так же	2	2
56	и тем более	2	2
57	том что в	3	2
58	так же как	6	2
59	и таким образом	2	2
60	в конечном счете	4	2
61	этой точки зрения	2	2
62	в этом смысле	3	2
63	как и в	2	2
64	одной стороны и	3	2
65	таким образом и	3	2
