N	2gram	Tiupa_Teor	VrazhdaK
1	в году	2	18
2	не только	24	9
3	и что	4	8
4	в этом	12	8
5	и в	24	8
6	что в	10	7
7	но и	14	7
8	то что	6	7
9	но в	12	6
10	как и	6	6
11	– это	33	6
12	в нем	7	6
13	в романе	3	6
14	и даже	2	6
15	и не	17	5
16	об этом	2	5
17	то же	12	5
18	в то	9	5
19	же время	8	5
20	у него	2	5
21	между тем	5	5
22	несмотря на	2	4
23	это не	4	4
24	в виду	5	4
25	все это	2	4
26	при этом	20	4
27	о том	2	4
28	как бы	8	4
29	так же	2	4
30	что он	4	4
31	может быть	22	4
32	в том	20	3
33	в чем	2	3
34	одним из	3	3
35	его в	4	3
36	далеко не	4	3
37	в своем	7	3
38	том что	11	3
39	в его	12	3
40	в связи	3	3
41	и о	5	3
42	и его	11	3
43	и как	3	3
44	в русской	6	3
45	он не	5	3
46	о себе	2	3
47	речь идет	2	3
48	связи с	3	3
49	но он	4	3
50	я не	2	3
51	русской литературе	2	3
52	в конце	2	3
53	с его	6	3
54	никогда не	4	2
55	и то	3	2
56	в них	2	2
57	уже не	6	2
58	в мире	26	2
59	и т.п	7	2
60	место в	7	2
61	в той	2	2
62	для него	5	2
63	и это	2	2
64	с точки	3	2
65	а в	15	2
66	человека с	3	2
67	а также	7	2
68	в этой	3	2
69	тогда как	18	2
70	столь же	3	2
71	в своей	8	2
72	как раз	3	2
73	но как	2	2
74	в себе	14	2
75	еще не	6	2
76	и а	4	2
77	точки зрения	11	2
78	в повести	2	2
79	о чем	3	2
80	тем более	2	2
81	таким образом	3	2
82	и ее	4	2
83	в момент	3	2
84	отношения к	4	2
85	в свою	4	2
86	так в	4	2
87	их в	3	2
88	не может	8	2
89	не менее	6	2
90	отнюдь не	3	2
91	а с	3	2
92	на основе	2	2
93	вместе с	2	2
94	в известном	2	2
95	отношение к	7	2
