N	2gram	Tiupa_Hudo	VrazhdaK
1	в году	2	18
2	не только	20	9
3	и что	4	8
4	в этом	12	8
5	и в	23	8
6	что в	7	7
7	но и	14	7
8	то что	5	7
9	но в	10	6
10	как и	3	6
11	в нем	6	6
12	в романе	3	6
13	и не	16	5
14	об этом	2	5
15	то же	12	5
16	в то	8	5
17	же время	7	5
18	у него	2	5
19	между тем	4	5
20	несмотря на	2	4
21	это не	4	4
22	в виду	5	4
23	все это	2	4
24	при этом	19	4
25	о том	2	4
26	как бы	11	4
27	так же	2	4
28	что он	5	4
29	с ним	2	4
30	может быть	19	4
31	в том	20	3
32	в чем	2	3
33	одним из	2	3
34	его в	4	3
35	далеко не	4	3
36	в своем	4	3
37	том что	9	3
38	в его	11	3
39	в связи	3	3
40	и о	4	3
41	и его	12	3
42	и как	4	3
43	в русской	3	3
44	он не	4	3
45	о себе	2	3
46	речь идет	2	3
47	связи с	3	3
48	но он	3	3
49	я не	2	3
50	русской литературе	2	3
51	с его	6	3
52	никогда не	2	2
53	и то	4	2
54	в них	2	2
55	уже не	6	2
56	в мире	24	2
57	одна из	2	2
58	и т.п	7	2
59	начиная с	2	2
60	место в	5	2
61	в той	3	2
62	для него	5	2
63	и это	2	2
64	с точки	3	2
65	а в	13	2
66	человека с	3	2
67	а также	6	2
68	в этой	2	2
69	тогда как	15	2
70	столь же	2	2
71	в своей	7	2
72	как раз	3	2
73	но как	2	2
74	в себе	13	2
75	еще не	4	2
76	точки зрения	11	2
77	в повести	2	2
78	о чем	3	2
79	тем более	2	2
80	таким образом	3	2
81	и ее	3	2
82	в момент	3	2
83	отношения к	4	2
84	в свою	3	2
85	так в	4	2
86	их в	3	2
87	не может	9	2
88	не менее	5	2
89	отнюдь не	2	2
90	а с	2	2
91	на основе	2	2
92	в известном	2	2
93	отношение к	7	2
