N	2gram	Medvedev_V	Sovremen
1	не может	17	17
2	точки зрения	3	12
3	может быть	23	12
4	таким образом	32	11
5	в каждом	2	8
6	и в	26	7
7	в этом	29	7
8	и не	20	6
9	как и	7	6
10	в результате	5	6
11	все эти	8	5
12	и наконец	2	5
13	прежде всего	13	5
14	каждом отдельном	2	5
15	нет и	3	4
16	мы видели	3	4
17	зависимости от	5	4
18	это не	7	4
19	не только	26	4
20	в том	15	4
21	в зависимости	6	4
22	как бы	5	4
23	их в	7	4
24	в целом	5	4
25	жизни и	3	4
26	вместе с	8	4
27	а в	3	4
28	из них	11	4
29	не подлежит	2	3
30	у каждого	2	3
31	может не	2	3
32	следующим образом	4	3
33	он может	2	3
34	видели что	3	3
35	и потому	2	3
36	но в	2	3
37	не в	6	3
38	все же	6	3
39	он в	2	3
40	как он	3	3
41	было бы	8	3
42	в области	2	3
43	в себе	6	3
44	еще не	2	3
45	одна из	4	3
46	у нас	3	3
47	все это	13	3
48	в нем	7	3
49	само собою	2	3
50	а не	7	3
51	и к	3	3
52	что она	2	3
53	в этой	4	3
54	то же	10	3
55	в одном	5	3
56	отличается от	2	3
57	отнюдь не	4	3
58	в конце	3	3
59	в системе	2	3
60	и по	3	2
61	же самое	2	2
62	всяком случае	2	2
63	что все	4	2
64	роль в	4	2
65	не менее	2	2
66	не могут	10	2
67	в его	15	2
68	с этим	3	2
69	во всяком	2	2
70	что такое	2	2
71	в науке	2	2
72	приводит к	6	2
73	что при	2	2
74	из этих	7	2
75	так сказать	2	2
76	в самом	4	2
77	задача эта	2	2
78	и есть	5	2
79	знаем что	2	2
80	что в	11	2
81	ни одна	2	2
82	в которой	2	2
83	у него	6	2
84	для его	4	2
85	могут быть	8	2
86	с одной	2	2
87	на этом	2	2
88	говорить о	2	2
89	мы знаем	3	2
90	или иной	2	2
91	наблюдения и	3	2
92	из которых	2	2
93	как известно	2	2
94	и даже	2	2
