N	2gram	Tiupa_Disk	Marksizm
1	чужой речи	2	85
2	точки зрения	6	69
3	может быть	29	64
4	и в	27	63
5	и не	25	55
6	как бы	9	53
7	не может	17	47
8	с точки	3	46
9	и его	4	41
10	в этом	29	39
11	таким образом	4	38
12	в процессе	6	33
13	как мы	2	32
14	языка и	3	31
15	в пределах	4	31
16	лишь в	4	30
17	не только	36	29
18	речи в	2	29
19	в нем	16	28
20	то же	12	28
21	но и	22	27
22	в языке	2	26
23	самом деле	2	25
24	речи и	2	25
25	связи с	4	25
26	прежде всего	17	24
27	как и	27	24
28	в самом	4	24
29	так и	14	23
30	и т.п	18	23
31	только в	9	23
32	в том	29	22
33	то что	10	22
34	а не	35	22
35	при этом	22	20
36	так сказать	3	20
37	для него	9	20
38	том что	27	19
39	не в	8	19
40	в его	9	19
41	на почве	3	19
42	но в	15	18
43	в ее	4	18
44	внутренней речи	5	18
45	все же	8	17
46	в сущности	3	17
47	в то	8	16
48	по отношению	13	16
49	и как	9	16
50	слова и	2	16
51	речевого общения	13	16
52	что он	6	15
53	во всех	6	15
54	отношению к	13	15
55	отнюдь не	11	15
56	высказывания и	3	15
57	же время	9	15
58	в контексте	3	14
59	в данном	9	14
60	хотя бы	3	14
61	мы не	2	13
62	в своей	10	13
63	не является	5	13
64	слова в	2	13
65	что в	8	13
66	в результате	3	12
67	а в	5	12
68	того же	5	12
69	в основе	11	12
70	является не	2	12
71	он не	4	12
72	между тем	5	12
73	друг друга	2	11
74	как в	16	11
75	и все	5	11
76	и на	8	11
77	высказывания в	7	11
78	в ней	2	11
79	не столько	3	11
80	все эти	2	11
81	и от	2	11
82	еще не	20	11
83	и того	6	11
84	и что	2	11
85	никогда не	3	10
86	и потому	3	10
87	в каждом	2	10
88	отличие от	13	10
89	самого начала	2	10
90	более того	2	10
91	с самого	2	10
92	здесь в	4	10
93	во всяком	3	10
94	с его	9	10
95	сказать что	4	10
96	к этому	4	10
97	в своем	11	10
98	в отличие	13	10
99	с другой	14	10
100	именно в	5	10
101	в большинстве	3	10
102	в себе	22	9
103	общения и	4	9
