N	2gram	Medvedev_F	Hudozhes
1	в качестве	2	31
2	в мире	4	24
3	и в	54	23
4	не только	14	20
5	состоит в	3	20
6	в том	17	20
7	может быть	30	19
8	при этом	14	19
9	в частности	4	18
10	и не	34	16
11	но и	18	14
12	литературного произведения	6	13
13	а в	11	13
14	в себе	4	13
15	но не	5	13
16	а не	11	13
17	произведение искусства	4	12
18	то же	16	12
19	в этом	39	12
20	и его	27	12
21	так и	24	12
22	как бы	10	11
23	точки зрения	21	11
24	в его	30	11
25	сводится к	6	11
26	но в	9	10
27	по отношению	4	10
28	отношению к	4	10
29	не в	16	9
30	в душе	2	9
31	том что	3	9
32	не может	26	9
33	с другой	8	9
34	не сводится	2	9
35	в искусстве	6	9
36	в то	14	8
37	в области	6	8
38	в самом	17	7
39	отношение к	4	7
40	лишь в	15	7
41	в своей	16	7
42	только в	6	7
43	же время	13	7
44	как это	8	7
45	что в	10	7
46	отличие от	2	7
47	в отличие	2	7
48	в основе	7	7
49	не столько	5	7
50	более или	7	6
51	искусства в	4	6
52	уже не	9	6
53	другой стороны	5	6
54	приводит к	4	6
55	в нем	25	6
56	с ее	7	6
57	можно сказать	2	6
58	в ее	10	6
59	с его	12	6
60	или менее	7	6
61	тем самым	5	5
62	ни в	3	5
63	с другими	11	5
64	или иначе	2	5
65	могут быть	7	5
66	в художественном	5	5
67	между ними	3	5
68	место в	8	5
69	как к	5	5
70	для того	3	5
71	того чтобы	4	5
72	в виду	2	5
73	а на	2	5
74	со стороны	7	5
75	в их	16	5
76	не является	3	5
77	слова как	2	5
78	что он	8	5
79	не на	3	5
80	то что	14	5
81	не менее	12	5
82	прежде всего	34	5
83	того что	7	5
84	для него	9	5
85	в слове	4	4
86	сказать что	3	4
87	в отношении	3	4
88	его в	5	4
89	или иного	8	4
90	далеко не	2	4
91	это не	4	4
92	а только	4	4
93	так в	3	4
94	того или	6	4
95	к тому	6	4
96	речи и	2	4
97	на почве	20	4
98	между тем	4	4
99	входит в	8	4
100	в данном	2	4
101	во втором	7	4
102	в форме	2	4
103	художественного произведения	27	4
104	в другом	2	4
105	произведения искусства	4	4
106	и как	6	4
107	еще не	6	4
108	к которому	2	4
109	художественного восприятия	3	4
110	и тем	3	4
111	и что	2	4
112	языка в	8	4
113	роли в	4	4
114	говорить о	4	4
115	в этих	3	4
116	он не	8	4
117	не следует	5	4
118	и о	3	4
119	без исключения	2	4
120	отношения к	6	4
121	в своем	12	4
122	хотя и	3	4
123	даже в	2	3
124	в художественной	2	3
125	в жизни	3	3
126	к нему	3	3
127	и для	5	3
128	искусства и	5	3
129	и притом	2	3
130	в произведении	2	3
131	и ее	15	3
132	произведения как	3	3
133	в контексте	2	3
134	как и	18	3
135	их в	2	3
136	потому что	2	3
137	одной стороны	5	3
138	по преимуществу	6	3
139	слова в	2	3
140	в целом	7	3
141	к его	3	3
142	в свою	8	3
143	к действительности	3	3
144	и к	7	3
145	искусства как	2	3
146	во всех	9	3
147	о литературе	9	3
148	тем не	2	3
149	а именно	3	3
150	из этих	4	3
151	связи с	12	3
152	и на	10	3
153	если бы	8	3
154	в той	3	3
155	не будет	2	3
156	и прежде	3	3
157	с художественной	3	3
158	как раз	8	3
159	с точки	17	3
160	он должен	4	3
161	тот или	2	3
162	художественное произведение	8	3
163	или даже	3	3
164	с этой	4	3
165	в связи	11	3
166	таким образом	28	3
167	в таком	2	3
168	в которой	5	3
169	никто не	2	3
170	во всей	4	3
171	была бы	4	3
172	этом смысле	3	3
173	литературных произведений	5	3
174	на языке	2	3
175	отношении к	2	3
176	в пределах	13	3
177	в одном	2	3
178	художественного целого	2	3
179	литературы как	4	3
180	с одной	5	3
181	известной степени	4	3
182	но он	2	3
183	в структуре	2	3
184	в системе	3	3
185	никогда не	6	2
186	одной из	2	2
187	в литературе	6	2
188	жизни но	2	2
189	одна из	2	2
190	как в	12	2
191	чтобы не	2	2
192	и др	8	2
193	не могли	2	2
194	не от	3	2
195	и это	4	2
196	ее в	3	2
197	могла бы	3	2
198	тому что	3	2
199	и потому	9	2
200	от всех	5	2
201	значительной степени	3	2
202	то в	3	2
203	об искусстве	3	2
204	связей с	3	2
205	соединении с	2	2
206	идет о	3	2
207	в самой	2	2
208	столь же	2	2
209	в чем	2	2
210	что такое	2	2
211	или в	2	2
212	вступает в	2	2
213	именно в	12	2
214	жизни в	2	2
215	но как	2	2
216	все эти	12	2
217	на наших	2	2
218	оно не	6	2
219	с их	2	2
220	должен быть	5	2
221	за пределы	2	2
222	быть и	5	2
223	до известной	3	2
224	не входит	2	2
225	только и	7	2
226	не как	7	2
227	значения и	4	2
228	так же	5	2
229	отличается от	4	2
230	этого термина	2	2
231	свою очередь	6	2
232	и по	3	2
233	он и	3	2
234	отнюдь не	13	2
235	один из	4	2
236	на котором	2	2
237	в них	4	2
238	по себе	10	2
239	мышления и	2	2
240	материала в	4	2
241	сама по	2	2
242	не могло	6	2
243	несмотря на	2	2
244	противном случае	2	2
245	роль в	2	2
246	воздействия на	3	2
247	на этом	2	2
248	это и	7	2
249	слова и	5	2
250	мира в	2	2
251	все это	11	2
252	к другому	2	2
253	между двумя	3	2
254	в сторону	4	2
255	из этого	2	2
256	что и	10	2
257	в противном	2	2
258	в значительной	3	2
259	истории литературы	18	2
260	то ни	5	2
261	в году	2	2
262	ни было	2	2
263	и особенно	3	2
264	и может	6	2
265	и другие	3	2
266	в формах	4	2
267	что каждый	2	2
268	самом деле	12	2
269	и более	4	2
270	этого слова	4	2
271	в нашем	2	2
272	в этой	10	2
273	говорит в	3	2
274	роман и	2	2
275	из виду	3	2
276	жизни а	2	2
277	с ним	3	2
278	превращается в	2	2
279	этих двух	2	2
280	в какой	3	2
281	вовсе не	18	2
282	если мы	5	2
283	во внешнем	2	2
284	на основе	6	2
285	бы то	4	2
286	не с	2	2
