N	2gram	Bakhtin_Fr	VerxiiNi
1	и в	68	26
2	таким образом	22	22
3	в этом	28	15
4	вместе с	4	15
5	точки зрения	8	13
6	как бы	7	12
7	в том	12	11
8	не только	21	10
9	из этих	2	10
10	и с	15	10
11	может быть	10	10
12	что в	14	9
13	так как	7	9
14	в области	5	9
15	связи с	8	9
16	но и	17	9
17	но не	4	8
18	с другой	8	8
19	в общем	2	8
20	главным образом	3	8
21	и у	2	8
22	и не	25	8
23	как на	3	8
24	но все	5	7
25	в эпоху	18	7
26	к нему	4	7
27	потому что	3	7
28	связанные с	4	7
29	одной стороны	4	7
30	из них	8	7
31	то что	11	7
32	с одной	5	7
33	но в	20	7
34	том что	6	7
35	представление о	2	6
36	в отношении	3	6
37	все же	6	6
38	о том	5	6
39	того же	4	6
40	в себе	5	6
41	в конце	8	6
42	всяком случае	2	6
43	что и	3	6
44	с точки	4	6
45	все эти	16	6
46	все это	6	6
47	и потому	6	6
48	так и	8	6
49	во всяком	2	6
50	никогда не	2	5
51	в мире	6	5
52	одной из	3	5
53	и для	6	5
54	так же	3	5
55	том числе	4	5
56	и к	4	5
57	отношение к	11	5
58	к жизни	2	5
59	того чтобы	6	5
60	лишь в	3	5
61	в его	21	5
62	для того	5	5
63	а не	6	5
64	образом в	3	5
65	сих пор	6	5
66	до сих	6	5
67	и от	4	4
68	что все	2	4
69	далеко не	3	4
70	а в	3	4
71	в котором	3	4
72	в самом	6	4
73	в нем	12	4
74	не может	5	4
75	этой эпохи	2	4
76	то есть	31	4
77	в виде	2	4
78	то же	14	4
79	числе и	3	4
80	и что	2	4
81	и по	4	4
82	в этих	8	4
83	только в	9	4
84	что он	7	4
85	он не	11	4
86	во время	17	4
87	в течение	3	4
88	в этой	15	4
89	в то	14	4
90	что это	4	3
91	в своем	11	3
92	из всех	4	3
93	и если	2	3
94	уже не	2	3
95	хотя бы	2	3
96	к этому	6	3
97	в которой	6	3
98	в значительной	3	3
99	и даже	7	3
100	и как	5	3
101	если бы	3	3
102	в других	4	3
103	при этом	5	3
104	конце концов	3	3
105	не менее	2	3
106	как о	2	3
107	в качестве	2	3
108	и при	2	3
109	в связи	7	3
110	и другие	4	3
111	в таком	2	3
112	и о	5	3
113	можно сказать	2	3
114	отношению к	2	3
115	в одном	7	3
116	того что	3	3
117	так называемые	2	3
118	для него	7	3
119	культуры и	7	3
120	по своему	3	2
121	не исчерпывается	2	2
122	мы видели	6	2
123	одно из	3	2
124	сказать что	3	2
125	так например	2	2
126	связан с	6	2
127	от них	2	2
128	которые в	2	2
129	для этого	3	2
130	о котором	2	2
131	начиная с	3	2
132	некоторые из	4	2
133	в эту	7	2
134	из этого	3	2
135	по сравнению	2	2
136	и это	5	2
137	или иной	2	2
138	а также	6	2
139	относится к	2	2
140	он в	2	2
141	одновременно и	3	2
142	мы имеем	2	2
143	ко всему	2	2
144	из этой	3	2
145	в начале	5	2
146	с того	2	2
147	свидетельствует о	2	2
148	связь с	6	2
149	вплоть до	5	2
150	больше чем	3	2
151	следующий период	2	2
152	между тем	3	2
153	одним из	2	2
154	особенно в	6	2
155	в свою	3	2
156	именно в	5	2
157	конечно не	4	2
158	те же	6	2
159	народная культура	3	2
160	в них	19	2
161	и особенно	2	2
162	и на	16	2
163	и здесь	5	2
164	уже в	4	2
165	еще не	3	2
166	к которому	2	2
167	по своей	4	2
168	все что	4	2
169	наконец в	3	2
170	жизни и	6	2
171	не было	7	2
172	превращается в	4	2
173	когда же	2	2
174	этом отношении	4	2
175	не в	2	2
176	только для	6	2
177	и наконец	5	2
178	характер носят	2	2
179	той или	2	2
180	перестает быть	2	2
181	связан и	3	2
182	и все	16	2
183	же время	13	2
184	один из	9	2
185	уже давно	2	2
186	в виду	8	2
187	со всеми	5	2
188	сравнению с	2	2
189	и перед	2	2
190	и после	2	2
191	них не	2	2
192	не к	2	2
193	силы и	2	2
194	пор еще	2	2
195	прежде всего	23	2
196	тот же	4	2
197	связана с	4	2
198	с его	6	2
199	во всех	8	2
200	в разных	3	2
201	быть и	2	2
