N	2gram	Tiupa_Lite	StatiiOP
1	и в	26	103
2	в том	22	89
3	том что	19	77
4	в этом	19	76
5	что в	7	74
6	пушкина в	2	70
7	не только	29	60
8	и т	2	51
9	о том	3	47
10	но и	25	46
11	то что	14	44
12	что он	8	42
13	в его	9	42
14	и не	19	41
15	может быть	24	38
16	было бы	4	32
17	в этой	7	31
18	вовсе не	3	31
19	тем что	6	29
20	таким образом	4	28
21	а в	5	27
22	а не	28	27
23	но в	5	26
24	так и	7	25
25	этом отношении	5	24
26	и его	7	24
27	все же	6	23
28	не в	11	23
29	так что	4	23
30	точки зрения	8	23
31	потому что	5	23
32	того что	7	22
33	в области	5	22
34	прежде всего	14	22
35	для того	2	22
36	у нас	5	22
37	как в	5	22
38	это не	4	20
39	т п	2	19
40	в то	12	19
41	в своей	5	19
42	только в	8	19
43	не может	10	18
44	с другой	11	18
45	он не	4	18
46	в году	18	17
47	самом деле	2	17
48	в россии	2	17
49	в данном	7	17
50	как на	3	17
51	в самом	4	17
52	как бы	8	17
53	в русской	13	17
54	самого пушкина	3	16
55	в ней	4	16
56	можно было	3	16
57	в статье	2	16
58	в этих	2	16
59	в отношении	2	15
60	с тем	2	15
61	как и	13	15
62	для него	6	15
63	например в	3	15
64	по поводу	2	15
65	другой стороны	5	15
66	из этих	2	15
67	я не	8	15
68	также и	3	15
69	и на	5	15
70	у него	5	15
71	как раз	6	15
72	к тому	3	14
73	между тем	2	14
74	то же	13	14
75	с точки	4	14
76	и что	2	14
77	в своем	12	13
78	в конце	6	13
79	со стороны	6	13
80	а с	2	13
81	но это	2	13
82	в качестве	21	13
83	в нем	4	13
84	во всяком	3	13
85	дело в	3	13
86	из них	5	13
87	всяком случае	2	13
88	жизни и	6	13
89	вместе с	5	13
90	не менее	11	12
91	в тексте	9	12
92	так как	2	12
93	хотя бы	3	12
94	в своих	5	12
95	никогда не	5	11
96	и с	4	11
97	в другом	3	11
98	своего рода	22	11
99	все эти	2	11
100	из его	2	11
101	на то	2	11
102	не было	5	11
103	в виду	4	10
104	а как	2	10
105	в частности	18	10
106	xix века	6	10
107	ничего не	3	10
108	не столько	8	10
109	речь идет	3	10
110	в целом	10	10
111	что и	3	10
112	в начале	4	10
113	во всех	4	10
114	во второй	2	10
115	но не	8	10
116	что такое	2	10
117	же время	12	10
118	в каждом	2	9
119	в чем	2	9
120	такого рода	18	9
121	несмотря на	3	9
122	по этому	2	9
123	в одном	2	9
124	не является	3	9
125	с этой	6	9
126	для нас	3	9
127	и тем	4	9
128	до конца	3	8
129	могут быть	4	8
130	евгения онегина	2	8
131	в их	3	8
132	и др	4	8
133	той же	5	8
134	в какой	2	8
135	связи с	7	8
136	к этому	2	8
137	а также	5	8
138	мы имеем	2	8
139	дело не	2	8
140	в результате	2	8
141	тем не	4	8
142	и даже	9	8
143	одним из	8	8
144	такой же	3	8
145	не имеет	2	8
146	данном случае	6	7
147	вплоть до	4	7
148	уже в	7	7
149	одной из	2	7
150	того же	5	7
151	во втором	3	7
152	уже о	2	7
153	как это	9	7
154	тем более	2	7
155	и то	3	7
156	то в	3	7
157	лишь в	4	7
158	еще не	4	7
159	отношению к	4	7
160	еще и	3	7
161	что для	2	7
162	из этого	2	7
163	не просто	2	7
164	но с	3	7
165	на почве	2	7
166	не мог	3	7
167	даже в	6	6
168	в повестях	4	6
169	идет о	4	6
170	в себе	8	6
171	по отношению	6	6
172	одном из	3	6
173	должен быть	2	6
174	из которых	3	6
175	своего времени	2	6
176	по существу	4	6
177	по крайней	2	6
178	и я	7	6
179	же как	3	6
180	с его	5	6
181	крайней мере	2	6
182	одно из	3	6
183	в стихах	8	6
184	мы не	5	6
185	в особенности	2	6
186	отношения между	3	6
187	же и	3	6
188	что я	4	6
189	и сам	6	6
190	в жизни	7	6
191	за то	2	6
192	и за	2	6
193	тем же	5	6
194	не знали	3	5
195	его в	4	5
196	на себя	4	5
197	этого рода	2	5
198	для себя	6	5
199	том же	3	5
200	как он	2	5
201	а то	2	5
202	одного из	4	5
203	если б	2	5
204	одной стороны	8	5
205	что не	3	5
206	отношении к	2	5
207	один из	7	5
208	при этом	23	5
209	в сущности	5	5
210	не на	2	5
211	должна быть	3	5
212	из таких	2	5
213	в москве	2	5
214	что ему	4	5
215	во многих	3	5
216	то это	2	5
217	на это	2	5
218	не как	4	5
219	как будто	2	5
220	не по	2	5
221	не могло	3	5
222	с одной	9	5
223	на нее	2	5
224	столь же	5	5
225	в творчестве	2	5
226	уже не	9	5
227	и только	4	5
228	о которой	2	5
229	в слове	3	5
230	очевидно что	2	4
231	в каждой	2	4
232	русской поэзии	5	4
