N	3gram	Vygotskiy_	Hudozhes
1	по отношению к	3	10
2	в том что	41	8
3	в отличие от	8	7
4	с другой стороны	5	6
5	более или менее	3	6
6	состоит в том	4	5
7	для того чтобы	14	5
8	той или иной	2	5
9	того или иного	2	4
10	не может быть	5	4
11	одно и то	6	3
12	и то же	6	3
13	с точки зрения	11	3
14	с одной стороны	8	3
15	в том числе	3	3
16	тем не менее	6	3
17	в этом смысле	7	3
18	в связи с	8	3
19	и того же	5	3
20	одного и того	5	3
21	в известном смысле	2	2
22	что в основе	7	2
23	том числе и	3	2
24	этой точки зрения	4	2
25	в самом деле	4	2
26	с этой точки	4	2
27	включает в себя	2	2
28	а с другой	4	2
29	в свою очередь	3	2
