N	2gram	Losev_Vlad	Sotsiolo
1	все это	7	7
2	в том	26	5
3	в этом	30	5
4	для нас	9	3
5	не только	35	3
6	в его	18	3
7	не в	12	3
8	и в	56	3
9	литературы и	2	2
10	это и	2	2
11	дело не	3	2
12	еще не	2	2
13	только в	11	2
14	что в	24	2
15	тем более	4	2
16	в частности	4	2
17	том что	22	2
18	было бы	7	2
19	таким образом	6	2
20	то же	10	2
21	как будто	2	2
22	и что	11	2
23	конце концов	6	2
24	то что	30	2
25	как бы	5	2
26	но и	26	2
27	главным образом	5	2
28	в конце	22	2
29	за пределы	3	2
30	и мы	6	2
31	может быть	12	2
32	по существу	4	2
33	в результате	6	2
