N	2gram	Bakhtin_Pr	Hudozhes
1	то есть	46	26
2	в мире	3	24
3	и в	38	23
4	не только	9	20
5	в том	8	20
6	может быть	26	19
7	при этом	5	19
8	в частности	2	18
9	и не	42	16
10	но и	9	14
11	а в	6	13
12	в себе	4	13
13	но не	12	13
14	а не	5	13
15	то же	5	12
16	в этом	15	12
17	и его	16	12
18	так и	5	12
19	как бы	22	11
20	точки зрения	8	11
21	в его	43	11
22	но в	4	10
23	по отношению	21	10
24	отношению к	19	10
25	не в	7	9
26	или иной	2	9
27	том что	3	9
28	не может	27	9
29	с другой	7	9
30	в искусстве	12	9
31	в то	4	8
32	себя в	2	8
33	в области	11	8
34	в самом	7	7
35	отношение к	10	7
36	лишь в	2	7
37	в своей	7	7
38	только в	13	7
39	же время	3	7
40	как это	2	7
41	что в	7	7
42	отличие от	5	7
43	в отличие	5	7
44	в основе	5	7
45	мы имеем	2	6
46	искусства в	2	6
47	другой стороны	4	6
48	приводит к	3	6
49	в нем	15	6
50	можно сказать	2	6
51	в ее	4	6
52	художественного творчества	12	6
53	с его	2	6
54	тем самым	4	5
55	ни в	11	5
56	с другими	3	5
57	той или	2	5
58	конечном счете	4	5
59	могут быть	5	5
60	в конечном	4	5
61	в художественном	20	5
62	между ними	4	5
63	место в	8	5
64	как к	2	5
65	эстетическая деятельность	2	5
66	для того	2	5
67	того чтобы	2	5
68	в виду	4	5
69	в их	10	5
70	не является	3	5
71	что он	2	5
72	не на	5	5
73	то что	8	5
74	не менее	4	5
75	прежде всего	13	5
76	того что	2	5
77	в слове	3	4
78	сказать что	4	4
79	эстетического объекта	37	4
80	его в	9	4
81	или иного	2	4
82	художественного впечатления	2	4
83	далеко не	5	4
84	это не	5	4
85	а только	2	4
86	того или	2	4
87	эстетический объект	37	4
88	на почве	3	4
89	между тем	7	4
90	входит в	8	4
91	в данном	4	4
92	искусства но	4	4
93	в форме	4	4
94	художественного произведения	11	4
95	в другом	2	4
96	не знает	3	4
97	и как	8	4
98	еще не	7	4
99	к которому	4	4
100	художественного восприятия	2	4
101	и тем	3	4
102	и что	2	4
103	языка в	3	4
104	говорить о	3	4
105	в этих	2	4
106	он не	3	4
107	не следует	2	4
108	и о	5	4
109	отношения к	6	4
110	например в	3	4
111	в себя	2	4
112	в своем	5	4
113	хотя и	3	4
114	объекта и	7	3
115	направленной на	4	3
116	к нему	10	3
117	и для	11	3
118	в эстетический	12	3
119	искусства и	3	3
120	в произведении	4	3
121	и ее	2	3
122	произведения как	8	3
123	в романе	4	3
124	это отношение	2	3
125	как и	7	3
126	одной стороны	3	3
127	слова в	7	3
128	в целом	3	3
129	к его	2	3
130	в свою	2	3
131	к действительности	3	3
132	и к	3	3
133	искусства как	2	3
134	во всех	11	3
135	к содержанию	17	3
136	тем не	3	3
137	в культуре	2	3
138	связи с	2	3
139	и на	3	3
140	если бы	3	3
141	и прежде	5	3
142	с точки	6	3
143	он должен	2	3
144	художественное произведение	8	3
145	себя и	3	3
146	эстетического созерцания	3	3
147	в связи	2	3
148	таким образом	10	3
149	в таком	3	3
150	композиционных форм	3	3
151	была бы	2	3
152	этом смысле	3	3
153	в пределах	6	3
154	с одной	3	3
155	известной степени	4	3
156	имеет место	5	3
157	никогда не	5	2
158	самим собою	2	2
159	о том	4	2
160	одной из	3	2
161	для понимания	2	2
162	одна из	2	2
163	как в	4	2
164	и др	8	2
165	не могли	2	2
166	и это	3	2
167	и потому	4	2
168	от всех	4	2
169	об искусстве	3	2
170	вследствие этого	3	2
171	в самой	2	2
172	слова не	3	2
173	столь же	2	2
174	в чем	2	2
175	или в	2	2
176	но как	2	2
177	все эти	5	2
178	не всегда	6	2
179	не все	2	2
180	оно не	3	2
181	должен быть	2	2
182	за пределы	12	2
183	коем случае	2	2
184	совпадает с	2	2
185	не входит	10	2
186	и конец	2	2
187	но она	2	2
188	с самим	2	2
189	отличается от	2	2
190	из которых	2	2
191	я не	2	2
192	отнюдь не	19	2
193	в них	5	2
194	материала в	10	2
195	не вполне	2	2
196	несмотря на	3	2
197	противном случае	3	2
198	на мир	2	2
199	на этом	2	2
200	слова и	3	2
201	все это	3	2
202	с ними	4	2
203	бы не	2	2
204	что и	2	2
205	в противном	3	2
206	в коем	2	2
207	в значительной	2	2
208	то ни	3	2
209	эстетической деятельности	2	2
210	имеет дело	9	2
211	ни было	3	2
212	в равной	2	2
213	к своему	2	2
214	и другие	2	2
215	самом деле	6	2
216	случае не	2	2
217	и более	2	2
218	в нашем	4	2
219	ни к	2	2
220	с ним	5	2
221	в какой	2	2
222	начало и	3	2
223	вовсе не	2	2
224	имеем дело	3	2
225	основе своей	3	2
226	на основе	6	2
227	бы то	3	2
228	не с	4	2
229	здесь не	4	2
