N	3gram	Vinokur_Vv	VeschiIm
1	и т д	39	38
2	не может быть	10	24
3	не что иное	5	12
4	что иное как	5	12
5	тем не менее	9	11
6	по крайней мере	4	10
7	в том что	15	9
8	есть не что	3	8
9	т е в	4	7
10	в самом деле	6	7
11	сама по себе	3	7
12	по сравнению с	4	7
13	с точки зрения	4	6
14	так или иначе	4	6
15	одно и то	2	5
16	и то же	2	5
17	в то же	6	5
18	подобно тому как	2	5
19	не только в	4	5
20	т е не	2	5
21	в чем же	3	5
22	и тем не	3	5
23	в свою очередь	2	5
24	и то что	3	5
25	с этой точки	2	4
26	этой точки зрения	2	4
27	сам по себе	2	4
28	о том что	13	4
29	дело в том	3	4
30	само по себе	4	4
31	то же время	6	4
32	тем что не	2	3
33	можно сказать что	3	3
34	в собственном смысле	3	3
35	можно было бы	4	3
36	вместе с тем	3	3
37	заключается в том	3	3
38	с одной стороны	4	3
39	с другой стороны	5	3
40	как она есть	2	3
41	можно говорить о	3	2
42	во всяком случае	5	2
43	в применении к	6	2
44	но все же	4	2
45	что же касается	2	2
46	для того чтобы	22	2
47	в этом отношении	4	2
48	хотя бы и	2	2
49	а так как	2	2
50	дело не с	2	2
51	в связи с	2	2
52	в конце концов	2	2
53	вопрос о том	5	2
54	в данном случае	4	2
55	в том или	2	2
56	в этом смысле	10	2
57	и в этом	4	2
58	всего то что	2	2
59	в первом случае	2	2
60	в свое время	3	2
61	тех или иных	3	2
62	в том чтобы	5	2
