N	2gram	Nazirov_Tr	Russkaja
1	не может	5	22
2	и не	7	19
3	в том	2	17
4	в этом	9	17
5	и в	18	14
6	то что	4	13
7	то же	5	11
8	в то	5	10
9	но и	4	10
10	же время	6	10
11	не только	8	9
12	том что	4	9
13	может быть	7	9
14	в себе	4	9
15	прежде всего	4	8
16	и с	7	7
17	к тому	2	7
18	о том	2	7
19	в данном	2	7
20	отнюдь не	3	7
21	с тем	2	6
22	все это	4	6
23	что он	6	6
24	в своем	3	6
25	для него	3	6
26	вопрос о	2	5
27	и на	7	5
28	потому что	2	5
29	при этом	3	5
30	в нем	4	5
31	никогда не	2	5
32	он не	2	5
33	и то	2	4
34	что в	4	4
35	его в	2	4
36	все же	5	4
37	не могут	2	4
38	не в	2	4
39	как и	5	4
40	в мире	3	4
41	как бы	7	4
42	в его	3	4
43	в этой	4	4
44	данном случае	2	3
45	одна из	2	3
46	что все	2	3
47	что это	5	3
48	должно быть	3	3
49	только к	2	3
50	в конце	3	3
51	в самом	2	3
52	и как	3	3
53	несмотря на	5	3
54	что и	2	3
55	вряд ли	2	3
56	он сам	7	3
57	еще не	4	3
58	в виде	2	3
59	друг друга	2	3
60	тем что	2	3
61	даже если	2	2
62	не так	2	2
63	тем самым	3	2
64	к нему	3	2
65	но в	6	2
66	ни в	2	2
67	так же	4	2
68	уже не	2	2
69	и даже	4	2
70	точно так	2	2
71	и что	4	2
72	но это	4	2
73	что с	3	2
74	все эти	3	2
75	не просто	2	2
76	в частности	2	2
77	в таком	2	2
78	так что	2	2
79	как будто	3	2
80	с ним	3	2
81	в глазах	2	2
82	у него	6	2
