N	3gram	Nazirov_Tv	slovoVRo
1	и т п	4	72
2	не может быть	2	19
3	в то же	19	18
4	то же время	18	18
5	в отличие от	2	14
6	и т д	10	10
7	во всяком случае	2	8
8	но в то	5	7
9	так и в	2	6
10	с другой стороны	2	6
11	и в то	3	6
12	в том что	8	5
13	не только в	2	5
14	по отношению к	3	5
15	в его романах	3	4
16	и не может	2	4
17	можно сказать что	2	4
18	в свою очередь	2	4
19	не могут быть	2	4
20	как и в	2	3
21	человека и его	2	3
22	в данном случае	2	3
23	в связи с	2	3
24	мы уже говорили	2	2
25	о том что	6	2
26	это не значит	2	2
27	на протяжении всего	2	2
28	в известном смысле	2	2
29	с самого начала	3	2
30	же время он	2	2
31	то есть не	2	2
32	тем не менее	2	2
