N	2gram	Bakhtin_fo	Tvorches
1	и в	84	56
2	как бы	11	41
3	в его	19	37
4	в романе	40	34
5	в романах	2	30
6	в то	13	30
7	то же	18	25
8	не только	16	24
9	но в	16	24
10	же время	13	24
11	то есть	42	23
12	и его	26	23
13	и не	19	23
14	а в	6	23
15	как и	15	23
16	и т	21	22
17	в этом	41	22
18	в том	16	21
19	что в	9	21
20	том что	7	19
21	он не	6	19
22	может быть	18	19
23	потому что	11	19
24	у него	8	18
25	то что	13	18
26	что он	2	17
27	все это	10	17
28	т д	3	17
29	и на	13	17
30	таким образом	14	17
31	никогда не	8	16
32	прежде всего	28	16
33	как в	10	16
34	при этом	8	16
35	не может	8	16
36	но и	14	16
37	в этой	3	15
38	с его	10	15
39	в мире	4	15
40	и с	10	15
41	это не	8	14
42	и даже	5	14
43	времени в	14	13
44	о том	4	13
45	а не	7	13
46	в целом	2	12
47	в котором	8	12
48	все же	12	11
49	в своей	2	11
50	для него	5	11
51	отнюдь не	7	11
52	в конце	11	10
53	не в	10	10
54	в основном	12	10
55	так и	17	10
56	уже в	5	10
57	но не	9	10
58	в самом	9	10
59	он сам	2	10
60	только в	12	10
61	в свою	2	9
62	по природе	2	9
63	в нем	28	9
64	один из	5	9
65	а затем	3	9
66	и от	3	9
67	человека в	22	9
68	жизни в	11	9
69	наряду с	7	9
70	во многом	2	9
71	так же	7	8
72	в себе	7	8
73	человека и	15	8
74	в их	9	8
75	одной из	3	8
76	так как	12	8
77	вовсе не	20	8
78	к этому	5	8
79	об этом	3	8
80	в соответствии	2	8
81	еще не	8	8
82	именно в	5	8
83	соответствии с	2	8
84	хотя и	5	8
85	вместе с	9	8
86	влияние на	6	7
87	самом деле	2	7
88	в чем	3	7
89	например в	7	7
90	в дальнейшем	10	7
91	и он	3	7
92	в которой	3	7
93	в этих	6	7
94	уже не	5	7
95	и сам	2	7
96	его в	8	6
97	человек по	2	6
98	так что	4	6
99	и все	10	6
100	место в	4	6
101	не столько	2	6
102	все эти	12	6
103	и ее	4	6
104	одна из	3	6
105	хотя бы	2	6
106	и как	12	6
107	если бы	6	6
108	еще более	7	6
109	в бытовой	2	6
110	с ним	5	6
111	ничего не	9	5
