N	2gram	Trubetskoy	Marksizm
1	точки зрения	13	69
2	может быть	10	64
3	и в	26	63
4	и не	8	55
5	как бы	12	53
6	не может	4	47
7	с точки	6	46
8	в этом	15	39
9	таким образом	22	38
10	в процессе	2	33
11	лишь в	5	30
12	не только	10	29
13	в нем	4	28
14	то же	4	28
15	но и	9	27
16	связи с	9	25
17	прежде всего	2	24
18	в самом	4	24
19	так и	6	23
20	только в	4	23
21	в том	11	22
22	то что	7	22
23	а не	5	22
24	при этом	3	20
25	для него	3	20
26	том что	7	19
27	не в	2	19
28	в его	5	19
29	если бы	3	19
30	но в	7	18
31	и для	5	18
32	все же	6	17
33	в то	4	16
34	и как	3	16
35	ни было	2	16
36	что он	4	15
37	в связи	3	15
38	во всех	2	15
39	отношению к	3	15
40	в русском	2	15
41	же время	2	15
42	хотя бы	3	14
43	в смысле	4	14
44	так же	5	13
45	того чтобы	5	13
46	и здесь	2	13
47	то ни	2	13
48	что в	9	13
49	в результате	3	12
50	а в	4	12
51	того же	6	12
52	бы то	2	12
53	для того	5	12
54	он не	4	12
55	между тем	2	12
56	и все	2	11
57	к нему	7	11
58	и на	2	11
59	сих пор	5	11
60	все эти	6	11
61	и от	4	11
62	так как	9	11
63	еще не	2	11
64	и что	4	11
65	до сих	5	11
66	никогда не	5	10
67	и потому	6	10
68	самого начала	2	10
69	с самого	3	10
70	во всяком	6	10
71	с его	2	10
72	сказать что	2	10
73	к этому	3	10
74	в своем	3	10
75	с другой	8	10
76	именно в	2	10
77	конечно не	2	10
78	в таком	3	10
79	в себе	6	9
80	мы видели	2	9
81	одной из	5	9
82	и это	2	9
83	к тому	6	9
84	что это	3	9
85	не имеет	5	9
86	же самое	2	9
87	быть и	2	9
88	в отношении	6	8
89	или иной	2	8
90	не как	2	8
91	и т.д	6	8
92	что и	6	8
93	и даже	3	8
94	мы можем	2	8
95	на то	2	8
96	в свою	2	8
97	и с	10	8
98	не было	2	8
99	ясно что	3	8
100	того что	3	7
101	те же	2	7
102	и те	3	7
103	в качестве	3	7
104	в этой	4	7
105	в начале	2	7
106	в этих	4	7
107	далеко не	4	7
108	о том	6	7
109	в котором	4	7
110	мы должны	6	6
111	то есть	4	6
112	одной стороны	7	6
113	все это	6	6
114	тот же	2	6
115	с другими	4	6
116	из этих	10	6
117	с одной	7	6
118	уже не	3	6
119	всяком случае	6	6
120	ничего общего	2	6
121	не к	2	6
122	этом отношении	2	5
123	в конце	6	5
124	и у	8	5
125	в виду	2	5
126	из него	2	5
127	связано с	2	5
128	не менее	3	5
129	той или	2	5
130	связана с	2	5
131	но не	8	5
132	и является	2	5
133	в одном	3	5
134	как на	8	5
135	вместе с	15	5
136	не могут	2	4
137	так называемой	2	4
138	в области	9	4
139	так что	3	4
140	и к	5	4
141	всех других	2	4
142	что все	4	4
143	можно сказать	3	4
144	и действительно	2	4
145	связь с	2	4
146	в них	2	4
147	можно назвать	2	4
148	как от	2	4
149	относится к	2	4
150	к его	2	4
151	но при	2	4
152	в которой	3	4
153	целый ряд	4	4
154	только что	2	4
155	одним из	2	4
156	со всеми	2	4
157	психической жизни	2	4
158	но все	7	4
159	из них	7	4
160	уже в	2	4
161	несмотря на	6	4
162	жизни и	2	4
163	в других	3	4
164	из этого	2	4
165	и особенно	2	4
166	между этими	2	3
167	по своей	2	3
168	но если	2	3
169	в значительной	3	3
170	на пути	2	3
171	конце концов	3	3
172	у них	3	3
173	тогда когда	2	3
174	и при	3	3
175	в виде	4	3
176	главным образом	8	3
177	или менее	5	3
178	подойти к	3	3
179	с тем	18	3
180	общего с	2	3
181	более или	5	3
182	потому что	7	3
183	том числе	5	3
184	благодаря этому	2	3
185	что оно	4	3
186	всегда и	3	3
187	и по	4	3
188	и тогда	4	3
189	числе и	4	3
190	к которым	2	3
191	ли это	2	3
192	этими двумя	2	3
193	тем не	3	3
194	друг с	5	3
195	нее не	2	3
196	должен был	4	3
197	и о	3	3
198	не могло	2	3
199	не с	2	3
200	на нее	3	3
201	на этот	4	3
202	для каждого	2	3
203	с другом	5	3
204	когда он	3	3
205	или иначе	3	3
206	в которых	4	3
207	приводит к	2	3
208	из которых	4	3
209	учение о	4	3
210	свидетельствует о	2	3
211	к жизни	5	3
212	и только	4	3
213	на все	2	3
214	из всех	3	2
215	так например	2	2
216	образом в	5	2
217	крайней мере	5	2
218	должно было	2	2
219	уже с	3	2
220	что большинство	2	2
221	для эпохи	2	2
222	но по	3	2
223	а с	7	2
224	от них	2	2
225	к ним	3	2
226	так или	3	2
227	в общем	8	2
228	тех пор	2	2
229	для всех	2	2
230	никто из	2	2
231	к своим	4	2
232	не могла	2	2
233	без помощи	2	2
234	в разных	2	2
235	же как	3	2
236	его не	2	2
237	и мир	2	2
238	своей индивидуальности	3	2
239	в эпоху	7	2
240	можно только	2	2
241	с целью	2	2
242	отличается от	2	2
243	перестает быть	2	2
244	превращается в	2	2
245	виде в	2	2
246	и наконец	2	2
247	как о	3	2
248	с этой	3	2
249	во время	4	2
250	и другие	3	2
251	по крайней	5	2
252	культуры и	3	2
253	говорили о	2	2
254	что эти	3	2
255	еще только	2	2
256	в самой	2	2
257	не вполне	3	2
258	и другой	2	2
259	к одной	2	2
260	и если	3	2
261	что мы	2	2
262	тому же	5	2
263	но с	3	2
264	оно является	2	2
