N	2gram	Berdyaev_M	VelikijI
1	великого инквизитора	9	36
2	во имя	26	32
3	великий инквизитор	2	31
4	и не	26	20
5	и в	61	16
6	свободы и	13	12
7	так как	10	9
8	то что	10	9
9	к богу	5	8
10	в пустыне	2	8
11	в истории	2	8
12	и потому	17	7
13	на земле	7	7
14	что они	4	7
15	а не	36	7
16	хлеба небесного	2	6
17	не есть	21	6
18	человека и	19	6
19	свободной любви	4	6
20	хлеба земного	6	6
21	в мире	12	5
22	как бы	10	5
23	бога и	13	5
24	великом инквизиторе	7	5
25	но и	34	5
26	в боге	7	5
27	все это	6	5
28	хотя и	2	5
29	что есть	7	5
30	того что	13	5
31	что все	5	4
32	нет у	6	4
33	и все	13	4
34	как и	14	4
35	добра и	8	4
36	в котором	9	4
37	против бога	4	4
38	потому что	25	4
39	все что	5	4
40	в нем	26	4
41	в образе	4	4
42	в ней	23	4
43	что не	3	4
44	вавилонской башни	2	4
45	земного и	4	4
46	свободы совести	4	4
47	и я	5	4
48	в его	10	4
49	о великом	6	4
50	в этом	34	4
51	что он	16	4
52	и есть	21	4
53	мира сего	3	4
54	так и	5	4
55	к небытию	2	4
56	смысла жизни	2	4
57	никогда не	30	3
58	в жизни	7	3
59	что в	12	3
60	в том	9	3
61	и для	7	3
62	от этого	4	3
63	не имеет	7	3
64	всемирной истории	2	3
65	тому что	2	3
66	но в	12	3
67	к тому	6	3
68	восстает против	3	3
69	любовь к	10	3
70	ни в	3	3
71	нет ничего	9	3
72	но это	8	3
73	к христу	2	3
74	бы и	8	3
75	должно быть	5	3
76	во христе	9	3
77	оно не	3	3
78	хотя бы	8	3
79	этого мира	3	3
80	в своей	18	3
81	во всех	3	3
82	личности и	3	3
83	людей во	2	3
84	к чему	5	3
85	в конце	11	3
86	и против	3	3
87	имя свободы	2	3
88	в них	5	3
89	счастья людей	2	3
90	и вечной	2	3
91	христос не	2	3
92	жизни и	6	3
93	что и	6	3
94	и мы	2	3
95	не было	25	3
96	лишь в	8	3
97	тех которые	2	3
98	людей в	3	3
99	есть соблазн	2	3
100	и что	4	3
101	не в	16	3
102	все эти	3	3
103	в этих	6	3
104	должна быть	7	3
105	в чем	3	3
106	христа в	6	3
107	его во	2	3
108	в социализме	4	3
109	с его	6	3
110	и свободы	4	2
111	и то	2	2
112	с тем	10	2
113	совести и	2	2
114	самого себя	6	2
115	они и	3	2
116	богу и	2	2
117	не так	6	2
118	но не	8	2
119	нет и	6	2
120	не хотел	5	2
121	без бога	2	2
122	тот кто	5	2
123	ее и	2	2
124	соединения людей	2	2
125	и это	16	2
126	это не	10	2
127	не только	42	2
128	не могут	6	2
129	а в	4	2
130	том что	7	2
131	для человека	5	2
132	мир и	3	2
133	истории и	2	2
134	на том	3	2
135	его к	2	2
136	и во	5	2
137	божественной жизни	2	2
138	и люди	2	2
139	камней в	2	2
140	от него	4	2
141	а к	2	2
142	и зла	9	2
143	и тогда	2	2
144	для человечества	2	2
145	есть уже	8	2
146	уже не	8	2
147	своей свободы	4	2
148	было еще	2	2
149	два начала	2	2
150	свободе и	4	2
151	могут быть	2	2
152	не к	6	2
153	уж конечно	3	2
154	в духе	6	2
155	которые не	2	2
156	от свободы	5	2
157	один из	9	2
158	ивана карамазова	10	2
159	в человека	4	2
160	и окончательное	2	2
161	вера в	3	2
162	в смысл	2	2
163	не будет	3	2
164	для них	3	2
165	того чтобы	4	2
166	людей не	2	2
167	и никогда	4	2
168	более чем	3	2
169	мира в	2	2
170	духа и	6	2
171	тем что	7	2
172	мы не	2	2
173	человека как	3	2
174	конечно не	3	2
175	что было	2	2
176	это все	2	2
177	только в	7	2
178	верит в	2	2
179	те которые	12	2
180	и за	2	2
181	и хлеба	2	2
182	все равно	3	2
183	его и	2	2
184	от своей	2	2
185	любовь не	7	2
186	для нас	3	2
187	людей и	5	2
188	прежде всего	18	2
189	имя счастья	3	2
190	с ним	5	2
191	его не	5	2
192	всего в	2	2
193	между тем	2	2
194	о свободе	18	2
195	для него	28	2
196	в бога	5	2
