N	2gram	Losev_Prob	PoTuStor
1	может быть	29	17
2	и в	64	16
3	и пр	4	12
4	мы можем	8	9
5	в этом	30	9
6	и только	7	9
7	таким образом	9	9
8	прежде всего	17	9
9	и с	12	8
10	точки зрения	5	8
11	совершенно не	7	8
12	не может	18	8
13	и его	3	8
14	сказать что	33	7
15	не только	37	7
16	с его	3	7
17	и это	13	6
18	с точки	3	6
19	конечно не	3	6
20	самом деле	10	6
21	я и	2	6
22	и к	2	6
23	для него	2	6
24	при этом	8	6
25	ни в	13	5
26	все эти	15	5
27	что такое	23	5
28	как бы	18	5
29	только для	3	5
30	еще не	18	5
31	в чем	3	5
32	в него	3	5
33	сознание и	2	5
34	как мы	10	4
35	и на	11	4
36	все это	11	4
37	на самом	9	4
38	его в	9	4
39	в его	12	4
40	и ее	9	4
41	но и	23	4
42	и не	63	4
43	и все	9	4
44	но в	19	4
45	с самого	3	4
46	в этой	14	4
47	но мы	3	4
48	и наконец	3	4
49	так как	16	4
50	и их	4	4
51	все что	2	4
52	и может	2	4
53	только в	19	4
54	в нем	14	4
55	а потому	2	4
56	хотя бы	15	4
57	можно сказать	9	4
58	так и	17	4
59	для всех	3	4
60	мысли и	2	4
61	самого начала	2	4
62	отнюдь не	15	4
63	и даже	19	4
64	едва ли	10	3
65	что в	21	3
66	и притом	6	3
67	даже не	3	3
68	и как	10	3
69	и потому	3	3
70	на этой	4	3
71	а в	7	3
72	в том	19	3
73	их в	6	3
74	в общем	5	3
75	с другими	6	3
76	в области	8	3
77	до сих	6	3
78	только на	13	3
79	крайней мере	8	3
80	и есть	7	3
81	но оно	2	3
82	в этих	7	3
83	отношения к	2	3
84	как это	7	3
85	то что	72	3
86	только как	2	3
87	во всех	9	3
88	по крайней	8	3
89	могут быть	2	3
90	сих пор	6	3
91	на язык	2	3
92	всяком случае	11	3
93	вместе с	4	3
94	учение о	5	3
95	этом смысле	8	3
96	и др	2	3
97	во всяком	18	3
98	и значение	4	3
99	том что	26	3
100	в основе	4	3
101	один из	7	2
102	никогда не	8	2
103	для нас	11	2
104	что мы	23	2
105	может иметь	3	2
106	по своему	14	2
107	мы видим	2	2
108	есть и	4	2
109	с нею	2	2
110	в них	8	2
111	с историей	2	2
112	не можем	2	2
113	в жизни	3	2
114	кажется что	2	2
115	в каком	7	2
116	понятия и	2	2
117	в одно	5	2
118	для этого	5	2
119	и вообще	13	2
120	же как	2	2
121	и для	10	2
122	совсем не	9	2
123	и этот	4	2
124	что не	8	2
125	нам кажется	2	2
126	в область	3	2
127	что это	4	2
128	другими словами	8	2
129	этой теории	4	2
130	оно и	3	2
131	и по	3	2
132	вообще не	5	2
133	что и	2	2
134	не менее	26	2
135	ее в	2	2
136	на первый	5	2
137	не существует	12	2
138	нет никаких	2	2
139	существует только	3	2
140	было бы	16	2
141	не могут	6	2
142	сводится к	3	2
143	но отнюдь	4	2
144	о том	25	2
145	то же	10	2
146	с этим	7	2
147	как и	7	2
148	что он	11	2
149	так же	12	2
150	говорить о	14	2
151	потому и	2	2
152	того же	3	2
153	но ведь	6	2
154	в науке	4	2
155	в своей	8	2
156	мы не	6	2
157	из этих	5	2
158	но как	11	2
159	в самом	10	2
160	находится в	2	2
161	знаем что	2	2
162	а может	3	2
163	не на	4	2
164	в частности	5	2
165	войти в	3	2
166	сознания и	4	2
167	он не	5	2
168	между собою	9	2
169	во всей	4	2
170	если мы	16	2
171	со всеми	2	2
172	и о	11	2
173	оно не	6	2
174	не есть	49	2
175	к другим	2	2
176	за пределы	6	2
177	что на	4	2
178	нет и	5	2
179	только и	5	2
180	поэтому и	2	2
181	меньше всего	3	2
182	не знает	4	2
183	в пределах	2	2
184	что оно	4	2
185	момент в	2	2
186	и так	2	2
187	есть в	9	2
188	мы уже	8	2
189	только то	6	2
190	не будет	11	2
191	с ним	4	2
192	об его	4	2
193	между собой	5	2
194	но это	11	2
195	но зато	3	2
