N	2gram	Nazirov_Tr	VerxiiNi
1	и в	18	26
2	с тем	2	18
3	в этом	9	15
4	как бы	7	12
5	в том	2	11
6	не только	8	10
7	и с	7	10
8	может быть	7	10
9	что в	4	9
10	но и	4	9
11	и не	7	8
12	но все	2	7
13	к нему	3	7
14	потому что	2	7
15	то что	4	7
16	но в	6	7
17	том что	4	7
18	все же	5	6
19	к тому	2	6
20	о том	2	6
21	в себе	4	6
22	в конце	3	6
23	несмотря на	5	6
24	что и	2	6
25	все эти	3	6
26	все это	4	6
27	так и	5	6
28	никогда не	2	5
29	в мире	3	5
30	не имеет	2	5
31	так же	4	5
32	отношение к	2	5
33	к жизни	5	5
34	в его	3	5
35	что все	2	4
36	в самом	2	4
37	в нем	4	4
38	не может	5	4
39	то есть	3	4
40	в виде	2	4
41	то же	5	4
42	и что	4	4
43	что он	6	4
44	он не	2	4
45	ничем не	2	4
46	в этой	4	4
47	в то	5	4
48	что это	5	3
49	в своем	3	3
50	точно так	2	3
51	уже не	2	3
52	и даже	4	3
53	и как	3	3
54	что эти	2	3
55	при этом	3	3
56	в таком	2	3
57	так что	2	3
58	в одном	2	3
59	для него	3	3
60	и это	2	2
61	не могут	2	2
62	но при	2	2
63	между этими	2	2
64	из своих	2	2
65	в образе	6	2
66	и на	7	2
67	в русском	2	2
68	и здесь	2	2
69	уже в	3	2
70	еще не	4	2
71	не в	2	2
72	и все	4	2
73	же время	6	2
74	один из	3	2
75	прежде всего	4	2
76	в глазах	2	2
77	с его	2	2
78	этими двумя	2	2
