N	2gram	Berdyaev_M	PoTuStor
1	может быть	42	17
2	и в	61	16
3	в этом	34	9
4	прежде всего	18	9
5	к матери	2	8
6	и с	6	8
7	точки зрения	6	8
8	не может	39	8
9	и его	13	8
10	сказать что	5	7
11	не только	42	7
12	с его	6	7
13	и это	16	6
14	конечно не	3	6
15	самом деле	2	6
16	я и	3	6
17	и к	9	6
18	для него	28	6
19	ни в	3	5
20	все эти	3	5
21	что такое	2	5
22	как бы	10	5
23	в чем	3	5
24	в него	3	5
25	отношение к	9	5
26	и на	9	4
27	все это	6	4
28	на самом	2	4
29	его в	6	4
30	в его	10	4
31	и ее	2	4
32	но и	34	4
33	и не	26	4
34	и все	13	4
35	но в	12	4
36	в этой	12	4
37	так как	10	4
38	и их	3	4
39	все что	5	4
40	только в	7	4
41	в нем	26	4
42	хотя бы	8	4
43	так и	5	4
44	мысли и	2	4
45	и она	5	3
46	что в	12	3
47	жизни и	6	3
48	и как	3	3
49	и потому	17	3
50	а в	4	3
51	в том	9	3
52	по сравнению	3	3
53	и вот	7	3
54	те же	5	3
55	до сих	5	3
56	и есть	21	3
57	сравнению с	2	3
58	в этих	6	3
59	чем не	3	3
60	отношения к	6	3
61	с их	2	3
62	то что	10	3
63	во всех	3	3
64	мира и	6	3
65	могут быть	2	3
66	сих пор	5	3
67	вместе с	7	3
68	учение о	3	3
69	к себе	3	3
70	на этом	5	3
71	том что	7	3
72	в основе	4	3
73	один из	9	2
74	никогда не	30	2
75	для нас	3	2
76	по своему	3	2
77	мы видим	4	2
78	есть и	6	2
79	в них	5	2
80	в жизни	7	2
81	в каком	2	2
82	в мир	3	2
83	для этого	3	2
84	и для	7	2
85	совсем не	3	2
86	и этот	4	2
87	что не	3	2
88	что это	5	2
89	и по	4	2
90	так называемый	2	2
91	вообще не	2	2
92	что и	6	2
93	не существует	5	2
94	нет никаких	2	2
95	и мы	2	2
96	было бы	11	2
97	не могут	6	2
98	и ницше	4	2
99	и других	2	2
100	о том	5	2
101	то же	4	2
102	они не	4	2
103	с этим	4	2
104	как и	14	2
105	что он	16	2
106	так же	5	2
107	в глубину	5	2
108	потому и	2	2
109	на два	2	2
110	в своей	18	2
111	мы не	2	2
112	себя и	6	2
113	в самом	15	2
114	в начале	2	2
115	с этой	4	2
116	он не	34	2
117	у него	38	2
118	всю жизнь	7	2
119	оно не	3	2
120	не есть	21	2
121	за пределы	5	2
122	к этому	3	2
123	путь к	2	2
124	нет и	6	2
125	только и	7	2
126	не знает	12	2
127	момент в	5	2
128	быть может	9	2
129	и этим	2	2
130	есть в	3	2
131	в этот	2	2
132	влечет к	6	2
133	не будет	3	2
134	с ним	5	2
135	на протяжении	2	2
136	но это	8	2
