N	2gram	Tiupa_Anal	Sotsiolo
1	все это	5	7
2	в том	16	5
3	в этом	19	5
4	более чем	2	3
5	не только	40	3
6	в его	12	3
7	не в	9	3
8	и в	36	3
9	это и	4	2
10	дело не	3	2
11	отношению к	9	2
12	по отношению	9	2
13	еще не	7	2
14	по природе	3	2
15	только в	9	2
16	что в	15	2
17	тем более	3	2
18	в частности	19	2
19	том что	19	2
20	было бы	6	2
21	таким образом	4	2
22	то же	7	2
23	и что	2	2
24	к которому	2	2
25	то что	5	2
26	как бы	14	2
27	но и	26	2
28	очевидно что	2	2
29	в конце	6	2
30	за пределы	3	2
31	далеко не	8	2
32	может быть	19	2
33	в результате	6	2
