N	2gram	Propp_Isto	Sotsiolo
1	все это	4	7
2	в том	13	5
3	в этом	25	5
4	для нас	6	3
5	не только	28	3
6	и только	6	3
7	в его	7	3
8	не в	9	3
9	и в	43	3
10	это и	4	2
11	она может	2	2
12	дело не	3	2
13	должна быть	2	2
14	отношению к	2	2
15	по отношению	2	2
16	еще не	15	2
17	только в	8	2
18	что в	29	2
19	в частности	6	2
20	том что	12	2
21	было бы	5	2
22	таким образом	15	2
23	то же	11	2
24	как будто	2	2
25	и что	6	2
26	как только	2	2
27	к которому	6	2
28	то что	20	2
29	как бы	5	2
30	но и	24	2
31	главным образом	3	2
32	далеко не	3	2
33	может быть	22	2
34	по существу	3	2
