N	2gram	Trubetskoy	Sovremen
1	не может	22	17
2	точки зрения	11	12
3	может быть	9	12
4	таким образом	11	11
5	не можем	2	7
6	и в	14	7
7	в этом	17	7
8	и не	19	6
9	как и	4	6
10	в результате	2	6
11	мы можем	2	6
12	что же	4	5
13	с точки	9	5
14	все эти	2	5
15	и наконец	2	5
16	прежде всего	8	5
17	вопрос о	5	4
18	не только	9	4
19	в том	17	4
20	мы должны	7	4
21	как бы	4	4
22	их в	2	4
23	так как	4	4
24	точку зрения	4	4
25	жизни и	4	4
26	вместе с	4	4
27	а в	5	4
28	из них	3	4
29	для нас	2	3
30	не подлежит	2	3
31	и т.д	4	3
32	может не	3	3
33	и потому	3	3
34	на этой	2	3
35	но в	2	3
36	при этом	5	3
37	но мы	3	3
38	не в	4	3
39	все же	4	3
40	было бы	5	3
41	в области	2	3
42	в себе	9	3
43	еще не	3	3
44	одна из	3	3
45	все это	6	3
46	в нем	5	3
47	между собой	5	3
48	а не	2	3
49	и к	6	3
50	в этой	4	3
51	то же	11	3
52	отличается от	2	3
53	отнюдь не	7	3
54	в конце	3	3
55	ясно что	2	3
56	и по	3	2
57	всяком случае	6	2
58	что все	3	2
59	которой он	4	2
60	быть и	2	2
61	не могут	4	2
62	в его	4	2
63	к чему	2	2
64	он должен	5	2
65	с этим	2	2
66	и что	2	2
67	во всяком	9	2
68	и во	3	2
69	с другом	14	2
70	что такое	2	2
71	приводит к	4	2
72	из этих	3	2
73	в самом	3	2
74	она может	3	2
75	и есть	2	2
76	в виде	3	2
77	знаем что	3	2
78	что в	4	2
79	в настоящее	2	2
80	совершенно не	2	2
81	ни одна	3	2
82	в таком	2	2
83	у него	2	2
84	в некоторых	2	2
85	самом деле	7	2
86	уже не	2	2
87	то ни	4	2
88	если же	2	2
89	настоящее время	2	2
90	говорить о	3	2
91	что это	3	2
92	или иной	5	2
93	из которых	5	2
94	и даже	2	2
95	друг с	14	2
