N	3gram	Bakhtin_KF	Formalny
1	с точки зрения	10	40
2	не может быть	11	29
3	на самом деле	3	21
4	то же время	2	20
5	в то же	2	20
6	по отношению к	22	12
7	бы то ни	2	10
8	в его целом	10	10
9	то ни было	2	7
10	и в этом	3	7
11	того или иного	3	7
12	раз и навсегда	2	6
13	в том что	2	6
14	в этом смысле	3	5
15	в своем содержании	2	4
16	а не в	2	4
17	тем не менее	2	4
18	в нем и	3	4
19	в ее целом	3	4
20	в отвлечении от	5	3
21	то или иное	2	3
22	во всех своих	3	3
23	и тот же	3	3
24	в нем как	4	3
25	один и тот	3	3
26	время и пространство	4	2
27	вовсе не есть	2	2
28	может быть только	7	2
29	лишь постольку поскольку	2	2
30	всех своих моментах	2	2
31	между тем как	3	2
32	ни в чем	4	2
33	мы говорим о	2	2
34	на первом плане	2	2
35	но все эти	3	2
36	имеем в виду	2	2
