N	2gram	Bakhtin_sl	UchenyiS
1	и в	69	14
2	не только	37	10
3	а не	29	10
4	и не	32	8
5	прежде всего	14	8
6	то что	2	7
7	не может	27	7
8	в этом	21	7
9	может быть	40	6
10	перестает быть	2	5
11	и только	2	5
12	то же	17	5
13	хотя бы	6	5
14	все это	14	5
15	но и	37	4
16	с другой	8	4
17	в их	6	4
18	конечно не	7	4
19	у нас	2	3
20	в частности	3	3
21	для этого	4	3
22	это не	8	3
23	как такового	3	3
24	и то	2	3
25	в своей	8	3
26	все же	10	3
27	не как	4	3
28	как и	8	3
29	в то	17	3
30	но в	13	3
31	же время	15	3
32	и формы	4	3
33	ни было	2	3
34	было бы	3	3
35	другой стороны	5	3
36	для него	8	3
37	в самом	6	2
38	в себе	3	2
39	и у	2	2
40	мы и	2	2
41	в широком	3	2
42	нас в	3	2
43	что он	2	2
44	на каждом	2	2
45	таким образом	16	2
46	формы и	3	2
47	но не	7	2
48	и для	7	2
49	не все	2	2
50	между тем	5	2
51	только в	9	2
52	одним из	5	2
53	в противовес	2	2
54	а его	2	2
55	не есть	2	2
56	ничего не	5	2
57	всех этих	8	2
58	даже и	4	2
59	и с	10	2
60	что и	2	2
61	каждом шагу	2	2
62	могут быть	25	2
63	а между	2	2
64	меньшей степени	4	2
65	не приходится	2	2
66	не могут	7	2
67	это было	2	2
68	сих пор	4	2
69	по себе	4	2
70	том что	6	2
71	а как	3	2
72	в его	19	2
73	все они	9	2
74	в том	7	2
75	что все	2	2
76	этом отношении	2	2
77	с его	8	2
78	как раз	3	2
79	должна быть	3	2
80	его и	5	2
81	но это	3	2
82	для всех	2	2
83	по существу	3	2
84	не в	14	2
85	бы и	6	2
86	в системе	2	2
87	в некоторых	3	2
88	мы не	4	2
89	до сих	4	2
90	могли бы	2	2
91	не столько	4	2
92	именно как	3	2
