N	3gram	Losev_Prob	Vvedenie
1	и т д	12	39
2	для того чтобы	9	22
3	в том что	7	15
4	о том что	16	13
5	в этом смысле	8	10
6	не может быть	5	10
7	тем не менее	25	9
8	до сих пор	6	7
9	в то же	4	6
10	в этом случае	6	6
11	в самом деле	4	6
12	вопрос о том	2	5
13	не что иное	5	5
14	во всяком случае	11	5
15	что иное как	5	5
16	с другой стороны	7	5
17	по крайней мере	8	4
18	не только в	3	4
19	в данном случае	10	4
20	так или иначе	7	4
21	в этом отношении	2	4
22	и в этом	5	4
23	с одной стороны	4	4
24	с точки зрения	3	4
25	можно было бы	4	4
26	вместе с тем	2	3
27	заключается в том	2	3
28	то же самое	9	3
29	той или иной	5	3
30	одной стороны и	2	3
31	по этому поводу	5	3
32	можно говорить о	2	3
33	есть не что	5	3
34	именно в этом	2	3
35	и тем не	8	3
36	можно сказать что	6	3
37	также и в	2	3
38	что может быть	3	3
39	и в самом	2	3
40	с тем что	2	3
41	дело в том	3	3
42	тех или иных	2	3
43	сама по себе	6	3
44	и то что	9	3
45	как мы уже	2	2
46	на том что	3	2
47	сам по себе	7	2
48	в значительной мере	2	2
49	что же касается	3	2
50	подобно тому как	2	2
51	а также и	2	2
52	как будто бы	4	2
53	в конце концов	11	2
54	в этих случаях	3	2
55	и того же	2	2
56	точно так же	7	2
57	только в том	4	2
58	одного и того	2	2
59	в известной мере	2	2
60	что в нем	4	2
61	не говоря уже	6	2
62	может быть и	5	2
63	хотя бы и	3	2
64	в связи с	7	2
