N	2gram	Propp_Isto	VerxiiNi
1	и в	41	26
2	таким образом	15	22
3	с тем	8	18
4	в этом	19	15
5	вместе с	17	15
6	точки зрения	4	13
7	как бы	8	12
8	в том	14	11
9	не только	30	10
10	из этих	6	10
11	и с	4	10
12	может быть	19	10
13	после смерти	7	10
14	что в	21	9
15	так как	21	9
16	в области	3	9
17	связи с	3	9
18	магической силы	4	9
19	но и	20	9
20	но не	8	8
21	с другой	20	8
22	в индии	2	8
23	главным образом	3	8
24	и у	3	8
25	и не	12	8
26	как на	3	8
27	но все	5	7
28	к нему	8	7
29	потому что	13	7
30	связанные с	3	7
31	одной стороны	12	7
32	из них	2	7
33	то что	12	7
34	с одной	12	7
35	но в	7	7
36	том что	18	7
37	а с	3	7
38	представление о	9	6
39	все же	14	6
40	к тому	4	6
41	о том	15	6
42	мы должны	7	6
43	того же	3	6
44	в себе	3	6
45	в конце	4	6
46	всяком случае	3	6
47	что и	13	6
48	все эти	8	6
49	все это	9	6
50	так и	8	6
51	во всяком	3	6
52	никогда не	16	5
53	одной из	4	5
54	не имеет	6	5
55	более или	3	5
56	так же	6	5
57	в силу	2	5
58	отношение к	6	5
59	в его	4	5
60	для того	2	5
61	а не	9	5
62	сих пор	5	5
63	до сих	4	5
64	или менее	3	5
65	на этот	4	4
66	и от	5	4
67	далеко не	3	4
68	а в	12	4
69	в котором	3	4
70	в самом	2	4
71	в нем	12	4
72	не может	19	4
73	в которых	2	4
74	попадает в	5	4
75	и вместе	3	4
76	из которых	3	4
77	в виде	5	4
78	то же	12	4
79	должен был	2	4
80	и что	15	4
81	и по	7	4
82	в этих	16	4
83	только в	10	4
84	что он	29	4
85	и только	4	4
86	он не	8	4
87	ничем не	2	4
88	во время	7	4
89	в этой	2	4
90	в то	6	4
91	что это	6	3
92	в своем	3	3
93	так или	2	3
94	а после	2	3
95	но с	2	3
96	если в	3	3
97	оказывается что	3	3
98	не вполне	5	3
99	к ним	3	3
100	большей частью	2	3
101	точно так	2	3
102	или иначе	2	3
103	и если	4	3
104	уже не	8	3
105	и нет	3	3
106	к этому	5	3
107	с ней	4	3
108	в которой	2	3
109	тем не	4	3
110	представляет собой	8	3
111	и даже	3	3
112	и как	3	3
113	что эти	4	3
114	за собой	2	3
115	если бы	3	3
116	и те	2	3
117	же как	6	3
118	в других	6	3
119	при этом	7	3
120	не менее	5	3
121	на западе	2	3
122	к концу	3	3
123	у них	3	3
124	когда он	5	3
125	в качестве	5	3
126	и при	2	3
127	с этой	7	3
128	в связи	3	3
129	и другие	10	3
130	так что	6	3
131	ясно что	2	3
132	и о	2	3
133	но по	2	3
134	можно сказать	3	3
135	отношению к	3	3
136	в одном	2	3
137	того что	7	3
138	мы видели	17	2
139	сказать что	5	2
140	так например	5	2
141	связан с	5	2
142	от них	2	2
143	но вместе	2	2
144	которые в	3	2
145	этой точки	3	2
146	начиная с	2	2
147	в эту	3	2
148	из этого	2	2
149	с тех	2	2
150	и это	9	2
151	не могут	3	2
152	но при	2	2
153	а также	2	2
154	на то	5	2
155	утверждать что	3	2
156	относится к	2	2
157	он в	4	2
158	мы имеем	27	2
159	мы можем	11	2
160	в начале	2	2
161	с того	5	2
162	связь с	7	2
163	вплоть до	2	2
164	на небе	7	2
165	больше чем	2	2
166	такое положение	2	2
167	должно было	2	2
168	именно в	2	2
169	конечно не	2	2
170	отличается от	4	2
171	если не	4	2
172	тогда когда	3	2
173	в образе	4	2
174	но если	2	2
175	те же	2	2
176	что мы	3	2
177	в них	4	2
178	очень много	2	2
179	и на	12	2
180	и здесь	13	2
181	и действительно	4	2
182	уже в	4	2
183	с целью	2	2
184	еще не	13	2
185	все что	4	2
186	жизни и	3	2
187	что именно	2	2
188	не было	3	2
189	и больше	3	2
190	по своим	3	2
191	превращается в	10	2
192	не в	12	2
193	из него	3	2
194	не всегда	6	2
195	и наконец	6	2
196	в одно	2	2
197	ее с	2	2
198	этой задачи	3	2
199	и все	6	2
200	на друга	2	2
201	один из	7	2
202	в русских	3	2
203	друг на	2	2
204	связано с	7	2
205	и после	2	2
206	прежде всего	6	2
207	его не	4	2
208	и из	2	2
209	тот же	2	2
210	не могло	2	2
211	связана с	4	2
212	с его	4	2
213	во всех	8	2
214	всех других	2	2
215	вслед за	2	2
216	в другое	2	2
217	в китае	3	2
218	не с	2	2
219	по существу	5	2
