N	3gram	Voloshinov	Myslijsy
1	в том что	9	47
2	по отношению к	9	26
3	не может быть	23	19
4	тем не менее	3	18
5	в свою очередь	5	14
6	само по себе	2	14
7	от того что	2	13
8	то же время	7	13
9	в то же	7	13
10	во всяком случае	4	12
11	с другой стороны	6	12
12	более или менее	3	12
13	до сих пор	10	12
14	смысле этого слова	6	12
15	для того чтобы	7	11
16	с одной стороны	2	10
17	одного и того	9	9
18	о том что	2	9
19	на то что	2	9
20	и того же	9	9
21	в таком случае	5	9
22	но и в	3	9
23	не могут быть	3	9
24	до тех пор	2	9
25	на самом деле	5	8
26	так и в	2	8
27	в этом случае	3	8
28	и то же	3	7
29	можно сказать что	4	7
30	одной и той	2	7
31	одно и то	3	7
32	и той же	2	7
33	не только в	2	7
34	с точки зрения	31	7
35	о происхождении языка	2	7
36	сама по себе	2	7
37	в этом смысле	2	7
38	не было бы	3	6
39	то же самое	8	6
40	с самого начала	9	6
41	к тому что	4	5
42	языка и его	6	5
43	все более и	2	4
44	и тот же	3	4
45	вопрос о том	2	4
46	одним и тем	2	4
47	в противном случае	2	4
48	и тем же	2	4
49	в этом отношении	4	4
50	в собственном смысле	2	4
51	один и тот	3	4
52	на этот вопрос	3	4
53	более и более	2	4
54	бы то ни	11	3
55	рано или поздно	2	3
56	тех пор пока	2	3
57	в первом случае	3	3
58	том что он	3	3
59	связи с другими	2	3
60	ничего общего с	2	3
61	а не в	3	3
62	можно было бы	2	3
63	язык не есть	2	3
64	в большинстве случаев	7	3
65	в связи с	12	3
66	же касается до	2	3
67	до известной степени	2	3
68	со всех сторон	2	3
69	так или иначе	2	3
70	но при этом	2	2
71	в смысле совокупности	5	2
72	то же слово	2	2
73	говорящего и слушающего	2	2
74	что во всех	2	2
75	так же как	2	2
76	есть прежде всего	2	2
77	уже с самого	2	2
78	как мы видели	4	2
79	и не в	3	2
80	то ни было	11	2
81	не существует для	2	2
82	а следовательно и	2	2
83	в этом последнем	2	2
84	то что делает	3	2
85	и не может	11	2
86	но все же	4	2
