N	3gram	Medvedev_F	Freidism
1	с точки зрения	17	15
2	не может быть	11	14
3	по отношению к	4	11
4	в самом деле	5	10
5	в том что	3	9
6	во всяком случае	6	8
7	как мы видели	5	8
8	и прежде всего	2	7
9	в то же	13	6
10	в высшей степени	4	6
11	может быть и	4	6
12	то же время	13	6
13	в большинстве случаев	5	5
14	с самого начала	2	5
15	в последнем счете	2	4
16	тем не менее	2	4
17	в этом отношении	7	4
18	сам по себе	2	4
19	не могут быть	4	4
20	в данном случае	2	4
21	в зависимости от	4	4
22	на самом деле	7	4
23	в первый период	5	4
24	и до конца	3	4
25	в ее целом	3	4
26	в свою очередь	6	4
27	мы не можем	3	3
28	бы то ни	4	3
29	во всех своих	2	3
30	но в то	3	3
31	так и в	6	3
32	для того чтобы	3	3
33	а вовсе не	2	3
34	к тому чтобы	2	3
35	и не может	5	3
36	до сих пор	7	3
37	нет и не	2	3
38	в применении к	4	2
39	ни о какой	2	2
40	к тому что	3	2
41	пр и пр	4	2
42	как раз и	4	2
43	мы полагаем что	3	2
44	первый период развития	2	2
45	в отличие от	2	2
46	в конце концов	2	2
47	с одной стороны	5	2
48	что и в	2	2
49	в первом периоде	3	2
50	в этом смысле	3	2
51	и пр и	4	2
52	в его целом	8	2
