N	3gram	Voloshinov	Psycholo
1	для того чтобы	7	70
2	в самом деле	2	51
3	о том что	2	34
4	то же самое	4	31
5	с точки зрения	5	29
6	все то что	2	23
7	не может быть	2	23
8	к тому что	2	20
9	мы увидим что	2	19
10	на самом деле	3	17
11	с самого начала	4	16
12	мы видим что	2	16
13	в зависимости от	7	15
14	в этом отношении	2	14
15	заключает в себе	4	13
16	в конце концов	3	12
17	одной и той	4	12
18	и той же	4	12
19	мы никогда не	5	11
20	вместе с тем	2	10
21	и то же	5	8
22	и как бы	2	8
23	смысле этого слова	2	8
24	в свою очередь	4	7
25	можно сказать что	2	7
26	та же самая	2	7
27	одно и то	5	7
28	не что иное	2	6
29	что иное как	2	6
30	того или иного	5	6
31	то что мы	4	6
32	не только в	3	6
33	как бы в	3	5
34	все больше и	2	5
35	не было бы	2	5
36	мы видели что	2	5
37	зависимости от того	2	5
38	больше и больше	2	5
39	приходится иметь дело	2	5
40	и тем же	2	4
41	точном смысле этого	2	4
42	то или иное	4	4
43	только потому что	2	4
44	мы не имеем	2	3
45	в этом случае	3	3
46	с тем и	2	3
47	и те же	2	3
48	в то же	9	3
49	по отношению к	2	3
50	той же самой	2	3
51	то же время	7	3
52	никогда не сумеем	2	3
53	одни и те	2	3
54	той или иной	4	2
55	как мы видели	3	2
56	но при этом	2	2
57	которое может быть	3	2
58	но для того	3	2
59	в тех случаях	2	2
60	есть не что	2	2
61	но и в	3	2
62	в связи с	2	2
63	тех или иных	3	2
64	как мы увидим	2	2
65	в точном смысле	2	2
66	и тем самым	3	2
67	и для того	2	2
68	в той же	3	2
69	должны были бы	2	2
70	не так как	2	2
71	равно как и	2	2
