N	3gram	Tiupa_Narr	Hudozhes
1	по отношению к	6	10
2	не сводится к	2	9
3	в том что	8	8
4	присутствия в мире	2	7
5	в то же	3	7
6	в отличие от	5	7
7	то же время	3	7
8	с другой стороны	4	6
9	более или менее	2	6
10	в конечном счете	2	5
11	состоит в том	3	5
12	той или иной	4	5
13	так и не	2	4
14	так или иначе	2	4
15	того или иного	2	4
16	не может быть	5	4
17	ни в мире	3	3
18	по сути дела	2	3
19	с точки зрения	2	3
20	с одной стороны	7	3
21	в том числе	6	3
22	тем не менее	3	3
23	подобно тому как	2	3
24	в связи с	2	3
25	можно сказать что	4	3
26	ту или иную	2	2
27	то ни было	3	2
28	бы то ни	3	2
29	в известном смысле	2	2
30	и в форме	2	2
31	в таком случае	2	2
32	сказания или анекдота	2	2
33	том числе и	4	2
34	как к содержанию	2	2
35	этой точки зрения	2	2
36	в значительной степени	2	2
37	мы имеем дело	2	2
38	вокруг я героя	2	2
39	речевая маска такого	2	2
40	отношения к сообщаемому	2	2
41	значении этого слова	2	2
42	кто говорит и	2	2
43	со стороны адресата	2	2
44	в свою очередь	3	2
45	индивидуального речевого замысла	2	2
46	в основе своей	4	2
47	в той или	2	2
