N	2gram	Losev_Dial	RusskieA
1	и в	35	79
2	в том	20	64
3	том что	18	59
4	что в	19	57
5	т е	49	54
6	не только	26	41
7	во время	2	38
8	так как	24	34
9	в этом	18	33
10	как бы	19	31
11	но и	17	31
12	как и	10	28
13	может быть	30	28
14	и т	31	23
15	о том	8	23
16	при этом	2	22
17	т д	28	21
18	это не	18	20
19	е в	3	20
20	как мы	5	20
21	а в	8	20
22	из них	5	19
23	все это	14	18
24	с тем	2	17
25	потому что	23	17
26	показывает что	2	17
27	то что	25	17
28	об этом	7	17
29	таким образом	5	17
30	вместе с	3	17
31	один из	3	15
32	или на	3	15
33	будто бы	3	15
34	не менее	5	14
35	в них	4	14
36	как это	8	14
37	тем не	3	14
38	и не	51	14
39	и с	10	14
40	и что	17	14
41	так что	21	13
42	и по	5	13
43	к этому	2	13
44	не может	16	13
45	еще не	4	13
46	как в	3	13
47	уже не	3	13
48	в которых	2	13
49	этот обряд	3	12
50	в виде	2	12
51	мы имеем	4	12
52	тем что	2	12
53	что на	2	11
54	но это	12	11
55	мы увидим	2	11
56	не имеет	15	11
57	далеко не	2	11
58	его в	3	10
59	так и	18	10
60	по существу	2	10
61	между тем	3	10
62	все же	9	10
63	что и	7	10
64	или в	2	10
65	о чем	4	9
66	но в	8	9
67	и все	11	9
68	что они	8	9
69	того как	3	9
70	с ней	2	9
71	то же	21	9
72	но не	9	9
73	видно что	2	9
74	так же	6	8
75	после этого	3	8
76	того что	6	8
77	одно из	2	8
78	в данном	5	8
79	их в	2	8
80	же в	2	8
81	связи с	3	8
82	что это	21	8
83	как например	2	8
84	во всех	3	8
85	ее в	2	8
86	для того	2	8
87	в этих	6	8
88	что по	3	8
89	в своем	7	7
90	мы должны	6	7
91	ничего не	19	7
92	не в	12	7
93	главным образом	2	7
94	а с	2	7
95	к нему	12	7
96	было бы	14	7
97	для этого	2	7
98	из этих	2	7
99	и как	14	7
100	это время	3	7
101	еще в	2	7
102	только в	7	7
103	связанные с	3	7
104	как будто	7	7
105	а не	24	7
106	в этой	3	6
107	и их	5	6
108	и у	2	6
109	на этом	4	6
110	в их	5	6
111	не всегда	2	6
112	только на	3	6
113	тому что	4	6
114	она не	10	6
115	к тому	6	6
116	что этот	3	6
117	в нем	25	6
118	же как	3	6
119	с ними	4	6
120	все эти	4	6
121	в качестве	2	6
122	но она	4	6
123	в одном	4	6
124	что она	18	6
125	и о	4	6
126	что здесь	4	6
127	на земле	3	6
