N	2gram	Tiupa_Teor	Vvedenie
1	в том	20	38
2	в этом	12	35
3	и в	24	35
4	том что	11	30
5	может быть	22	30
6	не только	24	26
7	для того	5	23
8	того чтобы	5	22
9	таким образом	3	21
10	не может	8	19
11	то что	6	19
12	потому что	3	18
13	со стороны	6	16
14	о том	2	16
15	только в	9	16
16	представляет собой	13	14
17	и не	17	13
18	что в	10	13
19	в самом	7	13
20	в нем	7	13
21	в их	4	12
22	того что	5	12
23	что такое	2	12
24	точки зрения	11	12
25	в его	12	12
26	этом смысле	3	11
27	в данном	9	11
28	то же	12	11
29	по себе	2	11
30	в ее	6	11
31	не в	9	10
32	прежде всего	3	10
33	но в	12	10
34	в той	2	10
35	между тем	5	10
36	из этих	3	9
37	тем не	3	9
38	и как	3	9
39	но не	13	9
40	не менее	6	9
41	это не	4	8
42	с другой	9	8
43	а только	4	8
44	именно в	3	8
45	в качестве	33	8
46	и то	3	7
47	самом деле	2	7
48	как и	6	7
49	как бы	8	7
50	но и	14	7
51	сказать что	4	6
52	его в	4	6
53	не могут	2	6
54	об этом	2	6
55	и даже	2	6
56	а именно	3	6
57	в какой	2	6
58	на вопрос	2	6
59	и это	2	6
60	а в	15	6
61	уже не	6	6
62	могут быть	5	6
63	в то	9	6
64	один из	2	6
65	и что	4	6
66	и его	11	6
67	все это	2	6
68	же время	8	6
69	вовсе не	3	6
70	вместе с	2	6
71	данном случае	5	5
72	дело в	2	5
73	с их	2	5
74	дело не	2	5
75	имеет дело	2	5
76	и т.д	4	5
77	в виду	5	5
78	и тем	5	5
79	одним из	3	5
80	с этой	3	5
81	что он	4	5
82	по своему	4	5
83	как уже	2	5
84	как это	10	5
85	культуры в	3	5
86	на почве	5	5
87	другой стороны	6	5
88	в них	2	5
89	в целом	4	5
90	что и	2	5
91	языка в	4	5
92	говорить о	4	5
93	не просто	2	5
94	а не	14	5
95	в первом	2	5
96	хотя и	4	5
97	еще и	2	4
98	особого рода	7	4
99	мы имеем	7	4
100	о чем	3	4
101	одной стороны	3	4
102	и ее	4	4
103	в области	7	4
104	по отношению	10	4
105	должен быть	2	4
106	еще не	6	4
107	времени и	2	4
108	отношению к	10	4
109	в чем	2	4
110	отличие от	7	4
111	в отличие	7	4
112	с одной	3	4
113	заключается в	2	4
114	к тому	4	4
115	одной из	2	4
116	и для	3	4
117	об искусстве	2	4
118	так или	5	4
119	в тексте	19	4
120	не вполне	2	4
121	в одном	3	4
122	или иначе	6	4
123	в себе	14	4
124	с точки	3	4
125	быть названо	2	4
126	в своей	8	4
127	как раз	3	4
128	можно сказать	5	4
129	никогда не	4	3
130	в каком	2	3
131	в отношении	4	3
132	или иной	7	3
133	известном смысле	2	3
134	в своем	7	3
135	а также	7	3
136	так же	2	3
137	и наоборот	2	3
138	что она	2	3
139	в другом	4	3
140	в значительной	2	3
141	в конце	2	3
142	отношение к	7	3
143	во второй	7	3
144	и здесь	2	3
145	сама по	2	3
146	о литературе	3	3
147	если бы	3	3
148	в принципе	7	3
149	и вот	3	3
150	может оказаться	2	3
151	в этих	4	3
152	в силу	4	3
153	только на	2	3
154	в частности	23	3
155	истории литературы	2	3
156	как в	5	3
157	такого рода	13	3
158	что может	2	3
159	текст и	3	3
160	духовной жизни	2	3
161	не с	3	3
162	к нему	2	3
163	и на	2	3
164	того же	4	3
165	или иных	3	3
166	может служить	2	3
167	времени в	2	3
168	в текстах	4	3
169	входит в	4	3
170	в конечном	6	3
171	и к	3	3
172	на этом	2	3
173	между ними	6	3
174	однако в	7	3
175	из которых	2	3
176	в известном	2	3
177	своего рода	11	3
178	от себя	3	3
179	здесь не	2	3
180	тех или	3	3
181	и того	4	3
182	при этом	20	3
183	в основании	2	3
184	своей природе	3	3
185	все эти	3	3
186	той или	3	3
187	связи с	3	3
188	и сам	4	3
189	как будто	2	3
190	не следует	4	3
191	в этой	3	3
192	в слове	4	3
193	одно и	2	2
194	ними и	2	2
195	у нас	2	2
196	и потому	3	2
197	во всех	3	2
198	или иным	4	2
199	однако с	2	2
200	но как	2	2
201	с чем	2	2
202	тем более	2	2
203	значении этого	4	2
204	при всей	2	2
205	этой точки	2	2
206	в форме	4	2
207	в соответствии	3	2
208	как совокупность	3	2
209	сам же	2	2
210	не могли	2	2
211	языка на	2	2
212	в связи	3	2
213	это делает	2	2
214	подобно тому	3	2
215	казалось бы	2	2
216	а с	3	2
217	одного и	4	2
218	свою очередь	3	2
219	слова как	3	2
220	и другие	2	2
221	в формах	2	2
222	это может	2	2
223	так и	14	2
224	ни к	3	2
225	без остатка	3	2
226	к своему	2	2
227	отношении к	4	2
228	и др	3	2
229	на котором	2	2
230	искусства и	3	2
231	тому что	2	2
232	состоит в	22	2
233	мог бы	3	2
234	что можно	3	2
235	вопрос что	2	2
236	в свою	4	2
237	к действительности	3	2
238	жизни как	5	2
239	соответствии с	2	2
240	он и	2	2
241	не столько	7	2
242	тому как	3	2
243	речь идет	2	2
244	себя в	7	2
245	несмотря на	2	2
246	тем или	2	2
247	двоякого рода	2	2
248	к числу	2	2
249	а затем	2	2
250	большей части	2	2
251	тогда как	18	2
252	только о	2	2
253	что они	2	2
254	случае не	2	2
255	например в	3	2
256	этого слова	4	2
257	на языке	3	2
258	этих двух	2	2
259	во втором	3	2
260	быть и	2	2
