N	2gram	Potebnia_M	KulturaY
1	и т	10	143
2	т п	6	93
3	и в	58	84
4	в том	38	74
5	потому что	89	68
6	не только	32	60
7	точки зрения	8	59
8	в этом	18	57
9	было бы	21	53
10	и не	34	52
11	может быть	47	47
12	том что	21	44
13	того чтобы	4	44
14	что в	34	44
15	т д	6	42
16	для того	8	41
17	в самом	5	41
18	у нас	3	38
19	самом деле	2	37
20	хотя бы	4	37
21	так как	29	36
22	с точки	4	36
23	таким образом	21	33
24	а не	38	33
25	если бы	23	32
26	не в	23	30
27	прежде всего	8	30
28	в его	7	30
29	все же	11	29
30	того что	15	28
31	не менее	10	28
32	все эти	3	28
33	в языке	36	26
34	уже не	4	26
35	не может	30	25
36	то что	24	25
37	вовсе не	13	25
38	вопрос о	5	24
39	еще не	9	24
40	с другой	13	24
41	так и	17	23
42	то же	13	23
43	только в	36	23
44	языка в	6	22
45	тем не	11	21
46	во всяком	9	20
47	но и	26	20
48	по себе	24	20
49	и что	13	20
50	что он	5	19
51	но в	12	19
52	языка и	20	19
53	тем что	15	19
54	о том	6	19
55	всяком случае	7	19
56	что же	3	19
57	между тем	7	18
58	связи с	6	18
59	все это	3	18
60	к тому	5	18
61	с тем	9	18
62	в сущности	2	18
63	как бы	12	18
64	и с	3	18
65	вместе с	12	18
66	это не	10	17
67	что это	5	17
68	другой стороны	7	17
69	о языке	3	17
70	слова и	7	17
71	в виду	2	16
72	ничего не	2	16
73	что не	15	16
74	что и	16	16
75	тот же	5	16
76	но не	19	16
77	по отношению	15	15
78	и тем	5	15
79	один из	2	15
80	только потому	4	15
81	а в	11	15
82	при этом	17	15
83	того как	12	15
84	должно быть	9	15
85	лишь в	2	15
86	именно в	2	15
87	не было	7	15
88	как на	5	15
89	в нашем	2	15
90	в них	7	14
91	в связи	2	14
92	хотя и	6	14
93	как мы	3	14
94	сказать что	5	14
95	отношению к	13	14
96	сих пор	5	14
97	что такое	3	14
98	если мы	5	14
99	и на	8	14
100	в ней	9	14
101	до сих	5	14
102	не могут	10	13
103	между прочим	5	13
104	крайней мере	6	13
105	что она	3	13
106	по крайней	6	13
107	к языку	6	13
108	в этой	3	13
109	в которых	2	13
110	для нас	29	13
111	там где	8	13
112	и его	7	13
113	той же	3	13
114	этот вопрос	2	12
115	для этого	2	12
116	вопроса о	2	12
117	с этой	3	12
118	как в	18	12
119	а только	8	12
120	того же	13	12
121	тогда когда	15	12
122	могут быть	17	12
123	этого слова	5	12
124	язык есть	17	12
125	в таких	2	11
126	должен быть	2	11
127	в их	3	11
128	в своем	3	11
129	языка как	6	11
130	речи и	11	11
131	на себе	3	11
132	те же	4	11
133	язык как	7	11
