N	2gram	Bakhtin_Pr	Sotsiolo
1	все это	3	7
2	в том	8	5
3	в этом	15	5
4	не только	9	3
5	и только	4	3
6	в его	43	3
7	не в	7	3
8	и в	38	3
9	она может	3	2
10	должна быть	4	2
11	отношению к	19	2
12	по отношению	21	2
13	еще не	7	2
14	только в	13	2
15	что в	7	2
16	в частности	2	2
17	том что	3	2
18	было бы	8	2
19	таким образом	10	2
20	то же	5	2
21	только как	6	2
22	и что	2	2
23	как только	3	2
24	к которому	4	2
25	то что	8	2
26	как бы	22	2
27	но и	9	2
28	за пределы	12	2
29	далеко не	5	2
30	может быть	26	2
31	по существу	2	2
