N	2gram	Bakhtin_Pr	VeschiIm
1	и не	41	57
2	не только	14	48
3	то что	14	48
4	не может	18	46
5	и в	83	45
6	может быть	23	39
7	а не	19	37
8	что я	2	26
9	потому что	9	25
10	было бы	6	24
11	в себе	10	23
12	что она	2	23
13	по себе	3	23
14	только в	10	23
15	сказать что	12	22
16	и что	3	22
17	в смысле	2	22
18	как бы	27	20
19	и ее	8	19
20	что это	2	19
21	но и	16	19
22	все же	3	18
23	в этом	24	18
24	и это	3	17
25	прежде всего	20	17
26	так как	12	17
27	что мы	2	17
28	таким образом	9	16
29	как раз	6	16
30	в том	22	15
31	как и	13	15
32	в ней	8	15
33	уже не	5	15
34	не в	10	14
35	и то	2	14
36	но это	7	14
37	том что	9	13
38	есть и	4	13
39	и для	5	13
40	в самом	7	13
41	в себя	8	13
42	ничего не	8	12
43	но если	4	12
44	совершенно не	4	12
45	что в	5	12
46	точки зрения	17	12
47	что и	4	12
48	что они	2	12
49	то же	10	12
50	еще не	10	12
51	между собою	2	12
52	и даже	5	12
53	о том	3	12
54	если мы	5	12
55	и с	10	12
56	еще и	4	11
57	в то	8	11
58	не менее	4	11
59	вовсе не	12	11
60	тем не	2	11
61	и их	6	11
62	также и	5	11
63	ни в	4	11
64	крайней мере	2	10
65	с ее	3	10
66	по крайней	2	10
67	это не	10	9
68	в своем	2	9
69	она не	4	9
70	бы и	3	9
71	должно быть	4	9
72	хотя бы	6	9
73	бы в	2	9
74	в результате	2	9
75	я и	2	9
76	если оно	3	9
77	у нас	2	9
78	на то	2	9
79	но не	9	9
80	говорить о	2	9
81	и его	13	9
82	с ним	3	9
83	в отношении	3	8
84	его в	4	8
85	и потому	6	8
86	указывает на	2	8
87	что он	6	8
88	но в	12	8
89	в ее	3	8
90	мы не	7	8
91	себя и	3	8
92	все это	11	8
93	можно сказать	12	8
94	по сравнению	6	8
95	с другими	6	8
96	мы имеем	4	8
97	отличается от	2	8
98	с другой	4	8
99	и тут	2	7
100	и тем	4	7
101	из них	7	7
102	а в	4	7
103	все эти	9	7
104	в сущности	15	7
105	я не	6	7
106	сама по	2	7
107	слова и	5	7
108	тем что	2	7
109	сравнению с	6	7
110	никогда не	10	6
111	и все	14	6
112	в нем	21	6
113	между ними	14	6
114	в разных	4	6
115	должны быть	2	6
116	и до	6	6
117	в своей	5	6
118	тех или	2	6
119	как мы	12	6
120	одна из	9	6
121	и вообще	3	6
122	можно было	2	6
123	бытия и	5	6
124	дело в	3	6
125	все равно	6	6
126	быть только	2	6
127	этот вопрос	3	6
128	их в	3	6
129	мы говорим	2	6
130	несмотря на	3	6
131	в той	2	6
132	жизни и	13	6
133	с точки	13	6
134	в одном	4	6
135	и если	4	5
136	да и	3	5
137	мы должны	4	5
138	а это	2	5
139	ничем не	3	5
140	действительности и	2	5
141	вместе с	5	5
142	как это	2	5
143	того же	5	5
144	даже и	3	5
145	и без	4	5
146	то это	4	5
147	мы находим	8	5
148	один из	7	5
149	на себя	3	5
150	мы видим	2	5
151	в его	15	5
152	хотя и	10	5
153	быть и	2	5
154	для этого	2	5
155	в чисто	2	5
156	во всех	15	5
157	в которой	2	5
158	мысли и	2	5
159	об этом	3	5
160	и здесь	4	5
161	кроме того	6	5
162	понять и	2	5
163	в жизни	14	5
164	нет и	3	5
165	от всех	2	5
166	собою и	2	5
167	если же	5	5
168	оно и	2	4
169	так же	4	4
170	и притом	2	4
171	к себе	8	4
172	в конце	5	4
173	отношение к	14	4
174	и у	8	4
175	что именно	2	4
176	в их	7	4
177	так и	9	4
178	что все	3	4
179	в этой	3	4
180	более или	3	4
181	не то	3	4
182	же не	2	4
183	не было	5	4
184	тот же	2	4
185	во всяком	2	4
186	с ними	2	4
187	в основе	6	4
188	и от	4	4
189	слово и	2	4
190	с этим	3	4
191	есть в	7	4
192	и еще	2	4
193	с самим	7	4
194	к ней	3	4
195	мы можем	9	4
196	на него	2	4
197	себя самого	3	4
198	в особенности	2	4
199	по своей	12	4
200	и о	3	4
201	но только	2	4
202	отношении к	2	4
203	и более	3	4
204	в котором	8	4
205	отличны от	2	4
206	образом и	3	4
207	на этом	4	4
208	главным образом	3	4
