N	2gram	Savitsky_E	UchenyiS
1	и в	37	14
2	не только	18	10
3	а не	2	10
4	и не	14	8
5	прежде всего	9	8
6	то что	6	7
7	не может	9	7
8	в этом	12	7
9	может быть	6	6
10	и только	3	5
11	то же	15	5
12	хотя бы	15	5
13	но и	14	4
14	в этой	2	4
15	с другой	7	4
16	в россии	5	4
17	в их	11	4
18	в частности	5	3
19	только к	2	3
20	очевидно что	3	3
21	и то	2	3
22	в своей	8	3
23	нашему мнению	2	3
24	как и	7	3
25	в то	16	3
26	но в	14	3
27	же время	14	3
28	по нашему	3	3
29	или точнее	2	3
30	ни было	4	3
31	было бы	8	3
32	в области	11	3
33	бы то	4	3
34	то ни	4	3
35	другой стороны	2	3
36	в самом	4	2
37	в себе	9	2
38	таким образом	2	2
39	но не	5	2
40	и для	3	2
41	если бы	2	2
42	более чем	2	2
43	между тем	8	2
44	только в	9	2
45	этом смысле	3	2
46	не есть	2	2
47	и с	2	2
48	что и	3	2
49	могут быть	2	2
50	меньшей степени	2	2
51	но даже	4	2
52	не могут	2	2
53	по себе	4	2
54	тем что	3	2
55	том что	6	2
56	в сторону	2	2
57	в его	2	2
58	в том	11	2
59	что все	2	2
60	этом отношении	3	2
61	должна быть	2	2
62	не в	5	2
63	бы и	3	2
64	в некоторых	2	2
65	мы не	4	2
