N	3gram	Tiupa_Anal	RusskieA
1	в том что	13	49
2	состоит в том	6	29
3	тем не менее	3	14
4	в этом случае	4	12
5	о том что	8	10
6	в том чтобы	7	9
7	в данном случае	3	8
8	для того чтобы	3	8
9	подобно тому как	5	8
10	не может быть	17	6
11	в связи с	2	5
12	к тому что	2	5
13	не что иное	5	4
14	на себя внимание	3	4
15	что иное как	6	4
16	в отличие от	8	4
17	более или менее	2	3
18	по отношению к	9	3
19	с точки зрения	6	3
20	обращает на себя	3	3
21	на то что	2	3
22	в равной степени	2	2
23	в этом отношении	5	2
24	как и в	2	2
25	не только в	3	2
26	друг с другом	2	2
27	и в этом	4	2
28	с одной стороны	6	2
29	дело не в	2	2
30	и т п	3	2
31	в этой связи	2	2
32	с другой стороны	2	2
