N	2gram	Losev_Vlad	VLabPisa
1	таким образом	6	32
2	в этом	30	29
3	не только	35	26
4	и в	56	26
5	и т	3	25
6	может быть	12	23
7	во сне	2	21
8	хотя бы	5	20
9	и не	33	20
10	не может	12	17
11	т д	3	16
12	в письме	16	16
13	в том	26	15
14	в его	18	15
15	этом отношении	2	14
16	прежде всего	5	13
17	все это	7	13
18	вот что	7	12
19	в частности	4	12
20	письме к	14	12
21	как это	11	12
22	в качестве	7	12
23	что в	24	11
24	с другой	3	11
25	из них	3	11
26	то же	10	10
27	не могут	2	10
28	но и	26	10
29	о том	13	10
30	по этому	3	10
31	к этому	11	9
32	об этом	13	9
33	для него	16	9
34	он пишет	5	9
35	в своем	10	8
36	том что	22	8
37	на основании	3	8
38	другой стороны	3	8
39	все эти	6	8
40	было бы	7	8
41	только в	11	8
42	вместе с	9	8
43	это не	3	7
44	из этих	5	7
45	во всех	4	7
46	в году	54	7
47	в основном	5	7
48	то что	30	7
49	как и	7	7
50	их в	3	7
51	в нем	7	7
52	главным образом	5	7
53	этому поводу	2	7
54	не было	12	7
55	же в	3	7
56	а не	5	7
57	произведения как	2	6
58	не в	12	6
59	в то	15	6
60	в себе	5	6
61	или менее	5	6
62	в порядке	2	6
63	он же	2	6
64	это и	2	6
65	все же	11	6
66	том же	4	6
67	у него	28	6
68	так и	11	6
69	более или	5	6
70	один из	4	6
71	и его	12	6
72	никогда не	15	5
73	даже в	4	5
74	сказать что	14	5
75	в одном	2	5
76	в результате	6	5
77	в их	2	5
78	одним из	3	5
79	и при	2	5
80	к тому	5	5
81	он говорит	2	5
82	как бы	5	5
83	в них	5	5
84	в целом	3	5
85	связи с	7	5
86	же время	7	5
87	и есть	2	5
88	по поводу	15	4
89	только что	2	4
90	в статье	2	4
91	в философии	2	4
92	что он	22	4
93	по существу	4	4
94	с тем	4	4
95	что все	2	4
96	что для	5	4
97	когда он	6	4
98	для его	2	4
99	отнюдь не	3	4
100	в самом	3	4
101	как раз	7	4
102	с ними	2	4
103	в своей	7	4
104	в связи	9	4
105	во время	4	4
106	них не	2	4
107	можно сказать	10	4
108	в этой	4	4
109	из его	6	4
110	пишет в	2	4
111	с его	15	4
112	что пишет	3	3
113	не столь	2	3
114	и от	6	3
115	никак не	6	3
116	говорит в	2	3
117	и к	10	3
118	с этим	3	3
119	мы имеем	2	3
120	так же	4	3
121	но как	6	3
122	и он	7	3
123	всех этих	3	3
124	но даже	3	3
125	в конце	22	3
126	его в	3	3
127	и как	7	3
128	если бы	2	3
129	это делает	3	3
130	как он	4	3
131	него в	4	3
132	для того	4	3
133	у нас	11	3
134	января года	6	3
135	мая года	3	3
136	как на	2	3
137	говорил что	2	3
138	видно из	2	3
139	его не	2	3
140	мы знаем	5	3
141	того что	6	3
142	образом в	2	3
143	нет и	2	3
144	что у	4	3
145	она не	3	3
146	а в	20	3
147	толстого в	4	3
148	в котором	10	3
149	именно в	4	3
150	точки зрения	4	3
151	даже и	12	3
152	а толстой	6	3
153	со своим	5	3
154	а вот	3	3
155	между ними	2	3
156	а н	14	3
157	что не	3	3
158	жизни и	8	3
159	того чтобы	4	3
160	что и	6	3
161	и по	10	3
162	этой области	2	3
163	что они	4	3
164	это мы	5	3
165	к н	10	3
166	вовсе не	8	3
167	также что	2	2
168	да и	6	2
169	на это	2	2
170	и потому	8	2
171	которые в	2	2
172	н н	18	2
173	еще и	10	2
174	три года	2	2
175	ума и	2	2
176	то это	4	2
177	так сказать	2	2
178	а к	24	2
179	о чем	6	2
180	вплоть до	4	2
181	что она	2	2
182	от июля	3	2
183	о своем	3	2
184	и через	3	2
185	с а	13	2
186	даже не	3	2
187	начиная с	3	2
188	же о	3	2
189	этом и	2	2
190	и даже	23	2
191	от того	2	2
192	и у	4	2
193	в самых	2	2
194	в стихотворении	3	2
195	конце концов	6	2
196	и никогда	2	2
197	из многочисленных	2	2
198	и весь	2	2
199	в особенности	4	2
200	апреля года	2	2
201	в области	3	2
202	и наконец	2	2
203	в науке	3	2
204	у них	2	2
205	еще не	2	2
206	после этого	2	2
207	как у	3	2
208	нет никаких	2	2
209	за эти	2	2
210	в которой	8	2
211	не по	2	2
212	в течение	13	2
213	июля года	3	2
214	в чем	4	2
215	марта года	7	2
216	его от	2	2
217	после того	2	2
218	что даже	2	2
219	но вот	4	2
220	то о	2	2
221	как известно	2	2
222	одной из	2	2
223	так например	3	2
224	что его	8	2
225	в жизни	4	2
226	том чтобы	4	2
227	но не	5	2
228	и для	4	2
229	ни с	6	2
230	н ф	5	2
231	также и	13	2
232	не менее	9	2
233	на него	3	2
234	но в	19	2
235	года и	3	2
236	на то	7	2
237	в общем	4	2
238	к а	4	2
239	он в	4	2
240	что такое	3	2
241	не вполне	3	2
242	знаем что	2	2
243	в своих	7	2
244	пока еще	2	2
245	себе и	2	2
246	в ней	5	2
247	этом же	2	2
248	будто бы	2	2
249	на вопрос	2	2
250	к его	5	2
251	между прочим	18	2
252	на этом	3	2
253	он и	8	2
254	не столько	4	2
255	что мы	2	2
256	только не	2	2
257	по себе	3	2
258	и просто	3	2
259	всяком случае	8	2
260	ни одного	2	2
261	для них	2	2
262	к с	10	2
263	он сам	3	2
264	о его	7	2
265	по одному	2	2
266	по его	3	2
267	е в	7	2
268	он не	13	2
269	и сам	7	2
270	свидетельствуют о	4	2
271	хотя и	9	2
272	лишь в	3	2
273	во всяком	8	2
274	того как	2	2
