N	2gram	Bakhtin_Pr	SlovoVZh
1	не может	27	16
2	точки зрения	8	14
3	может быть	26	14
4	и его	16	13
5	как бы	22	13
6	и в	38	12
7	таким образом	10	12
8	в нашем	4	11
9	отношению к	19	11
10	по отношению	21	11
11	и не	42	10
12	если бы	3	9
13	прежде всего	13	8
14	сказать что	4	7
15	творца и	3	7
16	нашем примере	2	7
17	художественного произведения	11	7
18	художественную форму	4	6
19	слова и	3	6
20	при этом	5	6
21	в том	8	6
22	в нем	15	6
23	только в	13	6
24	к содержанию	17	6
25	с помощью	7	6
26	в ней	4	6
27	никогда не	5	5
28	как в	4	5
29	в виду	4	5
30	можно сказать	2	5
31	но в	4	5
32	том что	3	5
33	то же	5	5
34	как и	7	5
35	художественной формы	9	5
36	должна быть	4	5
37	хотя бы	4	5
38	а не	5	5
39	то что	8	5
40	и др	8	5
41	отнюдь не	19	5
42	в самом	7	4
43	в этом	15	4
44	не только	9	4
45	на самом	4	4
46	что не	4	4
47	его в	9	4
48	материала и	2	4
49	не в	7	4
50	ни было	3	4
51	с другой	7	4
52	все же	6	4
53	дело в	2	4
54	к нему	10	4
55	к материалу	11	4
56	за пределы	12	4
57	и к	3	4
58	так и	5	4
59	и на	3	4
60	отношение к	10	4
61	как к	2	3
62	в них	5	3
63	в поэзии	9	3
64	и вообще	2	3
65	о том	4	3
66	и для	11	3
67	слово в	2	3
68	да и	3	3
69	не должна	4	3
70	не к	6	3
71	и проч	28	3
72	он должен	2	3
73	ни в	11	3
74	все эти	5	3
75	в котором	2	3
76	бы то	3	3
77	и наконец	6	3
78	то ни	3	3
79	в своей	7	3
80	конечно не	5	3
81	точка зрения	3	3
82	в себе	4	3
83	художественное произведение	8	3
84	нуждается в	2	3
85	еще не	7	3
86	здесь не	4	3
87	все это	3	3
88	и ее	2	3
89	в содержание	5	3
90	в некоторых	2	3
91	между тем	7	3
92	и с	17	3
93	не менее	4	3
94	с ним	5	3
95	в пределах	6	3
96	произведения и	2	3
97	поэтического произведения	3	3
98	формы и	5	3
99	в художественном	20	3
100	находит свое	2	3
101	самом деле	6	3
102	и пр	2	3
103	и созерцателя	5	3
104	того что	2	3
105	тем не	3	3
106	художественном произведении	5	3
107	художественного творчества	12	3
108	и более	2	3
109	но и	9	3
110	ясно что	3	3
111	как форму	3	2
112	едва ли	3	2
113	каждый момент	4	2
114	в особенности	2	2
115	мы в	3	2
116	тем как	5	2
117	в его	43	2
118	данном случае	4	2
119	к его	2	2
120	имеет место	5	2
121	как форма	7	2
122	и здесь	2	2
123	произведение и	3	2
124	что в	7	2
125	а к	2	2
126	не есть	6	2
127	в психике	6	2
128	искусства и	3	2
129	не довлеет	2	2
130	место в	8	2
131	ничего не	6	2
132	с его	2	2
133	и те	2	2
134	но конечно	4	2
135	оценок и	2	2
136	что и	2	2
137	это не	5	2
138	в словесном	2	2
139	более того	4	2
140	и все	3	2
141	кроме того	3	2
142	там где	6	2
143	слова но	3	2
144	с точки	6	2
145	и содержания	3	2
146	содержания и	6	2
147	от всех	4	2
148	она не	2	2
149	в своем	5	2
150	дело с	6	2
151	но отнюдь	7	2
152	довлеет себе	2	2
153	бы не	2	2
154	все они	5	2
155	в данном	4	2
156	с другими	3	2
157	независимо от	13	2
158	форму как	5	2
159	не остается	2	2
160	мы имеем	2	2
161	и что	2	2
162	можем сказать	2	2
163	в то	4	2
164	себя и	3	2
165	в событии	3	2
166	перестает быть	4	2
167	в этих	2	2
168	одной стороны	3	2
169	форму и	2	2
170	связь с	3	2
171	и другие	2	2
172	но это	3	2
173	на материале	3	2
174	за его	3	2
175	он не	3	2
176	в какой	2	2
177	как только	3	2
178	эти моменты	2	2
179	и потому	4	2
180	форму в	5	2
181	может стать	3	2
182	его как	3	2
183	оно не	3	2
184	но не	12	2
185	как это	2	2
186	в себя	2	2
187	мы можем	6	2
188	была бы	2	2
189	могут быть	5	2
190	момент формы	2	2
191	совпадает с	2	2
192	в чем	2	2
193	в форме	4	2
194	быть только	5	2
195	со словом	5	2
196	с одной	3	2
197	и оценки	2	2
198	относится к	4	2
199	к этому	2	2
200	же самое	2	2
201	между ними	4	2
202	и значение	2	2
203	моментом содержания	2	2
204	известной степени	4	2
205	другой стороны	4	2
206	в корне	2	2
207	но зато	2	2
208	со всех	2	2
209	на него	3	2
