N	3gram	Nazirov_Tv	Narrotol
1	в том что	8	18
2	в данном случае	2	17
3	не только в	2	13
4	по отношению к	3	11
5	в отличие от	2	11
6	о том что	6	9
7	в то же	19	8
8	тем не менее	2	8
9	в соответствии с	7	8
10	то же время	18	8
11	не может быть	2	8
12	можно сказать что	2	6
13	в известном смысле	2	6
14	на самом деле	2	5
15	и все же	3	5
16	в свою очередь	2	5
17	во всяком случае	2	4
18	в конечном счете	4	4
19	и не может	2	3
20	точно так же	3	3
21	в связи с	2	3
22	по сути дела	5	3
23	едва ли не	2	3
24	в самом деле	2	3
25	дело в том	4	3
26	в русской литературе	2	2
27	в таком случае	2	2
28	добра и зла	2	2
29	особое место в	2	2
30	и т п	4	2
31	войне и мире	2	2
32	сами по себе	2	2
33	и в то	3	2
34	что у него	2	2
35	мы узнаем что	2	2
