N	2gram	Potebnia_M	SlovoVZh
1	не может	18	16
2	точки зрения	4	14
3	может быть	46	14
4	и его	4	13
5	как бы	10	13
6	и в	48	12
7	таким образом	24	12
8	отношению к	10	11
9	по отношению	12	11
10	и не	28	10
11	так как	20	9
12	если бы	20	9
13	прежде всего	6	8
14	для нас	40	7
15	сказать что	8	7
16	художественного произведения	6	7
17	слова и	8	6
18	при этом	6	6
19	в том	47	6
20	в нем	16	6
21	только в	29	6
22	к содержанию	4	6
23	в процессе	2	6
24	в ней	11	6
25	никогда не	2	5
26	как в	17	5
27	что мы	16	5
28	можно сказать	4	5
29	но в	8	5
30	том что	28	5
31	то же	35	5
32	как и	22	5
33	и следовательно	3	5
34	должна быть	2	5
35	хотя бы	3	5
36	а не	22	5
37	то что	37	5
38	в самом	11	4
39	в этом	19	4
40	не только	32	4
41	на самом	4	4
42	что не	12	4
43	его в	6	4
44	жизни и	3	4
45	не в	24	4
46	ни было	2	4
47	с другой	8	4
48	все же	3	4
49	к нему	7	4
50	за пределы	2	4
51	и к	5	4
52	так и	17	4
53	и на	5	4
54	уже не	11	4
55	от того	10	4
56	отношение к	2	4
57	в них	9	3
58	в поэзии	4	3
59	по себе	26	3
60	в каком	8	3
61	и вообще	4	3
62	о том	7	3
63	слово в	6	3
64	или не	3	3
65	да и	2	3
66	не к	4	3
67	и проч	25	3
68	он должен	2	3
69	ни в	2	3
70	в котором	7	3
71	бы то	2	3
72	и наконец	3	3
73	так же	6	3
74	в своей	2	3
75	мы не	17	3
76	конечно не	2	3
77	в себе	26	3
78	художественное произведение	6	3
79	еще не	9	3
80	все это	4	3
81	только на	4	3
82	между тем	19	3
83	и с	4	3
84	бы мы	2	3
85	не менее	9	3
86	сих пор	4	3
87	с ним	10	3
88	до сих	4	3
89	отношении к	3	3
90	и по	5	3
91	поэтического произведения	2	3
92	формы и	2	3
93	в такой	2	3
94	слово так	2	3
95	самом деле	5	3
96	того что	24	3
97	тем не	7	3
98	художественном произведении	3	3
99	и более	4	3
100	но и	30	3
101	для него	14	3
102	одно и	7	2
103	и то	13	2
104	мы в	3	2
105	тем как	4	2
106	в его	6	2
107	которые мы	3	2
108	данном случае	3	2
109	к его	2	2
110	как форма	2	2
111	и здесь	3	2
112	что в	30	2
113	к ним	3	2
114	а к	4	2
115	эта последняя	4	2
116	в душе	17	2
117	но тем	4	2
118	не есть	24	2
119	искусства и	3	2
120	и притом	3	2
121	место в	4	2
122	бы оно	2	2
123	слова так	2	2
124	словом и	6	2
125	что и	16	2
126	это не	2	2
127	и все	5	2
128	там где	6	2
129	слова но	3	2
130	с точки	3	2
131	что поэт	2	2
132	форма в	5	2
133	она не	4	2
134	но все	2	2
135	к слову	3	2
136	в своем	6	2
137	на все	3	2
138	бы не	6	2
139	и вполне	2	2
140	в данном	3	2
141	его к	2	2
142	но мы	3	2
143	слово это	2	2
144	с другими	9	2
145	независимо от	10	2
146	ко всем	5	2
147	из него	4	2
148	зависит от	7	2
149	и что	13	2
150	в то	16	2
151	себя и	4	2
152	перестает быть	5	2
153	те же	6	2
154	уже в	10	2
155	с этой	2	2
156	в этих	2	2
157	одной стороны	4	2
158	влияние на	3	2
159	еще раз	2	2
160	связь с	4	2
161	но это	9	2
162	он не	4	2
163	в какой	3	2
164	есть уже	13	2
165	как на	6	2
166	и потому	9	2
167	может стать	3	2
168	его как	3	2
169	оно не	7	2
170	но не	8	2
171	на это	4	2
172	мы можем	13	2
173	была бы	5	2
174	что слово	13	2
175	могут быть	6	2
176	сливается с	2	2
177	в чем	6	2
178	в самое	2	2
179	нет ничего	2	2
180	в форме	2	2
181	быть только	5	2
182	со словом	6	2
183	с одной	8	2
184	и самое	3	2
185	относится к	6	2
186	к этому	3	2
187	этой стороны	2	2
188	же самое	3	2
189	между ними	4	2
190	и значение	2	2
191	тогда когда	20	2
192	и слово	6	2
193	и та	5	2
194	но что	4	2
195	но этот	2	2
196	другой стороны	4	2
197	самое слово	4	2
198	находит в	2	2
199	вместе с	22	2
200	со всех	3	2
201	на него	3	2
