N	3gram	Vinokur_St	KulturaY
1	и т п	11	93
2	и т д	25	42
3	для того чтобы	13	38
4	с точки зрения	10	36
5	в том что	29	33
6	в самом деле	7	29
7	можно было бы	8	25
8	во всяком случае	8	19
9	тем не менее	4	19
10	то обстоятельство что	3	19
11	с другой стороны	8	17
12	в зависимости от	2	16
13	до сих пор	12	14
14	по крайней мере	2	13
15	только потому что	2	13
16	по отношению к	3	13
17	в этом отношении	13	11
18	и в самом	3	11
19	не может быть	5	11
20	о том что	19	10
21	в этом смысле	2	10
22	вместе с тем	2	9
23	того или иного	4	9
24	на самом деле	7	8
25	не в том	3	8
26	не только в	4	8
27	в этом случае	3	8
28	чуть ли не	2	7
29	только в том	3	7
30	после того как	5	7
31	в той мере	2	7
32	той мере в	2	7
33	мере в какой	3	7
34	с одной стороны	2	7
35	в то же	5	6
36	к тому же	2	6
37	в первую очередь	2	6
38	хотя бы и	2	6
39	то же время	5	6
40	не говоря уже	2	6
41	в свое время	3	6
42	в данном отношении	6	5
43	речь идет о	3	5
44	на этот вопрос	2	5
45	но все же	3	5
46	что же касается	3	5
47	т е в	3	5
48	более или менее	2	5
49	то или иное	3	5
50	говоря уже о	2	5
51	так и в	5	5
52	т п в	4	5
53	дело не в	2	5
54	в данном случае	7	5
55	и в этом	4	5
56	тем более что	2	5
57	но также и	5	4
58	точно так же	2	4
59	том что он	6	4
60	т д и	2	4
61	в этой области	5	4
62	и в области	5	4
63	т е с	3	4
64	заключается в том	4	4
65	так же как	5	4
66	к тому что	4	4
67	на то что	5	4
68	так или иначе	3	4
69	в иных случаях	2	4
70	но с другой	2	3
71	в настоящее время	2	3
72	само собою разумеется	2	3
73	в то время	2	3
74	в конце концов	2	3
75	что и в	4	3
76	в том смысле	4	3
77	уже о том	2	3
78	в той же	2	3
79	обратить внимание на	3	3
80	на точку зрения	2	3
81	что он не	5	2
82	бы то ни	2	2
83	тем или иным	3	2
84	в применении к	3	2
85	вовсе не в	2	2
86	в своей статье	4	2
87	и тем же	2	2
88	пушкина и его	3	2
89	вовсе не только	2	2
90	в том-то и	2	2
91	свое выражение в	2	2
92	может быть и	2	2
93	том-то и дело	2	2
94	том смысле что	2	2
95	когда речь идет	2	2
96	это не значит	3	2
97	иметь в виду	2	2
98	ничего общего с	3	2
99	в том числе	3	2
100	т е не	2	2
101	в одном из	4	2
102	не до конца	2	2
103	но если это	2	2
104	и в том	3	2
105	одним и тем	2	2
106	у нас нет	7	2
107	сами по себе	2	2
108	обращает на себя	2	2
