N	2gram	Berdyaev_O	VrazhdaK
1	в бесах	3	10
2	не только	11	9
3	достоевского с	2	9
4	в этом	12	8
5	и в	19	8
6	что в	4	7
7	но и	13	7
8	и все	10	7
9	достоевского в	3	7
10	достоевского и	5	7
11	то что	5	7
12	но в	2	6
13	как и	6	6
14	в нем	10	6
15	к достоевскому	2	6
16	и с	2	6
17	все же	2	6
18	и не	13	5
19	не было	9	5
20	в россии	5	5
21	у него	22	5
22	что достоевский	2	4
23	уже в	2	4
24	у достоевского	19	4
25	в своих	3	4
26	это не	3	4
27	все это	6	4
28	о том	3	4
29	как бы	3	4
30	что он	3	4
31	достоевского не	4	4
32	в истории	2	4
33	в дневнике	2	4
34	с ним	3	4
35	может быть	11	4
36	человека в	11	3
37	т е	4	3
38	в том	5	3
39	его в	2	3
40	что у	2	3
41	в своем	2	3
42	том что	2	3
43	в его	7	3
44	и о	2	3
45	и его	4	3
46	достоевский не	4	3
47	в этот	2	3
48	он был	8	3
49	в русской	3	3
50	он не	7	3
51	достоевского к	2	3
52	к этому	2	3
53	из подполья	11	3
54	но он	7	3
55	что есть	2	3
56	с его	4	3
57	тем что	2	3
58	никогда не	9	2
59	и то	2	2
60	записки из	3	2
61	для него	5	2
62	а в	5	2
63	он сам	4	2
64	в этой	5	2
65	достоевского он	7	2
66	о достоевском	2	2
67	в своей	2	2
68	и он	8	2
69	в себе	3	2
70	еще не	3	2
71	россии в	2	2
72	и ее	3	2
73	достоевский всегда	2	2
74	достоевский был	3	2
75	о которой	2	2
76	не может	4	2
77	отношение к	5	2
