N	2gram	Medvedev_F	Tvorches
1	и в	54	56
2	как бы	10	41
3	в его	30	37
4	в то	14	30
5	то же	16	25
6	не только	14	24
7	но в	9	24
8	в году	2	24
9	же время	13	24
10	и его	27	23
11	и не	34	23
12	а в	11	23
13	как и	18	23
14	и т	22	22
15	в этом	39	22
16	в том	17	21
17	что в	10	21
18	том что	3	19
19	он не	8	19
20	может быть	30	19
21	потому что	2	19
22	то что	14	18
23	что он	8	17
24	все это	11	17
25	т д	11	17
26	и на	10	17
27	таким образом	28	17
28	никогда не	6	16
29	прежде всего	34	16
30	как в	12	16
31	при этом	14	16
32	не может	26	16
33	но и	18	16
34	в этой	10	15
35	с его	12	15
36	но это	4	15
37	в мире	4	15
38	и с	17	15
39	это не	4	14
40	и даже	7	14
41	а не	11	13
42	тем самым	5	12
43	в целом	7	12
44	в котором	2	12
45	все же	8	11
46	в своей	16	11
47	для него	9	11
48	отнюдь не	13	11
49	в конце	2	10
50	не в	16	10
51	в основном	3	10
52	так и	24	10
53	представление о	2	10
54	но не	5	10
55	в самом	17	10
56	когда он	3	10
57	только в	6	10
58	в свою	8	9
59	в нем	25	9
60	один из	4	9
61	и от	9	9
62	жизни в	2	9
63	в своих	3	9
64	во многом	2	9
65	в душе	2	9
66	даже в	2	8
67	так же	5	8
68	в себе	4	8
69	в их	16	8
70	одной из	2	8
71	не менее	12	8
72	на его	2	8
73	так как	4	8
74	вовсе не	18	8
75	в лице	2	8
76	к этому	3	8
77	еще не	6	8
78	именно в	12	8
79	хотя и	3	8
80	вместе с	8	8
81	влияние на	3	7
82	самом деле	12	7
83	в чем	2	7
84	в дальнейшем	3	7
85	в которой	5	7
86	в этих	3	7
87	уже не	9	7
88	его в	5	6
89	приводит к	4	6
90	так что	2	6
91	и все	9	6
92	место в	8	6
93	не столько	5	6
94	все эти	12	6
95	и ее	15	6
96	если он	4	6
97	одна из	2	6
98	хотя бы	10	6
99	и как	6	6
100	если бы	8	6
101	еще более	6	6
102	с ним	3	6
103	ничего не	5	5
104	до конца	9	5
105	по отношению	4	5
106	но эта	2	5
107	и других	4	5
108	как он	2	5
109	в виде	2	5
110	т п	11	5
111	в современном	2	5
112	в своем	12	5
113	не так	4	5
114	в них	4	5
115	и это	4	5
116	что не	4	5
117	что и	10	5
118	отметить что	2	5
119	в ее	10	5
120	мы не	6	5
121	и по	3	5
122	что они	4	5
123	в истории	10	5
124	во всей	4	5
125	все время	7	5
126	в россии	4	5
127	с этим	6	5
128	из этой	2	5
129	в первой	2	5
130	на него	3	5
131	та же	3	5
132	между тем	4	5
133	и другие	3	5
134	в известной	2	5
135	отношению к	4	5
136	в литературе	6	5
137	с другой	8	5
138	из них	5	5
139	не было	7	5
140	в таком	2	5
141	и отчасти	6	4
142	перед нами	3	4
143	при помощи	2	4
144	и потому	9	4
145	и через	2	4
146	роль в	2	4
147	это и	7	4
148	только на	8	4
149	в частности	4	4
150	как это	8	4
151	отличие от	2	4
152	в такой	3	4
153	самого начала	2	4
154	того что	7	4
155	сюжета и	2	4
156	в в	2	4
157	к нему	3	4
158	точки зрения	21	4
159	так в	3	4
160	что на	3	4
161	могут быть	7	4
162	сих пор	7	4
163	же как	3	4
164	было в	3	4
165	в основе	7	4
166	так сказать	6	4
167	по преимуществу	6	4
168	в каждом	3	4
169	особенно в	6	4
170	превращается в	2	4
171	тем что	6	4
172	и наконец	7	4
173	с этой	4	4
174	такой же	2	4
175	его и	2	4
176	в отличие	2	4
177	с самого	2	4
178	и более	4	4
179	далеко не	2	4
180	зависит от	2	4
181	этот вопрос	2	4
182	еще в	2	4
183	с точки	17	4
184	говорить о	4	4
185	той же	2	4
186	но он	2	4
187	до сих	7	4
188	не есть	4	3
189	ее и	3	3
190	на самом	8	3
191	в процессе	17	3
192	от него	2	3
193	к другим	4	3
194	даже не	2	3
195	в другом	2	3
196	отношение к	4	3
197	как к	5	3
198	едва ли	3	3
199	друг друга	4	3
200	к которому	2	3
201	подхода к	4	3
202	в виду	2	3
203	на все	3	3
204	и тем	3	3
205	со стороны	7	3
206	в области	6	3
207	действительности и	3	3
208	но что	2	3
209	мы знаем	3	3
210	в искусстве	6	3
211	не по	4	3
212	так например	3	3
213	в него	2	3
214	более того	6	3
215	к тому	6	3
216	особое место	2	3
217	в ней	15	3
218	одного из	4	3
219	другой стороны	5	3
220	что оно	4	3
221	всяком случае	6	3
222	не то	3	3
223	по этому	2	3
224	а н	3	3
225	совсем не	2	3
226	и др	8	3
227	должны быть	6	3
228	и до	8	3
229	там где	3	3
230	никто не	2	3
231	в первом	8	3
232	можно сказать	2	3
233	как мы	10	3
234	сказать что	3	3
235	если в	3	3
236	то в	3	3
237	сами по	4	3
238	его с	5	3
239	время в	4	3
240	из этих	4	3
241	его как	5	3
242	действительности в	3	3
243	к ней	3	3
244	с ее	7	3
245	отличается от	4	3
246	в этот	2	3
247	ни на	5	3
248	во второй	3	3
249	кроме того	3	3
250	в статье	5	3
251	лишь в	15	3
252	и вот	2	3
253	был бы	2	3
254	не является	3	3
255	ее в	3	3
256	для того	3	3
257	и их	13	3
258	у нас	6	3
259	со всеми	3	3
260	русской литературы	2	3
261	на западе	4	3
262	не с	2	3
263	в жизни	3	3
264	нет и	2	3
265	что для	3	3
266	жизни не	2	3
267	и если	2	3
268	и к	7	3
269	на этом	2	3
270	он и	3	3
271	не боится	3	3
272	по себе	10	3
273	как она	5	3
274	несмотря на	2	3
275	в русском	2	3
276	жизни и	10	3
277	сводится к	6	3
278	вряд ли	2	3
279	и что	2	3
280	во всяком	6	3
281	и особенно	3	3
282	или в	2	3
283	и только	5	3
284	среды и	3	3
285	жизни но	2	3
286	в одном	2	3
287	данном случае	2	2
288	все более	4	2
289	в отношении	3	2
290	к одному	2	2
291	и притом	2	2
292	во все	2	2
293	не могут	8	2
294	во что	3	2
295	не прав	2	2
296	но как	2	2
297	их на	2	2
298	но даже	2	2
299	не дают	2	2
300	герой романа	2	2
301	быть поняты	3	2
302	является в	2	2
303	его из	3	2
304	должен быть	5	2
305	б м	4	2
306	начала и	2	2
307	а как	5	2
308	свою очередь	6	2
309	в современной	2	2
310	в формах	4	2
311	нас не	3	2
312	от других	2	2
313	смысл и	2	2
314	с тем	11	2
315	нем и	2	2
316	для этой	2	2
317	может и	2	2
318	без всякой	3	2
319	тому что	3	2
320	она не	8	2
321	он в	3	2
322	была бы	4	2
323	для определения	2	2
324	точка зрения	3	2
325	в создании	2	2
326	настоящее время	11	2
327	в художественном	5	2
328	в сюжете	2	2
329	целом ряде	2	2
330	что же	6	2
331	не будет	2	2
332	для них	4	2
333	того чтобы	4	2
334	у тургенева	2	2
335	одним словом	8	2
336	познания и	4	2
337	было бы	10	2
338	же в	4	2
339	связи с	12	2
340	в сущности	3	2
341	в связи	11	2
342	в качестве	2	2
343	сам он	2	2
344	значение в	4	2
345	роман и	2	2
346	в действительности	3	2
347	не отрицал	2	2
348	социальной действительности	9	2
349	в литературном	2	2
350	к миру	2	2
351	всех этих	6	2
352	мышления и	2	2
353	не могли	2	2
354	не от	3	2
355	что если	2	2
356	в эпоху	2	2
357	в данном	2	2
358	с другими	11	2
359	же это	2	2
360	а к	2	2
361	во всех	9	2
362	время не	2	2
363	при таком	5	2
364	высшей степени	4	2
365	тем не	2	2
366	не сводится	2	2
367	мира в	2	2
368	должен был	3	2
369	а от	2	2
370	художественное произведение	8	2
371	и лишь	4	2
372	но ведь	4	2
373	как о	8	2
374	и со	3	2
375	в результате	8	2
376	и о	3	2
377	в целях	2	2
378	одновременно с	2	2
379	отношении к	2	2
380	наконец в	3	2
381	жизнь и	3	2
382	с одной	5	2
383	непосредственно в	5	2
384	культуры и	3	2
385	и должно	4	2
386	не имеет	2	2
387	и является	3	2
388	от всех	5	2
389	отчасти и	5	2
390	ни в	3	2
391	столь же	2	2
392	и здесь	8	2
393	их в	2	2
394	и свою	5	2
395	на наших	2	2
396	в произведении	2	2
397	входит в	8	2
398	к его	3	2
399	целом и	4	2
400	в эту	3	2
401	но для	4	2
402	жизни а	2	2
403	действительности не	2	2
404	не из	5	2
405	произведения в	9	2
406	с их	2	2
407	только как	3	2
408	из этого	2	2
409	конце концов	2	2
410	бы ни	5	2
411	или даже	3	2
412	как на	5	2
413	но ни	2	2
414	в высшей	4	2
415	же и	2	2
416	как его	3	2
417	если же	4	2
418	не к	2	2
419	как раз	8	2
420	не дает	3	2
421	и всякий	2	2
422	ясно что	3	2
