N	2gram	Trubetskoy	slovoVRo
1	и в	26	92
2	то есть	4	64
3	в нем	4	59
4	может быть	10	59
5	и не	8	51
6	не только	10	44
7	не может	4	41
8	но и	9	39
9	в этом	15	36
10	а не	5	34
11	во всех	2	32
12	так и	6	30
13	точки зрения	13	30
14	в его	5	27
15	все это	6	25
16	как бы	12	24
17	то же	4	23
18	и на	2	22
19	не в	2	21
20	в то	4	20
21	в процессе	2	20
22	прежде всего	2	19
23	или иной	2	18
24	же время	2	18
25	все же	6	17
26	все эти	6	17
27	и даже	3	17
28	таким образом	22	17
29	при этом	3	16
30	в них	2	16
31	но в	7	16
32	той или	2	15
33	и с	10	15
34	с точки	6	15
35	только в	4	14
36	с его	2	13
37	и для	5	13
38	с другой	8	13
39	никогда не	5	12
40	в отношении	6	12
41	и потому	6	12
42	отношение к	5	12
43	а в	4	12
44	во всяком	6	12
45	и наконец	2	12
46	еще не	2	12
47	и к	5	12
48	один из	2	11
49	одной стороны	7	11
50	в этих	4	11
51	с одной	7	11
52	для него	3	11
53	в своем	3	10
54	в том	11	10
55	и все	2	10
56	в себе	6	10
57	с другими	4	10
58	лишь в	5	10
59	далеко не	4	10
60	уже не	3	10
61	и от	4	9
62	одним из	2	9
63	или менее	5	9
64	к нему	7	9
65	более или	5	9
66	и мир	2	9
67	сказать что	2	9
68	так как	9	9
69	но не	8	9
70	в смысле	4	9
71	конечно не	2	9
72	он не	4	9
73	быть и	2	9
74	не могут	2	8
75	в значительной	3	8
76	в самом	4	8
77	всяком случае	6	8
78	том что	7	7
79	его не	2	7
80	того же	6	7
81	связи с	9	7
82	но все	7	7
83	связанные с	7	7
84	жизни и	2	7
85	не было	2	7
86	в таком	3	7
87	которые в	2	6
88	наконец в	2	6
89	а также	2	6
90	одновременно и	2	6
91	что в	9	6
92	в качестве	3	6
93	можно сказать	3	6
94	и здесь	2	6
95	хотя бы	3	6
96	связан с	2	6
97	он в	2	6
98	именно в	2	6
99	в свою	2	6
100	в одном	3	6
101	по своим	2	6
102	между тем	2	6
103	между этими	2	5
104	не как	2	5
105	не менее	3	5
106	и проч	2	5
107	отношению к	3	5
108	и по	4	5
109	в других	3	5
110	особенно в	2	5
111	для этого	2	5
112	и при	3	5
113	в результате	3	5
114	связанных с	2	5
115	этом отношении	2	5
116	для того	5	5
117	не с	2	5
118	о том	6	5
119	к его	2	5
120	уже в	2	5
121	вместе с	15	5
122	для всех	2	4
123	так же	5	4
124	образом в	5	4
125	что и	6	4
126	в виду	2	4
127	что он	4	4
128	не всегда	2	4
129	в виде	4	4
130	связано с	2	4
131	того что	3	4
132	мы видели	2	4
133	до сих	5	4
134	с другом	5	4
135	те же	2	4
136	что оно	4	4
137	тогда когда	2	4
138	того чтобы	5	4
139	же как	3	4
140	одной из	5	4
141	в которой	3	4
142	и как	3	4
143	если бы	3	4
144	с этой	3	4
145	со всеми	2	4
146	и о	3	4
147	сих пор	5	4
148	к тому	6	4
149	друг с	5	4
150	они в	2	4
151	есть как	2	4
152	из них	7	4
153	из этого	2	4
154	из него	2	4
155	по существу	2	4
156	и заставляет	2	3
157	с идеей	2	3
158	его от	2	3
159	еще на	2	3
160	в новом	2	3
161	в одно	2	3
162	людей и	2	3
163	в разных	2	3
164	и те	3	3
165	на все	2	3
166	различия между	2	3
167	исторического развития	2	3
168	не исчерпывается	2	3
169	к этому	3	3
170	из этих	10	3
171	отличается от	2	3
172	в связи	3	3
173	и другие	3	3
174	не должны	2	3
175	силы и	2	3
176	не могло	2	3
177	этими двумя	2	3
178	в этой	4	3
179	потому что	7	3
180	все что	2	3
181	целый ряд	4	3
182	и это	2	3
183	из себя	2	3
184	в эту	2	3
185	с одним	2	3
186	связана с	2	3
187	и нет	3	3
188	тем и	2	3
189	из всех	3	2
190	по своей	2	2
191	и у	8	2
192	на пути	2	2
193	у них	3	2
194	так что	3	2
195	но по	3	2
196	самого начала	2	2
197	а с	7	2
198	то что	7	2
199	по своему	2	2
200	что все	4	2
201	от подлинной	2	2
202	только не	2	2
203	с самого	3	2
204	к ним	3	2
205	связь с	2	2
206	в образе	2	2
207	этой точки	2	2
208	не могла	2	2
209	всегда и	3	2
210	из которого	3	2
211	случае не	3	2
212	как от	2	2
213	требует от	2	2
214	утверждать что	2	2
215	и что	4	2
216	с ней	3	2
217	при таком	2	2
218	из своих	2	2
219	перестает быть	2	2
220	в области	9	2
221	то или	2	2
222	как о	3	2
223	ни было	2	2
224	тем не	3	2
225	ее с	2	2
226	героев и	2	2
227	в течение	4	2
228	и иной	2	2
229	мы можем	2	2
230	культуры и	3	2
231	на то	2	2
232	и связанные	2	2
233	в котором	4	2
234	или иначе	3	2
235	приводит к	2	2
236	в начале	2	2
237	время он	2	2
238	главным образом	8	2
239	несмотря на	6	2
240	или иное	2	2
241	и особенно	2	2
242	и только	4	2
243	них не	2	2
244	не к	2	2
