N	2gram	Tiupa_Vved	FransuaR
1	и в	23	367
2	то есть	13	209
3	в этом	27	112
4	и т.п	14	108
5	и не	24	101
6	таким образом	6	100
7	и его	9	99
8	в его	9	98
9	прежде всего	11	92
10	не только	32	87
11	но и	31	84
12	как бы	8	82
13	в романе	6	77
14	как и	21	76
15	в нем	9	75
16	но в	14	75
17	и др	2	72
18	и на	5	72
19	в том	21	71
20	как мы	5	71
21	то же	8	66
22	и все	8	66
23	так и	14	65
24	в этой	2	65
25	в них	4	65
26	в сущности	3	64
27	и с	2	64
28	во время	3	63
29	в то	5	63
30	все это	3	62
31	во всех	2	62
32	же время	4	55
33	что в	6	52
34	в своем	9	51
35	только в	9	48
36	том что	16	45
37	в году	2	44
38	то что	9	41
39	жизни и	8	40
40	у него	8	40
41	в самом	6	38
42	в ней	5	37
43	может быть	25	35
44	о том	7	35
45	и даже	3	34
46	в себе	15	34
47	в конце	3	32
48	он не	6	32
49	мы видели	3	32
50	для него	5	32
51	в своей	10	31
52	нового времени	5	31
53	до конца	5	31
54	в литературе	2	31
55	так же	2	30
56	никогда не	6	30
57	и потому	2	30
58	той же	3	30
59	один из	3	30
60	потому что	7	30
61	но он	2	30
62	в этих	5	29
63	не может	14	29
64	еще не	8	29
65	не в	12	29
66	при этом	43	29
67	в одном	5	29
68	в особенности	3	29
69	связи с	2	29
70	что он	2	29
71	в основе	6	28
72	в той	5	28
73	также и	6	28
74	и к	2	28
75	роль в	2	27
76	по своему	3	27
77	все же	10	27
78	все они	2	26
79	на самом	5	25
80	в области	5	25
81	но это	4	25
82	мира и	5	25
83	отношение к	5	24
84	того чтобы	2	24
85	и от	3	24
86	в частности	19	24
87	например в	2	24
88	но не	9	24
89	как в	8	24
90	и у	2	24
91	он и	2	24
92	времени и	7	24
93	своего рода	20	23
94	так сказать	2	23
95	и для	8	23
96	это не	7	23
97	в их	2	23
98	с ним	3	23
99	еще и	2	23
100	и здесь	2	23
101	к нему	2	23
102	и о	4	22
103	и во	2	22
104	границы между	2	22
105	даже в	3	22
106	а в	15	22
107	что и	6	22
108	тем что	2	22
109	вместе с	2	22
110	не было	5	22
111	в своих	5	21
112	в качестве	18	21
113	что это	2	21
114	и наконец	2	21
115	одним из	5	21
116	есть в	2	21
117	и как	2	21
118	уже в	2	21
119	а также	12	20
120	как раз	5	20
121	этом отношении	7	20
122	в виду	3	20
123	в значительной	2	20
124	самом деле	6	20
125	и это	2	20
126	их в	3	19
127	хотя и	10	19
128	к этому	3	19
129	было бы	4	19
130	далеко не	5	19
131	с другой	10	19
132	с ее	3	19
133	на протяжении	2	19
134	здесь не	2	18
135	но они	3	18
136	перед нами	13	18
137	одна из	5	18
138	того что	7	17
139	можно было	2	17
140	в результате	5	17
141	и смерти	2	17
142	на его	2	17
143	и вот	3	17
144	еще более	2	17
145	а не	31	17
146	между тем	3	16
147	не подлежит	2	16
148	ничего не	3	16
149	в начале	3	16
150	в другом	2	16
151	начала и	2	16
152	они не	3	16
153	с одной	9	16
154	еще в	3	15
155	в нашем	9	15
156	особенно в	3	15
157	с их	2	15
158	не мог	2	15
159	из этих	5	15
160	мы не	6	14
161	все что	3	14
162	в данном	22	14
163	и он	4	14
164	несмотря на	2	14
165	и по	3	14
166	в чем	2	14
167	в котором	11	14
168	так в	5	13
169	как он	2	13
170	отличие от	11	13
171	или в	3	13
172	бы в	4	13
173	в жизни	7	13
174	в мире	9	13
175	и есть	2	13
176	и сам	2	13
177	мира в	8	13
178	не на	3	13
179	в одной	2	13
180	о чем	4	13
181	только на	2	13
182	одной стороны	9	13
183	не знает	2	13
184	образов но	2	13
185	подчеркнуть что	5	13
186	лишь в	4	12
187	у нас	4	12
188	начиная с	3	12
189	жизни в	5	12
190	в пределах	3	12
191	и ее	2	12
192	но именно	3	12
193	те же	2	12
194	в приведенном	2	12
195	по своей	4	12
196	место в	2	12
197	можно сказать	6	12
198	другой стороны	3	12
199	об этом	5	12
200	так например	2	11
201	это уже	2	11
202	и более	5	11
203	ни с	2	11
204	на фоне	3	11
205	она была	2	11
206	уже не	7	11
207	и что	2	11
208	слова и	3	11
209	в течение	2	11
210	и т.д	6	11
211	с ними	2	11
212	той или	5	11
213	что они	2	11
214	в отличие	11	11
215	данном случае	15	10
216	или иной	5	10
217	здесь как	2	10
218	значительной степени	2	10
219	на этот	2	10
220	к тому	9	10
221	целый ряд	2	10
222	что для	2	10
223	по отношению	11	10
224	к которому	2	10
225	в целом	4	10
226	да и	3	10
227	не просто	2	10
228	что не	2	9
229	как известно	2	9
230	это были	2	9
231	вплоть до	2	9
232	как это	2	9
233	связано с	3	9
234	в разных	2	9
235	отношению к	11	9
236	для нас	4	9
237	что на	4	9
238	не имеет	3	9
239	в которых	2	9
240	же в	3	9
241	в следующей	2	9
242	и вся	3	9
243	мы можем	2	9
244	о котором	5	9
245	но на	2	9
246	к жизни	2	9
247	здесь мы	2	8
248	для этого	2	8
249	если бы	10	8
250	и мира	5	8
251	мертвых душ	4	8
252	в него	2	8
253	по поводу	5	8
254	у гоголя	2	8
255	более или	2	8
256	на первый	3	8
257	или менее	2	8
258	не менее	4	8
259	дело не	2	8
260	как о	2	8
261	в этот	3	8
262	тому же	6	8
263	точку зрения	2	7
264	точка зрения	3	7
265	времени в	3	7
266	никак не	2	7
267	не как	2	7
268	что у	4	7
269	в свою	5	7
270	должен быть	3	7
271	тому как	3	7
272	одного из	3	7
273	во всяком	3	7
274	себя в	4	7
275	к ним	4	7
276	подобно тому	3	7
277	в таком	2	7
278	как его	2	7
279	том как	4	7
280	на него	3	7
281	всех его	2	7
282	от них	2	7
283	к себе	2	7
284	а на	4	7
285	в наиболее	3	7
286	нет ничего	2	7
287	но она	2	7
288	такого рода	23	6
289	свою очередь	5	6
290	у них	3	6
291	свидетельствует о	5	6
292	в центре	4	6
293	как у	3	6
294	входит в	2	6
295	или даже	2	6
296	это время	2	6
297	жизни как	2	6
298	мировой истории	2	6
299	могут быть	5	6
300	для них	3	6
301	было в	2	6
302	что она	2	6
303	совершенно не	2	6
304	а именно	3	6
305	картины мира	12	6
306	к его	5	6
307	во времени	2	6
308	году в	2	6
309	хотя бы	2	6
310	то он	2	6
311	принадлежит к	3	6
312	как будто	6	6
313	основе своей	2	6
314	тех же	2	6
315	видно что	2	6
316	не столько	5	6
317	еще один	3	6
318	говорить о	5	6
319	тем самым	6	5
320	и конец	2	5
321	к своему	2	5
322	своей жизни	3	5
323	но одновременно	2	5
324	быть только	2	5
325	в первом	3	5
326	должна быть	3	5
327	начало и	2	5
328	тем более	3	5
329	от их	2	5
330	не вполне	4	5
331	значения и	2	5
332	не является	7	5
333	что мы	2	5
334	из него	2	5
335	вместо того	2	5
336	в едином	3	5
337	первых двух	3	5
338	должен был	2	5
339	слова в	3	5
340	бы и	4	5
341	всяком случае	3	5
342	и только	2	5
343	же самое	2	5
344	в слове	4	5
345	на основе	2	5
346	бы не	3	5
347	во втором	4	5
348	тут же	3	5
349	в строгом	2	5
350	сливаются в	2	5
351	раз и	2	5
352	в ряду	2	5
353	подобного рода	3	5
354	стороны и	4	5
355	мы имеем	8	5
356	было не	2	5
357	человека в	2	5
358	по ходу	2	5
359	перед лицом	4	5
360	не к	4	5
361	на то	3	5
362	ему в	2	5
363	для которого	4	4
364	ни о	2	4
365	мы узнаем	2	4
366	ее не	2	4
367	у нее	4	4
368	о них	4	4
369	о которой	4	4
370	картине мира	5	4
371	в контексте	4	4
372	дело с	4	4
373	что касается	5	4
374	заключается в	2	4
375	точек зрения	2	4
376	слово это	2	4
377	это мир	2	4
378	и притом	3	4
379	в третьем	2	4
380	и слова	2	4
381	и времени	2	4
382	о которых	2	4
383	заметить что	2	4
384	и само	2	4
385	который в	5	4
386	быть и	2	4
387	однако и	3	4
388	говорят о	2	4
389	оно не	2	4
390	внимание на	4	4
391	в период	2	4
392	что я	2	4
393	мы и	2	4
394	если в	3	4
395	и тем	3	4
396	картина мира	17	4
397	не входит	2	4
398	когда в	2	4
399	в культуре	2	4
400	не по	4	4
401	обратимся к	2	4
402	не могло	2	4
403	всего на	2	4
404	по себе	2	4
405	принадлежат к	4	4
406	и понимания	3	3
407	при всей	3	3
408	в речи	3	3
409	это только	3	3
410	друг от	2	3
411	в точке	4	3
412	с того	3	3
413	мира это	2	3
414	после обеда	2	3
415	на нее	2	3
416	которая не	2	3
417	национального языка	2	3
418	не о	2	3
419	должны были	3	3
420	после первого	2	3
421	ни к	3	3
422	было и	2	3
423	к одной	2	3
424	персонажей в	4	3
425	которое в	4	3
426	ближе к	3	3
427	от друга	2	3
428	и того	3	3
429	и после	2	3
430	чтобы стать	3	3
431	указывает на	2	3
432	оттого что	2	3
433	со стороны	15	3
434	не всегда	2	3
435	в современной	7	3
436	тому что	2	3
437	из которой	2	3
438	жизни на	2	3
439	на другой	2	3
440	эти слова	2	3
441	для обозначения	2	3
442	имеет место	6	3
443	но при	7	3
444	вследствие этого	5	3
445	он является	2	3
446	человек в	4	3
447	ключ к	2	3
448	не существует	3	3
449	всякий раз	2	3
450	которая в	3	3
451	к одному	2	3
