N	3gram	Trubetskoy	VeschiIm
1	не может быть	4	24
2	то ни было	3	12
3	бы то ни	3	12
4	тем не менее	4	11
5	а и в	7	9
6	в том что	16	9
7	в самом деле	5	7
8	на то что	7	7
9	по сравнению с	5	7
10	с точки зрения	8	6
11	так или иначе	5	6
12	в то же	2	5
13	в свою очередь	2	5
14	и то что	3	5
15	более или менее	8	4
16	о том что	4	4
17	в то время	2	4
18	то же время	2	4
19	не может не	3	3
20	вместе с тем	3	3
21	заключается в том	3	3
22	с одной стороны	2	3
23	только то что	2	3
24	с другой стороны	4	3
25	все же не	3	3
26	то ясно что	4	2
27	во всяком случае	2	2
28	но все же	2	2
29	что же касается	2	2
30	для того чтобы	7	2
31	том что он	2	2
32	в связи с	3	2
33	то что у	2	2
34	в конце концов	4	2
35	так же как	3	2
36	друг с другом	9	2
37	в данном случае	3	2
38	а следовательно и	2	2
