N	3gram	Ircho_Kome	Hudozhes
1	по отношению к	4	10
2	в том что	15	8
3	в то же	11	7
4	в отличие от	3	7
5	то же время	11	7
6	с другой стороны	2	6
7	более или менее	2	6
8	в конечном счете	2	5
9	состоит в том	2	5
10	для того чтобы	8	5
11	так или иначе	3	4
12	мы имеем в	2	3
13	с точки зрения	6	3
14	с одной стороны	4	3
15	в том числе	2	3
16	тем не менее	3	3
17	в связи с	3	3
18	и в самом	7	3
19	имеем в виду	2	3
20	то ни было	3	2
21	бы то ни	3	2
22	и в то	2	2
23	том числе и	2	2
24	в самом деле	13	2
25	в свою очередь	10	2
26	в основе своей	2	2
