N	2gram	Vinokur_St	VrazhdaK
1	в году	3	18
2	не только	36	9
3	и что	8	8
4	в этом	37	8
5	и в	61	8
6	что в	41	7
7	но и	28	7
8	и все	3	7
9	то что	27	7
10	года в	3	7
11	но в	16	6
12	как и	11	6
13	в котором	11	6
14	в начале	5	6
15	в нем	9	6
16	и с	6	6
17	все же	12	6
18	в романе	4	6
19	и даже	8	6
20	и не	23	5
21	не было	7	5
22	об этом	9	5
23	в россии	7	5
24	то же	7	5
25	в то	10	5
26	же время	5	5
27	у него	3	5
28	между тем	7	5
29	в письме	5	5
30	для нас	7	4
31	уже в	3	4
32	целый ряд	3	4
33	несмотря на	4	4
34	во многом	3	4
35	в своих	2	4
36	это не	8	4
37	в виду	6	4
38	все это	13	4
39	при этом	4	4
40	о том	30	4
41	в ней	9	4
42	как бы	8	4
43	так же	7	4
44	что он	23	4
45	в истории	5	4
46	письме к	7	4
47	может быть	16	4
48	т е	21	3
49	давно уже	3	3
50	и у	2	3
51	в том	56	3
52	в чем	4	3
53	одним из	2	3
54	его в	4	3
55	который был	2	3
56	что у	8	3
57	и уже	3	3
58	и во	3	3
59	в своем	8	3
60	том что	49	3
61	в его	19	3
62	и о	4	3
63	раз в	4	3
64	и его	11	3
65	и как	2	3
66	он был	5	3
67	в русской	4	3
68	он не	11	3
69	речь идет	6	3
70	связи с	3	3
71	к этому	4	3
72	но он	5	3
73	на то	5	3
74	я не	13	3
75	в конце	5	3
76	с его	3	3
77	тем что	6	3
78	никогда не	7	2
79	с нею	3	2
80	и то	6	2
81	в них	2	2
82	начиная с	2	2
83	место в	2	2
84	в той	9	2
85	это письмо	2	2
86	для него	10	2
87	при помощи	4	2
88	и это	4	2
89	с точки	10	2
90	а в	18	2
91	он писал	3	2
92	а также	4	2
93	в этой	13	2
94	столь же	5	2
95	том же	3	2
96	в своей	12	2
97	как раз	10	2
98	и он	2	2
99	в себе	3	2
100	еще не	4	2
101	точки зрения	16	2
102	о чем	4	2
103	же как	5	2
104	тем более	4	2
105	это в	4	2
106	таким образом	16	2
107	во время	5	2
108	в период	2	2
109	что я	3	2
110	отношения к	2	2
111	п в	4	2
112	по мнению	4	2
113	на это	2	2
114	в письмах	2	2
115	их в	2	2
116	о которой	3	2
117	в эту	3	2
118	не может	10	2
119	очень хорошо	2	2
120	из них	11	2
121	ответ на	4	2
122	в это	3	2
123	не менее	8	2
124	но это	9	2
125	а с	6	2
126	не мог	3	2
127	вместе с	5	2
128	в известном	3	2
129	отношение к	3	2
