N	2gram	Tiupa_Narr	Literetu
1	а не	27	50
2	и не	34	47
3	не только	50	46
4	и в	22	44
5	может быть	24	43
6	при этом	31	41
7	но и	39	41
8	тогда как	23	40
9	в том	20	39
10	в этом	23	38
11	своего рода	17	37
12	том что	15	32
13	в частности	23	30
14	такого рода	17	30
15	то что	14	29
16	в мире	8	28
17	в качестве	27	27
18	в году	2	26
19	состоит в	19	26
20	то же	12	26
21	как и	15	23
22	в то	9	23
23	не в	12	22
24	так и	12	22
25	того что	7	22
26	себя в	4	22
27	не может	16	22
28	же время	7	21
29	в себе	14	20
30	и т.п	11	20
31	прежде всего	7	19
32	я в	7	19
33	как бы	11	18
34	то есть	15	17
35	точки зрения	8	17
36	в его	12	17
37	с другой	6	17
38	сознания в	3	16
39	в этой	8	16
40	в жизни	9	16
41	тем самым	9	15
42	со стороны	14	15
43	не менее	6	15
44	в целом	5	15
45	я не	5	15
46	в русской	3	15
47	только в	23	15
48	по отношению	5	14
49	что он	7	14
50	однако в	4	14
51	в рамках	6	14
52	и даже	4	14
53	коммуникативного события	9	14
54	в своем	7	13
55	как это	7	13
56	е годы	2	13
57	в тексте	17	13
58	с одной	5	13
59	но не	7	13
60	уже не	11	13
61	и его	12	13
62	всего лишь	8	12
63	к себе	11	12
64	в данном	17	12
65	в своей	8	12
66	а также	11	12
67	художественного письма	4	12
68	еще не	6	12
69	одним из	2	12
70	отношению к	5	12
71	в е	3	12
72	о том	5	12
73	одной стороны	5	12
74	никогда не	8	11
75	данном случае	12	11
76	это не	6	11
77	в другом	5	11
78	еще в	4	11
79	коммуникативное событие	6	11
80	отличие от	6	11
81	с его	6	11
82	и сам	4	11
83	не столько	2	11
84	как в	9	11
85	в отличие	6	11
86	а в	19	11
87	или иначе	2	11
88	в конечном	6	11
89	столь же	6	11
90	вместе с	3	11
91	этом отношении	5	10
92	для себя	3	10
93	в принципе	6	10
94	в области	4	10
95	что в	6	10
96	отнюдь не	6	10
97	в ее	4	10
98	по мысли	8	10
99	конечном счете	4	10
100	жизни в	7	10
101	неклассической художественности	2	10
102	из них	4	10
103	и на	5	10
104	потому что	7	10
105	не случайно	2	10
106	жизни и	7	10
107	в противовес	3	10
108	мыслится как	2	9
109	одно из	2	9
110	к тому	13	9
111	один из	8	9
112	же в	6	9
113	связи с	3	9
114	в начале	4	9
115	лишь в	3	9
116	с этой	3	9
117	что я	4	9
118	и т.д	7	9
119	представляет собой	21	9
120	вплоть до	5	8
121	одна из	5	8
122	в конце	4	8
123	едва ли	5	8
124	ли не	3	8
125	все же	10	8
126	но в	10	8
127	того же	2	8
128	на себя	5	8
129	что не	2	8
130	собственного я	2	8
131	в глазах	7	8
132	для него	8	8
133	и как	4	8
134	субъекта и	2	8
135	мира в	4	8
136	а именно	2	8
137	в своих	2	8
138	соответствии с	7	8
139	той же	2	8
140	присутствия в	3	8
141	с точки	2	8
142	о себе	2	8
143	как раз	9	8
144	до конца	2	7
145	по своей	3	7
146	друг друга	2	7
147	и тем	9	7
148	так в	4	7
149	другой стороны	2	7
150	и для	4	7
151	и адресата	2	7
152	как правило	8	7
153	человека в	2	7
154	у нас	4	7
155	ведет к	3	7
156	именно в	5	7
157	в самом	8	7
158	и с	3	7
159	в одном	5	7
160	он и	2	7
161	личности в	2	7
162	тому как	4	7
163	в случае	4	7
164	в нем	9	7
165	он не	8	7
166	тому же	9	7
167	на фоне	2	7
168	в сфере	2	7
169	с читателем	2	6
170	в ситуации	2	6
171	при всей	5	6
172	в виду	2	6
173	казалось бы	2	6
174	самом деле	4	6
175	самим собой	3	6
176	но одновременно	2	6
177	одного из	6	6
178	и он	8	6
179	было бы	2	6
180	не было	3	6
181	например в	2	6
182	и то	3	6
183	то в	4	6
184	то и	3	6
185	во всех	2	6
186	с ее	3	6
187	и наконец	2	6
188	как о	2	6
