N	2gram	Losev_Prob	Narrotol
1	не только	37	62
2	и не	63	50
3	при этом	8	47
4	но и	23	45
5	а не	21	38
6	в качестве	3	35
7	в частности	5	31
8	может быть	29	30
9	и в	64	30
10	в том	19	29
11	том что	26	28
12	в этом	30	28
13	а в	7	27
14	такого рода	20	26
15	представляет собой	2	25
16	только в	19	25
17	в данном	16	24
18	как и	7	24
19	не в	6	23
20	то что	72	23
21	то есть	61	22
22	не может	18	20
23	данном случае	10	17
24	в себе	16	17
25	так и	17	17
26	а также	6	17
27	у чехова	2	16
28	со стороны	2	16
29	в его	12	16
30	но в	19	15
31	можно сказать	9	15
32	к тому	5	15
33	в жизни	3	14
34	и его	3	14
35	в своем	7	13
36	в своей	8	13
37	то же	10	13
38	о том	25	13
39	уже не	9	13
40	перед нами	7	12
41	все же	7	12
42	прежде всего	17	12
43	как в	5	12
44	как бы	18	12
45	сводится к	3	12
46	тем самым	11	11
47	и тем	16	11
48	об этом	10	11
49	в нем	14	11
50	в этой	14	11
51	если бы	8	11
52	хотя и	8	11
53	никогда не	8	10
54	в то	7	10
55	ничего не	20	10
56	как это	7	10
57	один из	7	10
58	точки зрения	5	10
59	того что	18	10
60	не является	12	10
61	и все	9	10
62	но не	13	10
63	между тем	3	10
64	с его	3	10
65	еще не	18	9
66	что он	11	9
67	что в	21	9
68	отнюдь не	15	9
69	тем не	25	9
70	той или	10	9
71	для него	2	9
72	далеко не	9	9
73	потому что	24	9
74	с ним	4	9
75	как раз	20	9
76	или иной	8	8
77	о чем	11	8
78	самом деле	10	8
79	но при	2	8
80	не менее	26	8
81	того чтобы	10	8
82	одна из	4	8
83	мы имеем	3	8
84	мира в	2	8
85	этом отношении	2	8
86	у нас	31	8
87	действующих лиц	2	8
88	в литературе	4	8
89	и для	10	8
90	в самом	10	8
91	и к	2	8
92	внимание на	4	8
93	в той	2	8
94	в таком	18	8
95	он не	5	8
96	это не	7	7
97	в конце	13	7
98	едва ли	10	7
99	в чем	3	7
100	одного из	2	7
101	на себя	2	7
102	в ее	3	7
103	же в	5	7
104	в силу	2	7
105	также и	22	7
106	с другой	8	7
107	в котором	5	7
108	пока еще	12	7
109	и на	11	7
110	или в	5	7
111	одной стороны	4	6
112	о нем	3	6
113	в сознании	5	6
114	однако в	2	6
115	что и	2	6
116	например в	2	6
117	сказать что	33	6
118	никак не	13	6
119	то в	6	6
120	то и	7	6
121	из этих	5	6
122	здесь не	9	6
123	однако и	4	6
124	в результате	6	6
125	с одной	4	6
126	в нашем	3	6
127	на то	12	6
128	к его	2	6
129	все что	2	6
130	в случае	5	6
131	таким образом	9	6
132	на самом	9	5
133	том как	2	5
134	в другом	2	5
135	а именно	16	5
136	и о	11	5
137	о котором	4	5
138	о любви	2	5
139	к нему	5	5
140	свидетельствует о	5	5
141	место в	2	5
142	между собой	5	5
143	было бы	16	5
144	мы не	6	5
145	и здесь	8	5
146	да и	11	5
147	и то	15	5
148	по поводу	6	5
149	и от	3	5
150	что это	4	5
151	или не	5	5
152	тем более	13	5
153	бы и	5	5
154	и даже	19	5
155	только что	2	5
156	подобно тому	2	5
157	для того	10	5
158	в пределах	2	5
159	их в	6	5
160	именно в	5	5
161	в своих	3	5
162	о них	3	5
163	но для	3	5
164	если не	6	5
165	еще в	2	5
166	из них	3	5
167	тому как	3	5
168	не было	7	5
169	и того	5	5
170	он сам	2	5
171	и уже	4	5
172	и сам	3	5
173	как будто	6	5
174	даже в	2	4
175	не о	7	4
176	в москве	2	4
177	и ее	9	4
178	но именно	5	4
179	роль в	2	4
180	в виду	10	4
181	как он	4	4
182	в области	8	4
183	только на	13	4
184	не являются	8	4
185	по своему	14	4
186	в них	8	4
187	тому что	6	4
188	она не	5	4
189	на том	5	4
190	а то	2	4
191	что на	4	4
192	не будет	11	4
193	не все	4	4
194	и по	3	4
195	не на	4	4
196	что они	5	4
197	в первом	2	4
198	как мы	10	4
199	в основе	4	4
200	быть и	5	4
201	но зато	3	4
202	хотя бы	15	4
203	это было	3	4
204	и как	10	4
205	не имеет	8	4
206	обратим внимание	2	4
207	со всеми	2	4
208	он является	2	4
209	для себя	9	4
210	не вполне	4	4
211	и притом	6	4
212	оно не	6	4
213	и с	12	4
214	не существует	12	4
215	для нас	11	4
216	по себе	20	4
217	несмотря на	6	4
218	всяком случае	11	4
219	которой он	4	4
220	во всяком	18	4
221	или даже	3	4
222	вместе с	4	4
223	еще и	9	3
224	ни о	8	3
225	и потому	3	3
226	так же	12	3
227	знак который	5	3
228	но как	11	3
229	и сама	2	3
230	внешняя сторона	5	3
231	каждый из	3	3
232	а потом	2	3
233	подобного рода	8	3
234	текста и	5	3
235	в виде	20	3
236	а его	2	3
237	не знает	4	3
238	одно из	2	3
239	в него	3	3
240	и это	13	3
241	чем и	2	3
242	точно так	7	3
243	что не	8	3
244	же как	2	3
245	иметь в	5	3
246	все эти	15	3
247	той же	2	3
248	и самого	5	3
249	связи с	8	3
250	и тогда	2	3
251	в связи	7	3
252	времени в	2	3
253	и т	13	3
254	для обозначения	4	3
255	речь идет	2	3
256	особенно в	3	3
257	о его	2	3
258	или иного	6	3
259	в зависимости	2	3
260	все время	3	3
261	того или	8	3
262	но это	11	3
263	можно было	8	3
264	о своем	4	3
265	дело в	3	3
266	на одном	2	3
267	что она	8	3
268	в которой	2	3
269	этот раз	2	3
270	даже если	4	3
271	зависимости от	2	3
