N	2gram	Bakhtin_Pr	PoTuStor
1	может быть	43	17
2	и в	64	16
3	и пр	5	12
4	в этом	33	9
5	и только	3	9
6	таким образом	15	9
7	прежде всего	16	9
8	и с	9	8
9	точки зрения	31	8
10	совершенно не	5	8
11	не может	26	8
12	и его	21	8
13	сказать что	4	7
14	не только	26	7
15	с его	11	7
16	и это	8	6
17	с точки	21	6
18	конечно не	4	6
19	самом деле	10	6
20	я и	2	6
21	и к	5	6
22	для него	23	6
23	при этом	8	6
24	ту сторону	2	5
25	ни в	5	5
26	все эти	13	5
27	что такое	2	5
28	как бы	33	5
29	еще не	10	5
30	в него	6	5
31	сознание и	6	5
32	отношение к	4	5
33	как мы	13	4
34	и на	16	4
35	все это	9	4
36	на самом	5	4
37	его в	8	4
38	в его	30	4
39	и ее	5	4
40	но и	26	4
41	и не	55	4
42	по ту	2	4
43	и все	6	4
44	но в	14	4
45	в этой	5	4
46	и наконец	7	4
47	так как	9	4
48	и их	3	4
49	все что	4	4
50	только в	13	4
51	в нем	28	4
52	а потому	2	4
53	хотя бы	4	4
54	с ними	2	4
55	можно сказать	2	4
56	так и	8	4
57	в один	2	4
58	мысли и	6	4
59	самого начала	2	4
60	и даже	5	4
61	художественного творчества	5	4
62	что в	11	3
63	жизни и	3	3
64	и художественного	2	3
65	и как	9	3
66	и потому	7	3
67	а в	10	3
68	в том	12	3
69	их в	8	3
70	быть это	2	3
71	с другими	8	3
72	между ними	6	3
73	те же	3	3
74	до сих	9	3
75	в основном	2	3
76	только на	3	3
77	крайней мере	2	3
78	и есть	3	3
79	большинстве случаев	10	3
80	в большинстве	11	3
81	в этих	5	3
82	отношения к	5	3
83	с их	7	3
84	то что	21	3
85	только как	2	3
86	во всех	4	3
87	если б	2	3
88	по крайней	2	3
89	мира и	7	3
90	могут быть	9	3
91	сих пор	9	3
92	всяком случае	4	3
93	в одном	20	3
94	этом смысле	12	3
95	к себе	6	3
96	и др	7	3
97	на этом	2	3
98	во всяком	7	3
99	том что	8	3
100	в основе	4	3
101	один из	3	2
102	никогда не	11	2
103	для нас	2	2
104	мы видим	3	2
105	есть и	5	2
106	с нею	2	2
107	в них	5	2
108	в жизни	5	2
109	кажется что	4	2
110	в мир	4	2
111	в одно	4	2
112	для этого	3	2
113	же как	2	2
114	и для	7	2
115	что не	3	2
116	нам кажется	7	2
117	все то	5	2
118	что это	2	2
119	оно и	2	2
120	вообще не	2	2
121	что и	7	2
122	не менее	3	2
123	ее в	3	2
124	и мы	2	2
125	было бы	8	2
126	не могут	10	2
127	как не	9	2
128	на друга	2	2
129	о том	5	2
130	то же	18	2
131	они не	5	2
132	с этим	3	2
133	как и	25	2
134	что он	15	2
135	так же	8	2
136	и лишь	2	2
137	он ищет	2	2
138	того же	3	2
139	но ведь	3	2
140	на два	3	2
141	в своей	11	2
142	мы не	4	2
143	себя и	5	2
144	мир по	2	2
145	ни было	4	2
146	из этих	3	2
147	но как	4	2
148	в самом	17	2
149	находится в	2	2
150	и говорить	2	2
151	с этой	2	2
152	не на	7	2
153	войти в	2	2
154	сознания и	8	2
155	он не	14	2
156	у него	11	2
157	своей жизни	2	2
158	это последнее	2	2
159	ту же	2	2
160	между собою	5	2
161	во всей	3	2
162	если мы	3	2
163	со всеми	2	2
164	при всей	2	2
165	и о	7	2
166	оно не	3	2
167	не есть	4	2
168	за пределы	7	2
169	из тех	2	2
170	его целом	6	2
171	поэтому и	4	2
172	с помощью	2	2
173	не знает	6	2
174	в пределах	24	2
175	что оно	2	2
176	и так	2	2
177	и этим	5	2
178	есть в	2	2
179	друг на	2	2
180	почти не	3	2
181	мы уже	4	2
182	только то	3	2
183	с ним	8	2
184	этих трех	3	2
185	между собой	2	2
186	но это	6	2
187	но зато	2	2
