N	3gram	Bakhtin_Pr	Problema
1	тем не менее	2	56
2	о том что	3	39
3	в том что	6	37
4	той или иной	2	26
5	по крайней мере	2	26
6	с точки зрения	13	25
7	с другой стороны	3	25
8	сама по себе	2	21
9	на то что	2	19
10	в этом смысле	5	19
11	то есть в	5	17
12	в то же	8	17
13	до сих пор	8	14
14	можно было бы	2	13
15	не может быть	8	12
16	можно сказать что	6	12
17	здесь перед нами	2	11
18	дело в том	3	11
19	тех или иных	2	11
20	более или менее	3	10
21	даже и не	3	10
22	может быть и	2	9
23	на самом же	2	8
24	самом же деле	2	8
25	мы не будем	2	8
26	с самого начала	4	7
27	хотя и не	3	7
28	может быть даже	2	7
29	но и в	2	7
30	мы находим в	3	7
31	так и в	2	6
32	хотя бы и	2	5
33	в собственном смысле	3	5
34	имеем в виду	3	5
35	и прежде всего	5	5
36	а также и	3	5
37	в зависимости от	3	5
38	в том числе	15	5
39	друг от друга	2	4
40	слова то есть	2	4
41	в новое время	4	4
42	том числе и	13	4
43	как мы уже	5	4
44	но в то	3	3
45	хотя и в	2	3
46	и в то	3	3
47	во всем мире	2	3
48	как и в	4	3
49	ровно ничего не	2	3
50	как мы сказали	4	3
51	то есть с	2	3
52	не то что	3	3
53	по сравнению с	6	3
54	мы имеем в	3	2
55	и во многих	2	2
56	в известной мере	3	2
57	по отношению к	5	2
58	является одним из	2	2
59	и на его	2	2
60	мы можем говорить	2	2
61	в этом произведении	3	2
62	нам кажется что	3	2
63	а следовательно и	2	2
64	и до наших	2	2
65	и не может	6	2
66	в какой-то мере	5	2
67	с самим собою	6	2
68	никогда не может	2	2
69	того и другого	2	2
70	в этих произведениях	2	2
71	но только в	2	2
72	в братьях карамазовых	4	2
73	в нем только	2	2
74	мы уже сказали	2	2
75	то есть от	2	2
76	то перед нами	4	2
77	в каждом из	3	2
78	то есть если	2	2
