N	2gram	Savitsky_E	Formalny
1	и в	37	95
2	т е	9	94
3	и не	14	78
4	может быть	6	66
5	в этом	12	61
6	не может	9	57
7	вовсе не	6	53
8	таким образом	2	52
9	так и	10	50
10	точки зрения	23	47
11	в его	2	42
12	прежде всего	9	41
13	с точки	17	40
14	как и	7	39
15	не в	5	35
16	в самом	4	35
17	в процессе	4	34
18	а не	2	34
19	но и	14	33
20	то же	15	32
21	не только	18	30
22	в пределах	25	28
23	в том	11	26
24	отнюдь не	9	26
25	если бы	2	26
26	то что	6	25
27	в своей	8	24
28	в ней	4	23
29	было бы	8	23
30	в то	16	22
31	в истории	2	21
32	как бы	6	21
33	что в	21	21
34	и с	2	21
35	в их	11	20
36	между ними	2	20
37	и от	3	20
38	с тем	3	20
39	как мы	5	20
40	же время	14	20
41	место в	3	20
42	не могут	2	19
43	хотя бы	15	19
44	по себе	4	19
45	и все	2	18
46	должна быть	2	18
47	только в	9	18
48	как в	3	17
49	так же	9	16
50	во всяком	3	16
51	с другой	7	16
52	потому что	3	16
53	всяком случае	3	16
54	но в	14	15
55	бы в	2	15
56	с другими	2	15
57	так как	7	15
58	во всех	6	15
59	именно в	4	15
60	и на	6	15
61	в ее	8	14
62	в своем	14	14
63	в этой	2	14
64	и потому	5	14
65	жизни и	2	14
66	вместе с	2	14
67	со стороны	5	13
68	того что	7	13
69	а в	2	13
70	что же	2	13
71	могут быть	2	13
72	для них	2	13
73	что и	3	13
74	независимо от	4	13
75	в результате	3	13
76	она не	2	13
77	тем что	3	13
78	как это	4	12
79	того чтобы	6	12
80	там где	3	12
81	к тому	8	12
82	и для	3	12
83	никогда не	3	11
84	этом отношении	3	11
85	в идеологическом	2	11
86	в общем	3	11
87	в большинстве	2	11
88	но не	5	11
89	то ни	4	11
90	между тем	8	11
91	не есть	2	10
92	дело идет	2	10
93	мы не	4	10
94	бы то	4	10
95	мы видели	3	10
96	другой стороны	2	10
97	не является	3	10
98	и как	2	10
99	в своих	2	10
100	главным образом	2	10
101	большинстве случаев	3	10
102	и теперь	2	10
103	он не	2	10
104	для понимания	2	9
105	или иного	4	9
106	бы ни	3	9
107	и даже	6	9
108	еще более	2	9
109	в свою	3	9
110	ни было	4	9
