N	2gram	Bakhtin_Pr	VLabPisa
1	таким образом	15	32
2	в этом	33	29
3	не только	26	26
4	и в	64	26
5	и т	14	25
6	может быть	43	23
7	хотя бы	4	20
8	и не	55	20
9	художественного творчества	5	19
10	т е	44	18
11	в процессе	6	17
12	не может	26	17
13	т д	4	16
14	в письме	2	16
15	в том	12	15
16	в его	30	15
17	этом отношении	3	14
18	прежде всего	16	13
19	все это	9	13
20	письме к	2	12
21	что в	11	11
22	с другой	7	11
23	из них	3	11
24	то же	18	10
25	не могут	10	10
26	но и	26	10
27	и др	7	10
28	о том	5	10
29	в художественном	6	10
30	об этом	3	9
31	т п	10	9
32	для него	23	9
33	он пишет	2	9
34	в своем	12	8
35	том что	8	8
36	ни один	3	8
37	могут быть	9	8
38	другой стороны	6	8
39	все эти	13	8
40	было бы	8	8
41	только в	13	8
42	это не	12	7
43	из этих	3	7
44	во всех	4	7
45	по отношению	12	7
46	в основном	2	7
47	то что	21	7
48	отношению к	12	7
49	тому что	3	7
50	как и	25	7
51	их в	8	7
52	в нем	28	7
53	произведения в	2	7
54	не было	5	7
55	же в	2	7
56	а не	29	7
57	произведения и	2	7
58	художественном творчестве	3	6
59	произведения как	2	6
60	не в	15	6
61	в то	15	6
62	в себе	11	6
63	художественного произведения	2	6
64	или менее	4	6
65	это и	5	6
66	все же	11	6
67	том же	4	6
68	у него	11	6
69	так и	8	6
70	более или	4	6
71	приводит к	8	6
72	один из	3	6
73	в зависимости	5	6
74	и его	21	6
75	бы и	6	6
76	между тем	7	6
77	никогда не	11	5
78	даже в	6	5
79	сказать что	4	5
80	в плане	6	5
81	в одном	20	5
82	перед нами	12	5
83	в результате	7	5
84	в пределах	24	5
85	зависимости от	5	5
86	в их	6	5
87	одним из	7	5
88	и при	2	5
89	к тому	4	5
90	он говорит	2	5
91	как бы	33	5
92	в них	5	5
93	в целом	8	5
94	связи с	3	5
95	же время	13	5
96	и есть	3	5
97	художественный образ	2	5
98	одна из	5	4
99	в сознании	3	4
100	и ее	5	4
101	одном из	2	4
102	замысла и	2	4
103	в виду	3	4
104	вот как	3	4
105	ее в	3	4
106	что он	15	4
107	в романе	12	4
108	по существу	6	4
109	что все	2	4
110	что для	2	4
111	когда он	2	4
112	для его	4	4
113	в единстве	9	4
114	их и	2	4
115	в самом	17	4
116	как раз	9	4
117	в ее	2	4
118	с ними	2	4
119	в своей	11	4
120	является не	2	4
121	можно сказать	2	4
122	в этой	5	4
123	из его	3	4
124	с его	11	4
125	и от	3	3
126	никак не	4	3
127	например в	5	3
128	и к	5	3
129	с этим	3	3
130	так же	8	3
131	но как	4	3
132	и он	5	3
133	всех этих	2	3
134	бы в	7	3
135	в форме	8	3
136	в конце	8	3
137	его в	8	3
138	и как	9	3
139	тому как	3	3
140	видеть в	2	3
141	если бы	12	3
142	подобно тому	3	3
143	как он	3	3
144	него в	5	3
145	что говорит	2	3
146	и их	3	3
147	у нас	3	3
148	как на	4	3
149	того что	3	3
150	далеко не	7	3
151	этот вопрос	4	3
152	что у	2	3
153	она не	10	3
154	а в	10	3
155	или меньшей	2	3
156	в котором	7	3
157	в творчестве	6	3
158	именно в	5	3
159	точки зрения	31	3
160	мира и	7	3
161	в которых	4	3
162	что оно	2	3
163	со своим	2	3
164	между ними	6	3
165	большей или	2	3
166	человека и	2	3
167	что не	3	3
168	и художественного	2	3
169	жизни и	3	3
170	того чтобы	2	3
171	что и	7	3
172	у тургенева	6	3
173	или в	7	3
174	же и	5	3
175	данного произведения	2	3
176	в слове	3	3
177	вовсе не	12	3
178	в противоположность	2	3
179	не о	3	2
180	в книге	2	2
181	да и	2	2
182	произведения не	2	2
183	иметь в	2	2
184	меньшей степени	2	2
185	и потому	7	2
186	как например	2	2
187	к этим	2	2
188	слова не	2	2
189	с другими	8	2
190	только у	3	2
191	или наконец	4	2
192	только то	3	2
193	то это	3	2
194	так сказать	9	2
195	и слова	2	2
196	крайней мере	2	2
197	можно было	3	2
198	автора как	5	2
199	в каждом	15	2
200	при всей	2	2
201	должно быть	8	2
202	что она	7	2
203	о своем	3	2
204	отличается от	5	2
205	в другом	3	2
206	и даже	5	2
207	вне его	4	2
208	от того	4	2
209	реакции на	3	2
210	и у	3	2
211	от характера	3	2
212	явления в	2	2
213	конце концов	7	2
214	ее как	4	2
215	а как	11	2
216	нет ни	2	2
217	бы не	2	2
218	все они	2	2
219	не всегда	2	2
220	и наконец	7	2
221	его художественного	6	2
222	достоевского и	9	2
223	понятно что	2	2
224	еще не	10	2
225	в которой	2	2
226	между собою	5	2
227	например у	3	2
228	по крайней	2	2
229	сих пор	9	2
230	в жизни	5	2
231	от них	3	2
232	но не	12	2
233	и для	7	2
234	художественную форму	3	2
235	стороны и	4	2
236	также и	3	2
237	не менее	3	2
238	на него	6	2
239	но в	14	2
240	они не	5	2
241	на то	5	2
242	он может	4	2
243	он в	3	2
244	что такое	2	2
245	все его	3	2
246	в своих	4	2
247	себе и	5	2
248	в ней	2	2
249	на вопрос	2	2
250	но для	3	2
251	этой точки	2	2
252	на этом	2	2
253	разобраться в	2	2
254	к сожалению	2	2
255	из которых	3	2
256	идеи в	10	2
257	в образе	2	2
258	что так	2	2
259	он и	8	2
260	с нею	2	2
261	смысле слова	2	2
262	только не	2	2
263	по себе	16	2
264	вот это	2	2
265	всяком случае	4	2
266	ни одного	3	2
267	идеологического творчества	2	2
268	человека в	8	2
269	же как	2	2
270	должны быть	3	2
271	он сам	5	2
272	не об	2	2
273	самый факт	3	2
274	е в	3	2
275	он не	14	2
276	и сам	6	2
277	во всей	3	2
278	должна быть	8	2
279	в различных	3	2
280	ту же	2	2
281	но с	4	2
282	в большей	2	2
283	своих героев	2	2
284	хотя и	5	2
285	лишь в	4	2
286	во всяком	7	2
287	оно является	2	2
288	до сих	9	2
289	того как	3	2
