N	3gram	Bakhtin_sl	VLabPisa
1	и т д	7	16
2	в этом отношении	2	14
3	и т п	49	9
4	с другой стороны	5	8
5	не может быть	11	8
6	по отношению к	2	7
7	более или менее	5	6
8	в то же	15	5
9	в том что	4	5
10	то же время	15	5
11	в зависимости от	4	5
12	хотя бы и	5	5
13	к тому что	2	4
14	в связи с	2	4
15	не могут быть	3	4
16	большей или меньшей	5	3
17	и в то	6	3
18	о том что	2	3
19	о том же	2	3
20	во всех этих	2	2
21	с одной стороны	7	2
22	не только не	2	2
23	во всяком случае	7	2
24	одной стороны и	2	2
25	или меньшей степени	3	2
26	во всех его	8	2
27	и не может	2	2
28	не только в	3	2
29	до сих пор	4	2
30	таким образом в	4	2
31	в большей или	3	2
32	можно было бы	2	2
33	не может не	5	2
34	и в другом	2	2
