N	2gram	Tiupa_Anal	Komedia
1	и в	30	77
2	и не	33	47
3	в том	36	44
4	том что	21	42
5	о том	11	33
6	едва ли	4	32
7	но и	29	32
8	может быть	33	30
9	таким образом	5	29
10	из них	2	29
11	в то	10	28
12	и его	9	28
13	в этом	31	27
14	потому что	3	27
15	что он	3	26
16	к тому	12	26
17	не только	30	25
18	тому же	6	25
19	вместе с	6	25
20	так как	3	24
21	как и	23	23
22	ни в	5	23
23	что в	7	23
24	что и	5	22
25	если бы	6	22
26	в самом	12	22
27	в конце	4	21
28	так и	16	21
29	а в	11	21
30	то же	12	21
31	в его	15	20
32	со стороны	5	19
33	к этому	2	19
34	в этой	12	18
35	и т	3	17
36	тем что	2	17
37	еще не	5	17
38	в нем	3	17
39	же время	7	17
40	все же	4	16
41	у него	5	16
42	не менее	5	16
43	при этом	20	16
44	тот же	2	16
45	и сам	4	16
46	он не	4	16
47	его в	2	15
48	в своем	2	15
49	не в	17	15
50	точки зрения	10	15
51	между тем	7	15
52	прежде всего	8	15
53	один из	4	15
54	на себя	5	15
55	было бы	4	15
56	в которой	3	15
57	и на	10	15
58	к нему	4	14
59	все это	2	14
60	на протяжении	2	14
61	и с	2	14
62	столь же	7	14
63	о чем	3	13
64	то что	11	13
65	так что	3	13
66	самом деле	3	13
67	но в	11	13
68	того же	7	13
69	того чтобы	3	13
70	в двух	4	13
71	в одном	3	13
72	как раз	5	13
73	с другой	7	12
74	для того	4	12
75	т п	3	12
76	как это	5	12
77	несмотря на	5	12
78	в качестве	38	12
79	хотя и	4	12
80	в начале	3	12
81	не может	26	12
82	как в	3	12
83	но не	13	12
84	в котором	5	12
85	из которых	4	12
86	по отношению	10	11
87	в их	8	11
88	в частности	32	11
89	одного из	4	11
90	речь идет	2	11
91	как мы	3	11
92	и даже	10	11
93	на этот	2	11
94	и для	3	11
95	с ним	6	11
96	в отношении	2	10
97	в целом	9	10
98	отношение к	2	10
99	ничего не	10	10
100	одной из	2	10
101	и все	5	10
102	в чем	2	10
103	что касается	4	10
104	на его	4	10
105	он был	3	10
106	с его	3	10
107	тут же	2	10
108	тем более	2	10
109	на него	3	10
110	с одной	7	10
111	как бы	15	10
112	еще в	4	10
113	более чем	4	10
114	и что	2	10
115	отличие от	8	9
116	тому что	2	9
117	одной стороны	6	9
118	однако в	4	9
119	ответ на	3	9
120	и особенно	4	9
121	о его	5	9
122	и по	2	9
123	даже не	2	9
124	из его	2	9
125	в своей	7	9
126	а также	8	9
127	независимо от	2	9
128	отношению к	9	9
129	все что	3	9
130	вовсе не	4	9
131	говорить о	3	9
132	только в	8	9
133	как он	4	8
134	то ни	3	8
135	такого рода	6	8
136	место в	3	8
137	не знает	4	8
138	а затем	3	8
139	связи с	2	8
140	да и	2	8
141	по поводу	4	8
142	что ни	2	8
143	другой стороны	2	8
144	бы в	3	8
145	с этой	2	8
146	если не	2	8
147	во всех	5	8
148	вопрос о	2	7
149	в себе	17	7
150	в другом	4	7
151	со своим	4	7
152	и к	5	7
153	себе в	2	7
154	и о	3	7
155	обращает на	3	7
156	и во	3	7
157	в связи	2	7
158	бы то	3	7
159	если в	3	7
160	х годов	2	7
161	из этих	2	7
162	хотя бы	4	7
163	в результате	3	7
164	дело с	5	7
165	не является	3	7
166	ни было	4	7
167	в этих	3	7
168	и тот	2	7
169	или иначе	2	7
170	к его	3	7
171	себя внимание	3	7
172	отнюдь не	22	7
173	перед лицом	6	7
174	даже в	5	6
175	в силу	4	6
176	в наиболее	3	6
177	в виду	2	6
178	и тем	4	6
179	в области	4	6
180	на вопрос	5	6
181	всего в	3	6
182	его от	3	6
183	не приходится	2	6
184	том числе	3	6
185	не говоря	2	6
186	могут быть	12	6
187	здесь в	2	6
188	что не	3	6
189	в сущности	10	6
190	никто не	3	6
191	нет и	2	6
192	в т	2	6
193	на это	2	6
194	тем не	3	6
195	и как	6	6
196	как правило	7	6
197	во второй	3	6
198	как будто	6	6
199	в отличие	8	6
200	в какой	3	6
201	на то	2	6
202	на этом	4	6
203	представляет собой	23	6
204	с точки	6	6
205	или в	2	6
206	а не	25	6
207	не мог	3	6
208	никогда не	4	5
209	и если	2	5
210	этом отношении	5	5
211	это не	7	5
212	из того	5	5
213	вслед за	3	5
214	в обоих	3	5
215	что из	2	5
216	одним из	3	5
217	в ответ	2	5
218	роль в	3	5
219	не так	3	5
220	персонажей в	2	5
221	мы имеем	9	5
222	что на	3	5
223	между собой	2	5
224	см ниже	3	5
225	же не	3	5
226	в ее	2	5
227	в первом	3	5
228	в действительности	2	5
229	который в	3	5
230	сказать что	2	5
231	для этого	2	5
232	себя в	8	5
233	в сознании	6	5
234	в мире	14	5
235	в первой	2	5
236	за пределы	6	5
237	за ним	2	5
238	мира в	2	5
239	к своему	2	5
240	восходит к	2	5
241	именно в	6	5
242	приводит к	2	5
243	он и	3	5
244	со своей	2	5
245	же самое	3	5
246	той же	4	5
247	не о	3	4
248	которые в	3	4
249	нуждается в	9	4
250	не остается	2	4
251	не столько	5	4
252	в принципе	8	4
253	по своей	6	4
254	не всегда	4	4
255	самом начале	3	4
256	тем как	2	4
257	или менее	2	4
258	может служить	3	4
259	времени в	4	4
260	не позволяет	2	4
261	что же	3	4
262	в основе	6	4
263	как известно	4	4
264	обоих случаях	2	4
265	из этого	2	4
266	одно из	2	4
267	каждый из	3	4
268	то и	2	4
269	нет ничего	2	4
270	с их	2	4
271	я не	2	4
272	бы не	3	4
273	и их	2	4
274	времени и	7	4
275	такой же	3	4
276	в пределах	11	4
277	следует что	2	4
278	том чтобы	7	4
279	не случайно	11	4
280	далеко не	6	4
281	а то	3	4
282	должна была	2	4
283	прежде чем	2	4
284	что мы	3	4
285	в той	8	4
286	в поле	4	4
287	по его	2	4
288	все равно	2	4
289	не следует	6	4
290	в себя	8	4
291	в соответствии	2	3
292	и потому	2	3
293	не могут	3	3
294	всего лишь	11	3
295	от него	2	3
296	вплоть до	2	3
297	при всей	4	3
298	с той	2	3
299	не был	2	3
300	как к	2	3
301	для себя	3	3
302	должен быть	6	3
303	остается в	2	3
304	если они	2	3
305	что именно	2	3
