N	2gram	Voloshinov	StatiiOP
1	и в	12	103
2	в том	6	89
3	том что	5	77
4	в этом	4	76
5	что в	2	74
6	не только	4	60
7	о том	3	47
8	но и	3	46
9	то что	5	44
10	в его	2	42
11	и не	10	41
12	может быть	14	38
13	все это	3	29
14	таким образом	12	28
15	а не	5	27
16	но в	5	26
17	так и	4	25
18	и его	13	24
19	все же	4	23
20	не в	4	23
21	точки зрения	14	23
22	того что	3	22
23	прежде всего	8	22
24	как в	5	22
25	и пр	3	21
26	это не	2	20
27	до сих	3	20
28	в то	2	19
29	сих пор	3	19
30	в своей	3	19
31	только в	6	19
32	не может	16	18
33	с другой	4	18
34	в котором	3	18
35	он не	2	18
36	самом деле	3	17
37	в данном	2	17
38	как на	2	17
39	в самом	4	17
40	как бы	13	17
41	сказать что	7	16
42	в ней	6	16
43	если бы	9	16
44	в этих	2	16
45	в отношении	2	15
46	как и	5	15
47	для него	3	15
48	другой стороны	2	15
49	и на	4	15
50	была бы	2	14
51	между тем	3	14
52	то же	5	14
53	но все	2	14
54	с точки	2	14
55	и что	2	14
56	в своем	2	13
57	но это	2	13
58	в нем	6	13
59	дело в	4	13
60	жизни и	4	13
61	вместе с	2	13
62	не менее	3	12
63	так как	9	12
64	хотя бы	5	12
65	ни в	3	12
66	никогда не	5	11
67	и с	3	11
68	в них	3	11
69	все эти	3	11
70	и по	3	11
71	ясно что	3	11
72	на самом	4	10
73	в каком	3	10
74	так же	3	10
75	в виду	5	10
76	ничего не	2	10
77	связь с	2	10
78	что и	2	10
79	кроме того	2	10
80	но не	2	10
81	в чем	2	9
82	место в	2	9
83	там где	2	9
84	можно сказать	5	9
85	с этой	2	9
86	и для	3	9
87	и к	4	9
88	для нас	7	9
89	что мы	5	9
90	до конца	2	8
91	могут быть	2	8
92	отношение к	4	8
93	и др	5	8
94	в какой	2	8
95	к этому	2	8
96	мы имеем	2	8
97	тем не	3	8
98	такой же	2	8
99	и более	3	8
100	подчеркнуть что	2	8
101	данном случае	2	7
102	уже в	2	7
103	точка зрения	3	7
104	как это	2	7
105	и то	2	7
106	еще не	3	7
107	отношению к	11	7
108	по себе	3	7
109	из этого	3	7
110	в себе	3	6
111	по отношению	11	6
112	к нему	4	6
113	и все	2	6
114	и вообще	3	6
115	с его	2	6
116	независимо от	2	6
117	его как	2	6
118	мы не	3	6
119	и здесь	2	6
120	в особенности	2	6
121	в жизни	5	6
122	ни на	2	6
123	этих двух	2	6
124	в некоторых	3	6
125	его в	4	5
126	точку зрения	2	5
127	и потому	2	5
128	не так	2	5
129	одной стороны	2	5
130	что не	4	5
131	отношении к	3	5
132	при этом	6	5
133	должна быть	5	5
134	можно найти	2	5
135	на это	2	5
136	с одной	2	5
137	в творчестве	3	5
138	уже не	4	5
139	оно не	2	5
140	конечно не	3	5
141	в форме	2	4
142	в такой	3	4
143	общего с	2	4
144	и те	2	4
145	в процессе	6	4
146	в поэзии	3	4
147	литературы и	4	4
148	да и	3	4
149	относится к	2	4
150	за пределы	4	4
151	на него	2	4
152	и вполне	2	4
153	все они	2	4
154	и другие	2	4
155	тому же	2	4
156	и так	2	4
157	материала и	4	4
158	но для	3	4
159	совпадает с	2	4
160	конечно в	2	3
161	и наконец	3	3
162	от того	4	3
163	как к	3	3
164	слово в	3	3
165	тогда когда	2	3
166	он должен	3	3
167	ведь и	3	3
168	она не	2	3
169	находит свое	3	3
170	здесь не	3	3
171	себя и	2	3
172	и ее	3	3
173	бы то	3	3
174	к его	2	3
175	все время	6	3
176	а к	2	3
177	искусства и	2	3
178	и уже	3	3
179	бы не	2	3
180	свое выражение	4	3
181	когда он	3	3
182	произведения и	3	3
183	но что	2	3
184	то ни	3	3
185	не к	3	3
186	с помощью	6	3
187	опираясь на	2	2
188	его к	2	2
189	нуждается в	3	2
190	в литературе	4	2
191	бы мы	3	2
192	в настоящее	2	2
193	едва ли	2	2
194	выражение в	2	2
195	истории литературы	2	2
196	в момент	2	2
197	тем как	2	2
198	и совершенно	2	2
199	настоящее время	2	2
200	какой степени	2	2
201	к слову	2	2
202	между собой	2	2
203	в зависимости	2	2
204	формой и	2	2
205	жизнью и	2	2
206	на материале	2	2
207	но зато	2	2
208	дело с	2	2
209	зависимости от	4	2
210	так называемой	3	2
211	ни было	4	2
212	к материалу	4	2
213	героев и	2	2
214	в пределах	3	2
215	имеем в	2	2
216	допустим что	2	2
217	те же	2	2
218	как не	2	2
219	мы в	2	2
220	но этот	2	2
221	же самое	2	2
222	быть и	3	2
223	на все	2	2
224	художественного творчества	3	2
