N	3gram	Vinokur_Ku	Dialekti
1	и т д	21	75
2	с точки зрения	16	46
3	по крайней мере	11	26
4	в том что	23	25
5	ни в каком	2	18
6	не может быть	5	18
7	не что иное	2	18
8	что иное как	2	18
9	само по себе	6	16
10	тем не менее	9	16
11	то же время	4	15
12	в то же	4	14
13	т д и	3	14
14	только тогда когда	2	13
15	о том что	6	12
16	д и т	3	12
17	с другой стороны	12	12
18	на то что	3	11
19	в самом деле	14	10
20	т е в	3	10
21	то или иное	2	9
22	в этом смысле	8	8
23	можно сказать что	2	7
24	сами по себе	2	7
25	не потому что	4	7
26	не говоря уже	2	7
27	не в том	5	7
28	точно так же	4	7
29	в связи с	4	7
30	так или иначе	3	7
31	более или менее	3	6
32	для того чтобы	21	6
33	во всяком случае	8	6
34	в зависимости от	7	6
35	с одной стороны	2	6
36	только потому что	11	6
37	на самом деле	3	5
38	в конце концов	3	5
39	ничего общего с	2	5
40	т е о	2	5
41	до сих пор	5	5
42	к тому что	2	5
43	потому что она	2	5
44	в том смысле	2	5
45	и тем не	4	5
46	так же как	3	4
47	может быть только	2	4
48	и т п	39	4
49	этой точки зрения	4	4
50	с этой точки	3	4
51	но даже и	2	4
52	в этом отношении	8	4
53	можно было бы	11	4
54	и с этой	2	3
55	т е как	5	3
56	речь идет о	3	3
57	все это не	3	3
58	не только в	4	3
59	о том как	3	3
60	т д не	2	3
61	что это только	2	3
62	в данный момент	2	3
63	но все же	3	3
64	того или иного	5	3
65	в широком смысле	2	2
66	дело не в	3	2
67	точки зрения в	2	2
68	и не в	2	2
69	хотя бы в	4	2
70	и вовсе не	4	2
71	хотя бы и	4	2
72	и в том	2	2
73	но также и	2	2
74	в свою очередь	4	2
75	и пр и	2	2
76	в каждом из	2	2
77	как раз на	2	2
78	можно говорить о	2	2
