N	2gram	Trubetskoy	Problemy
1	и в	14	106
2	и не	19	90
3	как бы	4	70
4	может быть	9	66
5	в его	4	56
6	в этом	17	52
7	в нем	5	51
8	не может	22	49
9	что он	6	44
10	как и	4	44
11	но и	10	40
12	точки зрения	11	40
13	для него	6	39
14	а не	2	38
15	не только	9	36
16	то же	11	36
17	то что	13	33
18	но в	2	33
19	прежде всего	8	32
20	в то	10	29
21	все это	6	29
22	он не	5	29
23	не в	4	27
24	к себе	2	26
25	же время	10	26
26	к нему	2	25
27	с точки	9	25
28	и т	3	25
29	в самом	3	25
30	и с	7	25
31	самом деле	7	24
32	с самим	2	24
33	и на	5	23
34	таким образом	11	22
35	по себе	2	22
36	никогда не	5	20
37	все же	4	20
38	потому что	5	20
39	только в	5	20
40	что в	4	19
41	что же	4	19
42	на самом	6	18
43	в себе	9	18
44	по отношению	2	18
45	все эти	2	18
46	уже не	2	18
47	еще не	3	18
48	но не	4	18
49	в том	17	17
50	а в	5	17
51	и к	6	17
52	с ним	2	17
53	так же	2	16
54	в другом	3	16
55	если бы	6	16
56	в своей	5	16
57	и наконец	2	15
58	и для	6	15
59	у него	2	15
60	так как	4	14
61	в своем	6	14
62	в конце	3	14
63	лишь в	3	14
64	его в	4	13
65	большинстве случаев	2	13
66	себя и	5	13
67	в мире	4	13
68	в большинстве	3	13
69	том что	9	12
70	так что	2	12
71	к тому	7	12
72	между тем	5	12
73	что и	3	12
74	при этом	5	12
75	было бы	5	12
76	во всяком	9	12
77	но это	2	12
78	и даже	2	12
79	и как	3	12
80	себе и	4	12
81	отношении к	2	12
82	в котором	2	12
83	и что	2	12
84	не могут	4	11
85	конце концов	3	11
86	она не	2	11
87	так чтобы	3	11
88	он сам	3	11
89	должно быть	3	11
90	тем что	3	11
91	их в	2	11
92	мы уже	2	11
93	как будто	2	11
94	для себя	2	10
95	до сих	5	10
96	сих пор	5	10
97	приводит к	4	10
98	и потому	3	9
99	или в	3	9
100	самим собой	12	9
101	да и	3	9
102	хотя бы	5	9
103	друг с	14	9
104	ни в	2	9
105	всяком случае	6	9
106	мы должны	7	8
107	и о	2	8
108	того что	3	8
109	несмотря на	3	8
110	должна быть	2	8
111	и от	2	8
112	что это	3	8
113	в результате	2	8
114	о том	7	8
115	с другом	14	8
116	из них	3	8
117	не о	2	7
118	вопрос о	5	7
119	были бы	2	7
120	от него	2	7
121	в этих	2	7
122	в их	4	7
123	в виде	3	7
124	точку зрения	4	7
125	его и	2	7
126	только на	2	7
127	себя как	2	7
128	что все	3	7
129	то ни	4	7
130	что они	3	7
131	бы то	4	7
132	друг другу	2	7
133	отличается от	2	7
134	сама по	2	7
135	во всех	5	7
136	если же	2	7
137	не было	3	7
138	а с	2	6
139	по существу	5	6
140	себя в	4	6
141	и во	3	6
142	во время	2	6
143	одна из	3	6
144	для этого	3	6
145	с этим	2	6
146	в начале	2	6
147	можно было	4	6
148	во всем	4	6
149	и вот	2	6
150	но для	2	6
151	друг друга	3	6
152	и только	5	6
153	в этой	4	6
154	на то	5	6
155	на почве	2	6
156	в своих	6	6
157	этот вопрос	2	6
