N	3gram	Vygotskiy_	Narrotol
1	в том что	20	18
2	в данном случае	5	17
3	о том что	8	9
4	к тому же	2	9
5	не может быть	3	8
6	с одной стороны	6	6
7	состоит в том	2	6
8	на самом деле	3	5
9	для того чтобы	17	5
10	в свою очередь	3	5
11	к тому что	5	4
12	во всяком случае	6	4
13	то же самое	12	3
14	внимание на то	3	3
15	речь идет о	5	3
16	точно так же	3	3
17	того или иного	2	3
18	в том как	2	3
19	с точки зрения	11	3
20	как раз в	3	3
21	в самом деле	29	3
22	несет в себе	3	3
23	до сих пор	6	3
24	на то что	16	3
25	и то что	3	3
26	одно и то	3	2
27	все то что	13	2
28	как если бы	3	2
29	и то же	3	2
30	не только не	3	2
31	не в том	2	2
32	если бы она	2	2
33	на то чтобы	2	2
34	можно было бы	6	2
35	так же как	2	2
36	в том смысле	2	2
37	и т п	7	2
38	может быть не	2	2
39	сами по себе	3	2
40	что у него	2	2
